Ticker,Model,Target,MAE,MAPE,Accuracy_%
BAHL,Random Forest,Target_High,1.2,1.14,98.86
BAHL,XGBoost,Target_High,1.23,1.17,98.83
BAHL,Linear Regression,Target_High,1.36,1.3,98.7
BAHL,Naive Baseline,Target_High,1.46,1.37,98.63
BAHL,LSTM,Target_High,4.17,3.89,96.11
BAHL,XGBoost,Target_Low,1.2,1.19,98.81
BAHL,Random Forest,Target_Low,1.22,1.21,98.79
BAHL,Linear Regression,Target_Low,1.42,1.43,98.57
BAHL,Naive Baseline,Target_Low,1.52,1.49,98.51
BAHL,LSTM,Target_Low,4.15,4.07,95.93
COLG,Linear Regression,Target_High,10.35,0.77,99.23
COLG,Naive Baseline,Target_High,12.49,0.93,99.07
COLG,XGBoost,Target_High,12.77,0.95,99.05
COLG,Random Forest,Target_High,14.73,1.1,98.9
COLG,LSTM,Target_High,53.12,4.11,95.89
COLG,Linear Regression,Target_Low,10.65,0.84,99.16
COLG,XGBoost,Target_Low,14.5,1.13,98.87
COLG,Naive Baseline,Target_Low,14.51,1.14,98.86
COLG,Random Forest,Target_Low,17.92,1.39,98.61
COLG,LSTM,Target_Low,28.19,2.2,97.8
DGKC,Random Forest,Target_High,1.1,1.29,98.71
DGKC,XGBoost,Target_High,1.12,1.32,98.68
DGKC,Linear Regression,Target_High,1.3,1.55,98.45
DGKC,Naive Baseline,Target_High,1.52,1.8,98.2
DGKC,LSTM,Target_High,4.37,5.07,94.93
DGKC,XGBoost,Target_Low,1.02,1.27,98.73
DGKC,Random Forest,Target_Low,1.02,1.28,98.72
DGKC,Linear Regression,Target_Low,1.27,1.58,98.42
DGKC,Naive Baseline,Target_Low,1.34,1.66,98.34
DGKC,LSTM,Target_Low,3.8,4.65,95.35
EFERT,Linear Regression,Target_High,1.97,1.16,98.84
EFERT,XGBoost,Target_High,2.01,1.18,98.82
EFERT,Random Forest,Target_High,2.1,1.25,98.75
EFERT,Naive Baseline,Target_High,2.11,1.25,98.75
EFERT,LSTM,Target_High,8.05,4.61,95.39
EFERT,Random Forest,Target_Low,1.63,1.0,99.0
EFERT,Linear Regression,Target_Low,1.66,1.03,98.97
EFERT,XGBoost,Target_Low,1.79,1.09,98.91
EFERT,Naive Baseline,Target_Low,1.94,1.19,98.81
EFERT,LSTM,Target_Low,4.38,2.61,97.39
ENGROH,Random Forest,Target_High,2.28,1.41,98.59
ENGROH,XGBoost,Target_High,2.31,1.42,98.58
ENGROH,Linear Regression,Target_High,2.4,1.5,98.5
ENGROH,Naive Baseline,Target_High,2.82,1.73,98.27
ENGROH,LSTM,Target_High,7.19,4.44,95.56
ENGROH,XGBoost,Target_Low,1.83,1.17,98.83
ENGROH,Random Forest,Target_Low,1.81,1.18,98.82
ENGROH,Linear Regression,Target_Low,1.91,1.26,98.74
ENGROH,Naive Baseline,Target_Low,2.35,1.5,98.5
ENGROH,LSTM,Target_Low,5.8,3.8,96.2
FFC,Linear Regression,Target_High,2.91,1.33,98.67
FFC,Random Forest,Target_High,3.13,1.44,98.56
FFC,Naive Baseline,Target_High,3.6,1.63,98.37
FFC,XGBoost,Target_High,4.17,1.73,98.27
FFC,LSTM,Target_High,9.87,4.52,95.48
FFC,Linear Regression,Target_Low,2.45,1.2,98.8
FFC,Random Forest,Target_Low,2.77,1.27,98.73
FFC,Naive Baseline,Target_Low,3.13,1.48,98.52
FFC,XGBoost,Target_Low,3.5,1.51,98.49
FFC,LSTM,Target_Low,6.2,3.02,96.98
HBL,XGBoost,Target_High,1.44,1.06,98.94
HBL,Random Forest,Target_High,1.52,1.11,98.89
HBL,Linear Regression,Target_High,1.51,1.12,98.88
HBL,Naive Baseline,Target_High,1.89,1.4,98.6
HBL,LSTM,Target_High,5.42,4.07,95.93
HBL,XGBoost,Target_Low,1.19,0.93,99.07
HBL,Random Forest,Target_Low,1.24,0.98,99.02
HBL,Linear Regression,Target_Low,1.38,1.1,98.9
HBL,Naive Baseline,Target_Low,1.83,1.4,98.6
HBL,LSTM,Target_Low,5.0,3.92,96.08
HUBC,XGBoost,Target_High,1.6,1.22,98.78
HUBC,Random Forest,Target_High,1.7,1.28,98.72
HUBC,Linear Regression,Target_High,1.74,1.33,98.67
HUBC,Naive Baseline,Target_High,1.9,1.44,98.56
HUBC,LSTM,Target_High,7.07,5.5,94.5
HUBC,XGBoost,Target_Low,1.65,1.32,98.68
HUBC,Random Forest,Target_Low,1.65,1.33,98.67
HUBC,Naive Baseline,Target_Low,1.74,1.39,98.61
HUBC,Linear Regression,Target_Low,1.74,1.41,98.59
HUBC,LSTM,Target_Low,13.48,12.18,87.82
ILP,Random Forest,Target_High,0.87,1.18,98.82
ILP,XGBoost,Target_High,0.89,1.2,98.8
ILP,Naive Baseline,Target_High,1.1,1.49,98.51
ILP,Linear Regression,Target_High,1.23,1.68,98.32
ILP,LSTM,Target_High,2.7,3.69,96.31
ILP,Random Forest,Target_Low,0.81,1.15,98.85
ILP,XGBoost,Target_Low,0.84,1.19,98.81
ILP,Naive Baseline,Target_Low,0.99,1.4,98.6
ILP,Linear Regression,Target_Low,1.31,1.85,98.15
ILP,LSTM,Target_Low,4.06,5.7,94.3
