Ticker,Model,Target,MAE,MAPE,Horizon,Directional_Accuracy_%,Improvement_over_Naive_%
BAHL,Random Forest,Target_Close,1.51,1.45,1,52.85,0.06
BAHL,XGBoost,Target_Close,1.52,1.46,1,48.37,-0.6
BAHL,LSTM,Target_Close,1.6,1.5,1,52.31,-0.96
BAHL,Linear Regression,Target_Close,1.54,1.47,1,50.41,-1.81
BAHL,GRU,Target_Close,1.63,1.54,1,50.46,-3.09
BAHL,Random Forest,Target_Open,0.75,0.73,1,59.76,1.14
BAHL,LSTM,Target_Open,0.79,0.74,1,57.41,0.38
BAHL,XGBoost,Target_Open,0.76,0.73,1,59.76,0.36
BAHL,Linear Regression,Target_Open,0.76,0.74,1,54.07,0.22
BAHL,GRU,Target_Open,0.81,0.77,1,56.02,-2.76
COLG,Random Forest,Target_Close,10.35,0.78,1,52.44,-0.01
COLG,Linear Regression,Target_Close,10.52,0.8,1,52.03,-1.65
COLG,XGBoost,Target_Close,10.91,0.82,1,52.44,-5.39
COLG,GRU,Target_Close,11.26,0.87,1,52.78,-12.34
COLG,LSTM,Target_Close,11.51,0.89,1,44.91,-14.82
COLG,Linear Regression,Target_Open,6.53,0.49,1,63.01,2.23
COLG,LSTM,Target_Open,6.07,0.47,1,67.13,0.17
COLG,Random Forest,Target_Open,6.72,0.51,1,56.1,-0.6
COLG,XGBoost,Target_Open,6.89,0.52,1,52.03,-3.23
COLG,GRU,Target_Open,7.43,0.57,1,53.24,-22.29
DGKC,GRU,Target_Close,1.61,1.92,1,50.46,0.52
DGKC,Random Forest,Target_Close,1.58,1.9,1,51.22,-0.15
DGKC,Linear Regression,Target_Close,1.59,1.92,1,50.0,-1.1
DGKC,LSTM,Target_Close,1.64,1.95,1,48.61,-1.32
DGKC,XGBoost,Target_Close,1.6,1.93,1,48.78,-1.47
DGKC,XGBoost,Target_Open,0.42,0.51,1,75.2,20.56
DGKC,Random Forest,Target_Open,0.42,0.52,1,77.64,19.53
DGKC,Linear Regression,Target_Open,0.44,0.55,1,68.29,15.57
DGKC,LSTM,Target_Open,0.46,0.56,1,75.46,12.19
DGKC,GRU,Target_Open,0.47,0.57,1,68.98,11.29
EFERT,Random Forest,Target_Close,2.15,1.28,1,53.66,0.49
EFERT,LSTM,Target_Close,2.2,1.26,1,53.7,-1.02
EFERT,GRU,Target_Close,2.25,1.29,1,52.78,-3.44
EFERT,Linear Regression,Target_Close,2.24,1.34,1,46.75,-3.72
EFERT,XGBoost,Target_Close,2.26,1.36,1,47.97,-4.85
EFERT,Linear Regression,Target_Open,0.64,0.39,1,59.76,2.0
EFERT,Random Forest,Target_Open,0.65,0.39,1,61.79,1.35
EFERT,XGBoost,Target_Open,0.66,0.4,1,56.91,-0.31
EFERT,LSTM,Target_Open,0.7,0.41,1,62.04,-2.29
EFERT,GRU,Target_Open,0.86,0.5,1,54.63,-24.98
ENGROH,Linear Regression,Target_Close,2.39,1.52,1,51.22,1.54
ENGROH,Random Forest,Target_Close,2.44,1.56,1,49.59,-0.56
ENGROH,LSTM,Target_Close,2.67,1.66,1,48.15,-1.53
ENGROH,GRU,Target_Close,2.7,1.66,1,54.63,-2.45
ENGROH,XGBoost,Target_Close,2.55,1.62,1,50.41,-5.29
ENGROH,Linear Regression,Target_Open,1.38,0.87,1,57.32,7.44
