Ticker,Model,Horizon,MAE_Spread,N_Rows
BAHL,Linear Regression,1,1.65,246
COLG,Linear Regression,1,12.6,246
DGKC,Linear Regression,1,1.57,246
EFERT,Linear Regression,1,2.15,246
ENGROH,Linear Regression,1,2.56,246
FFC,Linear Regression,1,3.35,246
HBL,Linear Regression,1,1.76,246
HUBC,Linear Regression,1,1.95,246
ILP,Linear Regression,1,1.06,246
INDU,Linear Regression,1,21.29,246
LUCK,Linear Regression,1,11.95,246
MARI,Linear Regression,1,34.0,246
MCB,Linear Regression,1,2.96,246
MEBL,Linear Regression,1,2.84,246
MLCF,Linear Regression,1,0.67,246
NESTLE,Linear Regression,1,96.2,212
NETSOL,Linear Regression,1,2.63,246
OGDC,Linear Regression,1,2.73,246
PAKT,Linear Regression,1,25.36,221
PPL,Linear Regression,1,2.23,246
PSO,Linear Regression,1,3.29,246
SYS,Linear Regression,1,6.23,246
TRG,Linear Regression,1,1.25,246
UBL,Linear Regression,1,3.19,246
UNITY,Linear Regression,1,0.46,246
BAHL,Random Forest,1,1.63,246
COLG,Random Forest,1,12.48,246
DGKC,Random Forest,1,1.57,246
EFERT,Random Forest,1,2.1,246
ENGROH,Random Forest,1,2.63,246
FFC,Random Forest,1,3.38,246
HBL,Random Forest,1,1.76,246
HUBC,Random Forest,1,1.93,246
ILP,Random Forest,1,1.04,246
INDU,Random Forest,1,22.08,246
LUCK,Random Forest,1,11.8,246
MARI,Random Forest,1,31.17,246
MCB,Random Forest,1,2.97,246
MEBL,Random Forest,1,2.81,246
MLCF,Random Forest,1,0.67,246
NESTLE,Random Forest,1,103.94,212
NETSOL,Random Forest,1,2.6,246
OGDC,Random Forest,1,2.73,246
PAKT,Random Forest,1,26.5,221
PPL,Random Forest,1,2.25,246
PSO,Random Forest,1,3.35,246
SYS,Random Forest,1,6.15,246
TRG,Random Forest,1,1.28,246
UBL,Random Forest,1,3.17,246
UNITY,Random Forest,1,0.47,246
BAHL,XGBoost,1,1.64,246
COLG,XGBoost,1,12.83,246
DGKC,XGBoost,1,1.58,246
EFERT,XGBoost,1,2.19,246
ENGROH,XGBoost,1,2.68,246
FFC,XGBoost,1,3.47,246
HBL,XGBoost,1,1.75,246
HUBC,XGBoost,1,2.01,246
ILP,XGBoost,1,1.06,246
INDU,XGBoost,1,21.5,246
LUCK,XGBoost,1,11.9,246
MARI,XGBoost,1,34.81,246
MCB,XGBoost,1,3.01,246
MEBL,XGBoost,1,2.83,246
MLCF,XGBoost,1,0.66,246
NESTLE,XGBoost,1,105.48,212
NETSOL,XGBoost,1,2.65,246
OGDC,XGBoost,1,2.83,246
PAKT,XGBoost,1,26.22,221
PPL,XGBoost,1,2.34,246
PSO,XGBoost,1,3.31,246
SYS,XGBoost,1,6.18,246
TRG,XGBoost,1,1.28,246
UBL,XGBoost,1,3.24,246
UNITY,XGBoost,1,0.49,246
BAHL,LSTM,1,1.73,216
COLG,LSTM,1,12.58,216
DGKC,LSTM,1,1.63,216
EFERT,LSTM,1,2.16,216
ENGROH,LSTM,1,2.81,216
FFC,LSTM,1,3.68,216
HBL,LSTM,1,1.9,216
HUBC,LSTM,1,2.05,216
ILP,LSTM,1,1.1,216
INDU,LSTM,1,22.23,216
LUCK,LSTM,1,12.57,216
MARI,LSTM,1,26.31,216
MCB,LSTM,1,3.22,216
MEBL,LSTM,1,3.06,216
MLCF,LSTM,1,0.73,216
NESTLE,LSTM,1,90.28,182
NETSOL,LSTM,1,2.76,216
OGDC,LSTM,1,2.69,216
PAKT,LSTM,1,26.66,191
PPL,LSTM,1,2.23,216
PSO,LSTM,1,3.47,216
SYS,LSTM,1,6.88,216
TRG,LSTM,1,1.28,216
UBL,LSTM,1,3.42,216
UNITY,LSTM,1,0.48,216
BAHL,GRU,1,1.72,216
COLG,GRU,1,12.96,216
DGKC,GRU,1,1.59,216
EFERT,GRU,1,2.17,216
ENGROH,GRU,1,2.71,216
FFC,GRU,1,3.84,216
HBL,GRU,1,1.95,216
HUBC,GRU,1,2.05,216
ILP,GRU,1,1.05,216
INDU,GRU,1,22.01,216
LUCK,GRU,1,13.35,216
