Phase,Target,Horizon,N_Rows,Naive_MAE,Ensemble_MAE,Ensemble_Improvement_over_Naive_%,Naive_RMSE,Ensemble_RMSE,Ensemble_RMSE_Improvement_over_Naive_%,Ensemble_Directional_Accuracy_%,Best_Single_Model,Best_Single_MAE,Best_Single_Improvement_over_Naive_%,Eval_Set
phase10,Close,1,5341,8.02,8.09,-0.92,48.46,48.48,-0.03,51.83,Random Forest,8.12,-1.25,test
phase9,Close,1,5341,8.02,8.08,-0.75,48.46,48.35,0.24,51.6,Random Forest,8.13,-1.36,test
phase10,Open,1,5341,6.53,6.53,0.04,49.75,49.61,0.27,67.27,LSTM,6.49,0.76,test
phase9,Open,1,5341,6.53,6.58,-0.74,49.75,49.6,0.3,66.24,LSTM,6.54,-0.06,test
phase10,Close,5,5341,19.93,20.79,-4.32,106.91,107.28,-0.34,52.93,LSTM,20.48,-2.75,test
phase9,Close,5,5341,19.93,20.79,-4.32,106.91,107.06,-0.14,52.71,LSTM,20.66,-3.67,test
phase10,Open,5,5341,19.52,20.06,-2.78,107.39,107.94,-0.51,54.97,LSTM,19.61,-0.47,test
phase9,Open,5,5341,19.52,20.23,-3.62,107.39,107.93,-0.5,53.98,LSTM,19.88,-1.87,test
phase10,Close,10,5341,29.92,31.69,-5.94,150.23,149.49,0.5,51.94,LSTM,30.9,-3.29,test
phase9,Close,10,5341,29.92,33.06,-10.51,150.23,150.48,-0.16,50.72,Linear Regression,33.92,-13.39,test
phase10,Open,10,5341,29.81,31.92,-7.09,150.67,149.48,0.79,54.91,Linear Regression,33.84,-13.51,test
phase9,Open,10,5341,29.81,31.77,-6.59,150.67,149.96,0.48,52.89,LSTM,29.87,-0.21,test
phase10,Close,20,5341,47.38,48.75,-2.89,205.58,200.96,2.25,52.18,LSTM,47.82,-0.92,test
phase9,Close,20,5341,47.38,49.23,-3.9,205.58,201.02,2.22,52.63,LSTM,50.62,-6.84,test
phase10,Open,20,5341,47.37,49.24,-3.94,206.03,202.02,1.95,52.2,LSTM,50.27,-6.12,test
phase9,Open,20,5341,47.37,49.41,-4.31,206.03,201.68,2.11,52.01,Linear Regression,51.38,-8.48,test
phase10,Close,60,5341,96.44,95.67,0.8,305.53,308.25,-0.89,57.42,Linear Regression,96.41,0.03,test
phase9,Close,60,5341,96.44,94.38,2.14,305.53,303.15,0.78,56.34,Linear Regression,96.43,0.01,test
phase10,Open,60,5341,96.48,93.25,3.34,305.88,302.19,1.21,56.67,Linear Regression,94.95,1.58,test
phase9,Open,60,5341,96.48,95.13,1.4,305.88,300.7,1.69,55.98,Linear Regression,94.96,1.57,test
phase10,Close,1,9143,7.82,7.94,-1.53,28.09,28.13,-0.15,51.86,XGBoost,7.93,-1.44,validate
phase9,Close,1,9143,7.82,7.86,-0.54,28.09,27.93,0.56,51.26,Random Forest,7.78,0.52,validate
phase10,Open,1,9143,5.35,5.5,-2.76,27.84,27.87,-0.1,61.89,LSTM,5.38,-0.56,validate
phase9,Open,1,9143,5.35,5.4,-0.85,27.84,27.12,2.59,62.67,LSTM,5.42,-1.36,validate
phase10,Close,5,9043,17.44,18.33,-5.15,58.86,60.97,-3.58,52.63,LSTM,18.28,-4.87,validate
phase9,Close,5,9043,17.44,18.32,-5.06,58.86,59.45,-1.0,52.06,LSTM,18.09,-3.78,validate
phase10,Open,5,9043,16.8,17.78,-5.86,61.98,65.19,-5.18,53.43,LSTM,17.22,-2.55,validate
phase9,Open,5,9043,16.8,17.41,-3.66,61.98,62.85,-1.41,53.69,LSTM,17.28,-2.91,validate
phase10,Close,10,8918,25.88,27.96,-8.06,79.42,83.14,-4.68,53.79,LSTM,27.5,-6.26,validate
phase9,Close,10,8918,25.88,27.87,-7.7,79.42,81.96,-3.2,54.25,Linear Regression,27.45,-6.07,validate
phase10,Open,10,8918,25.37,26.96,-6.27,81.98,84.58,-3.16,55.97,Linear Regression,27.5,-8.41,validate
phase9,Open,10,8918,25.37,27.54,-8.57,81.98,85.56,-4.37,54.66,LSTM,26.84,-5.81,validate
phase10,Close,20,8668,39.53,41.89,-5.95,110.11,113.16,-2.77,56.07,LSTM,41.05,-3.83,validate
phase9,Close,20,8668,39.53,42.45,-7.37,110.11,115.54,-4.93,57.26,Linear Regression,42.28,-6.95,validate
phase10,Open,20,8668,39.26,41.44,-5.54,112.74,114.6,-1.65,56.01,LSTM,42.04,-7.08,validate
phase9,Open,20,8668,39.26,41.56,-5.85,112.74,115.73,-2.66,56.98,Linear Regression,42.13,-7.3,validate
phase10,Close,60,7668,73.67,71.85,2.48,179.13,166.55,7.02,57.64,Linear Regression,75.92,-3.06,validate
phase9,Close,60,7668,73.67,72.32,1.83,179.13,171.2,4.43,57.45,Linear Regression,75.88,-2.99,validate
phase10,Open,60,7668,73.54,70.81,3.72,181.08,167.83,7.32,58.48,Linear Regression,75.17,-2.22,validate
phase9,Open,60,7668,73.54,72.16,1.88,181.08,169.94,6.16,57.0,Linear Regression,75.09,-2.11,validate
