Ticker,Model,Target,MAE,MAPE,Accuracy_%,FeatureSet
BAHL,LSTM,Target_High,1.37,1.27,98.73,"New (return target, stationary features)"
BAHL,LSTM,Target_High,4.17,3.89,96.11,"Old (price target, raw features)"
BAHL,Linear Regression,Target_High,1.21,1.14,98.86,"New (return target, stationary features)"
BAHL,Linear Regression,Target_High,1.36,1.3,98.7,"Old (price target, raw features)"
BAHL,Random Forest,Target_High,1.18,1.12,98.88,"New (return target, stationary features)"
BAHL,Random Forest,Target_High,1.2,1.14,98.86,"Old (price target, raw features)"
BAHL,XGBoost,Target_High,1.18,1.13,98.87,"New (return target, stationary features)"
BAHL,XGBoost,Target_High,1.23,1.17,98.83,"Old (price target, raw features)"
BAHL,LSTM,Target_Low,1.18,1.15,98.85,"New (return target, stationary features)"
BAHL,LSTM,Target_Low,4.15,4.07,95.93,"Old (price target, raw features)"
BAHL,Linear Regression,Target_Low,1.21,1.21,98.79,"New (return target, stationary features)"
BAHL,Linear Regression,Target_Low,1.42,1.43,98.57,"Old (price target, raw features)"
BAHL,Random Forest,Target_Low,1.2,1.19,98.81,"New (return target, stationary features)"
BAHL,Random Forest,Target_Low,1.22,1.21,98.79,"Old (price target, raw features)"
BAHL,XGBoost,Target_Low,1.22,1.22,98.78,"New (return target, stationary features)"
BAHL,XGBoost,Target_Low,1.2,1.19,98.81,"Old (price target, raw features)"
COLG,LSTM,Target_High,12.92,0.98,99.02,"New (return target, stationary features)"
COLG,LSTM,Target_High,53.12,4.11,95.89,"Old (price target, raw features)"
COLG,Linear Regression,Target_High,10.68,0.79,99.21,"New (return target, stationary features)"
COLG,Linear Regression,Target_High,10.35,0.77,99.23,"Old (price target, raw features)"
COLG,Random Forest,Target_High,10.73,0.8,99.2,"New (return target, stationary features)"
COLG,Random Forest,Target_High,14.73,1.1,98.9,"Old (price target, raw features)"
COLG,XGBoost,Target_High,10.64,0.79,99.21,"New (return target, stationary features)"
COLG,XGBoost,Target_High,12.77,0.95,99.05,"Old (price target, raw features)"
COLG,LSTM,Target_Low,9.4,0.76,99.24,"New (return target, stationary features)"
COLG,LSTM,Target_Low,28.19,2.2,97.8,"Old (price target, raw features)"
COLG,Linear Regression,Target_Low,10.42,0.82,99.18,"New (return target, stationary features)"
COLG,Linear Regression,Target_Low,10.65,0.84,99.16,"Old (price target, raw features)"
COLG,Random Forest,Target_Low,10.82,0.85,99.15,"New (return target, stationary features)"
COLG,Random Forest,Target_Low,17.92,1.39,98.61,"Old (price target, raw features)"
COLG,XGBoost,Target_Low,10.74,0.84,99.16,"New (return target, stationary features)"
COLG,XGBoost,Target_Low,14.5,1.13,98.87,"Old (price target, raw features)"
