Ticker,Model,Target,MAE,MAPE,Accuracy_%
BAHL,Random Forest,Target_High,1.18,1.12,98.88
BAHL,XGBoost,Target_High,1.18,1.13,98.87
BAHL,Linear Regression,Target_High,1.21,1.14,98.86
BAHL,LSTM,Target_High,1.37,1.27,98.73
BAHL,LSTM,Target_Low,1.18,1.15,98.85
BAHL,Random Forest,Target_Low,1.2,1.19,98.81
BAHL,Linear Regression,Target_Low,1.21,1.21,98.79
BAHL,XGBoost,Target_Low,1.22,1.22,98.78
COLG,Linear Regression,Target_High,10.68,0.79,99.21
COLG,XGBoost,Target_High,10.64,0.79,99.21
COLG,Random Forest,Target_High,10.73,0.8,99.2
COLG,LSTM,Target_High,12.92,0.98,99.02
COLG,LSTM,Target_Low,9.4,0.76,99.24
COLG,Linear Regression,Target_Low,10.42,0.82,99.18
COLG,XGBoost,Target_Low,10.74,0.84,99.16
COLG,Random Forest,Target_Low,10.82,0.85,99.15
DGKC,Linear Regression,Target_High,1.07,1.25,98.75
DGKC,XGBoost,Target_High,1.07,1.25,98.75
DGKC,Random Forest,Target_High,1.07,1.26,98.74
DGKC,LSTM,Target_High,1.15,1.34,98.66
DGKC,LSTM,Target_Low,1.02,1.25,98.75
DGKC,XGBoost,Target_Low,1.03,1.28,98.72
DGKC,Linear Regression,Target_Low,1.04,1.29,98.71
DGKC,Random Forest,Target_Low,1.04,1.29,98.71
EFERT,XGBoost,Target_High,1.87,1.1,98.9
EFERT,Linear Regression,Target_High,1.88,1.11,98.89
EFERT,Random Forest,Target_High,1.9,1.13,98.87
EFERT,LSTM,Target_High,2.05,1.17,98.83
EFERT,Random Forest,Target_Low,1.51,0.92,99.08
EFERT,Linear Regression,Target_Low,1.53,0.93,99.07
EFERT,LSTM,Target_Low,1.6,0.94,99.06
EFERT,XGBoost,Target_Low,1.56,0.95,99.05
ENGROH,Random Forest,Target_High,2.16,1.34,98.66
ENGROH,Linear Regression,Target_High,2.18,1.35,98.65
ENGROH,XGBoost,Target_High,2.18,1.35,98.65
ENGROH,LSTM,Target_High,2.54,1.54,98.46
ENGROH,Random Forest,Target_Low,1.67,1.09,98.91
ENGROH,Linear Regression,Target_Low,1.67,1.1,98.9
ENGROH,XGBoost,Target_Low,1.73,1.13,98.87
ENGROH,LSTM,Target_Low,1.79,1.14,98.86
FFC,XGBoost,Target_High,2.88,1.31,98.69
FFC,Linear Regression,Target_High,2.91,1.32,98.68
FFC,Random Forest,Target_High,2.92,1.33,98.67
FFC,LSTM,Target_High,3.49,1.56,98.44
FFC,Linear Regression,Target_Low,2.21,1.04,98.96
FFC,Random Forest,Target_Low,2.22,1.05,98.95
FFC,XGBoost,Target_Low,2.23,1.06,98.94
FFC,LSTM,Target_Low,2.42,1.1,98.9
HBL,XGBoost,Target_High,1.41,1.05,98.95
HBL,Linear Regression,Target_High,1.44,1.06,98.94
HBL,Random Forest,Target_High,1.44,1.06,98.94
HBL,LSTM,Target_High,1.79,1.29,98.71
HBL,XGBoost,Target_Low,1.13,0.89,99.11
HBL,LSTM,Target_Low,1.19,0.92,99.08
HBL,Random Forest,Target_Low,1.19,0.93,99.07
HBL,Linear Regression,Target_Low,1.2,0.94,99.06
HUBC,XGBoost,Target_High,1.61,1.22,98.78
HUBC,Linear Regression,Target_High,1.63,1.23,98.77
HUBC,Random Forest,Target_High,1.64,1.24,98.76
HUBC,LSTM,Target_High,1.8,1.35,98.65
HUBC,Linear Regression,Target_Low,1.57,1.26,98.74
HUBC,Random Forest,Target_Low,1.57,1.27,98.73
HUBC,XGBoost,Target_Low,1.58,1.27,98.73
HUBC,LSTM,Target_Low,1.67,1.34,98.66
ILP,Linear Regression,Target_High,0.83,1.12,98.88
ILP,Random Forest,Target_High,0.83,1.13,98.87
ILP,XGBoost,Target_High,0.85,1.15,98.85
ILP,LSTM,Target_High,0.92,1.25,98.75
ILP,Random Forest,Target_Low,0.84,1.19,98.81
ILP,XGBoost,Target_Low,0.85,1.22,98.78
ILP,Linear Regression,Target_Low,0.87,1.23,98.77
ILP,LSTM,Target_Low,0.88,1.25,98.75
INDU,Linear Regression,Target_High,17.6,1.0,99.0
INDU,LSTM,Target_High,18.11,1.01,98.99
INDU,Random Forest,Target_High,18.23,1.04,98.96
INDU,XGBoost,Target_High,18.31,1.04,98.96
INDU,LSTM,Target_Low,17.59,1.03,98.97
INDU,Random Forest,Target_Low,17.89,1.07,98.93
INDU,Linear Regression,Target_Low,18.03,1.08,98.92
INDU,XGBoost,Target_Low,18.09,1.08,98.92
LUCK,Linear Regression,Target_High,8.72,0.93,99.07
LUCK,Random Forest,Target_High,9.08,0.97,99.03
LUCK,XGBoost,Target_High,9.19,0.98,99.02
LUCK,LSTM,Target_High,9.72,1.02,98.98
LUCK,LSTM,Target_Low,8.44,0.93,99.07
LUCK,Linear Regression,Target_Low,8.41,0.95,99.05
