Model,Target,MAE,RMSE,MAPE,R2,Accuracy_%,Horizon,Directional_Accuracy_%,Improvement_over_Naive_%
Random Forest,High,8.58,50.74,1.37,0.9987,98.63,1,94.37,13.98
XGBoost,High,8.54,50.51,1.37,0.9987,98.63,1,94.32,14.38
Linear Regression,High,8.87,51.61,1.44,0.9986,98.56,1,94.42,11.07
LSTM,High,8.41,51.84,1.44,0.9985,98.56,1,95.39,12.32
GRU,High,9.06,51.92,1.49,0.9985,98.51,1,94.81,5.54
Random Forest,Low,8.12,47.79,1.32,0.9988,98.68,1,85.31,15.95
LSTM,Low,7.44,47.64,1.32,0.9987,98.68,1,85.21,17.75
XGBoost,Low,8.05,47.63,1.33,0.9988,98.67,1,85.27,16.67
GRU,Low,8.07,48.79,1.36,0.9986,98.64,1,84.72,10.79
Linear Regression,Low,8.42,48.46,1.41,0.9987,98.59,1,84.99,12.84
XGBoost,High,25.0,114.21,4.38,0.9932,95.62,5,64.23,-11.45
Random Forest,High,24.22,111.56,4.4,0.9935,95.6,5,65.62,-7.98
LSTM,High,22.21,110.27,4.4,0.9934,95.6,5,70.42,0.59
Linear Regression,High,23.02,110.19,4.56,0.9937,95.44,5,68.89,-2.63
GRU,High,26.8,122.9,4.74,0.9918,95.26,5,68.17,-19.96
LSTM,Low,19.09,103.95,4.19,0.9938,95.81,5,58.32,4.22
Linear Regression,Low,20.8,103.74,4.27,0.9941,95.73,5,60.27,-1.65
XGBoost,Low,21.77,104.62,4.31,0.994,95.69,5,58.23,-6.39
Random Forest,Low,23.04,108.55,4.32,0.9935,95.68,5,59.37,-12.6
GRU,Low,25.76,120.74,4.53,0.9916,95.47,5,53.53,-29.24
LSTM,High,34.52,157.77,6.95,0.9864,93.05,10,65.29,-6.33
XGBoost,High,38.79,159.35,6.99,0.9867,93.01,10,56.44,-20.13
Linear Regression,High,34.51,153.4,7.06,0.9877,92.94,10,64.93,-6.88
Random Forest,High,36.06,152.99,7.11,0.9877,92.89,10,58.25,-11.68
GRU,High,41.76,174.02,7.24,0.9834,92.76,10,59.02,-28.64
Linear Regression,Low,32.93,148.17,6.81,0.9879,93.19,10,54.69,-9.77
XGBoost,Low,34.95,148.57,6.88,0.9878,93.12,10,52.03,-16.5
LSTM,Low,30.64,146.47,6.92,0.9876,93.08,10,53.27,-3.48
GRU,Low,39.47,166.31,7.08,0.984,92.92,10,50.95,-33.3
Random Forest,Low,36.31,153.07,7.1,0.9871,92.9,10,53.74,-21.03
LSTM,High,51.97,207.93,10.66,0.9762,89.34,20,62.07,-4.16
GRU,High,59.69,227.14,10.82,0.9716,89.18,20,58.83,-19.63
Linear Regression,High,52.44,205.35,10.83,0.9776,89.17,20,61.17,-6.12
XGBoost,High,54.98,208.95,11.2,0.9769,88.8,20,50.99,-11.26
Random Forest,High,53.88,203.08,11.53,0.9781,88.47,20,50.52,-9.03
Linear Regression,Low,50.01,198.08,10.55,0.9781,89.45,20,53.85,-6.72
GRU,Low,57.07,221.14,10.66,0.9716,89.34,20,49.26,-22.03
LSTM,Low,52.51,212.4,10.7,0.9738,89.3,20,49.37,-12.28
XGBoost,Low,53.3,202.54,11.18,0.9771,88.82,20,47.94,-13.74
Random Forest,Low,51.53,195.07,11.46,0.9787,88.54,20,47.84,-9.96
Linear Regression,High,95.58,298.05,19.9,0.9521,80.1,60,58.78,2.21
GRU,High,105.05,305.56,20.25,0.9485,79.75,60,58.14,-5.93
XGBoost,High,100.44,307.12,21.21,0.9491,78.79,60,51.99,-2.77
LSTM,High,108.19,320.03,22.39,0.9435,77.61,60,55.87,-9.1
Random Forest,High,106.05,319.18,23.44,0.9451,76.56,60,49.3,-8.51
Linear Regression,Low,92.45,291.79,19.74,0.9517,80.26,60,53.19,1.77
GRU,Low,100.91,298.02,20.07,0.9485,79.93,60,52.46,-6.68
XGBoost,Low,96.56,300.5,21.45,0.9487,78.55,60,47.87,-2.6
LSTM,Low,115.13,329.33,23.01,0.9371,76.99,60,53.79,-21.71
Random Forest,Low,102.57,309.37,23.27,0.9457,76.73,60,50.39,-8.98
