Ticker,Model,Target,MAE,MAPE,Accuracy_%,Horizon,Directional_Accuracy_%,Improvement_over_Naive_%
BAHL,Random Forest,Target_High,1.18,1.12,98.88,1,94.72,19.19
BAHL,XGBoost,Target_High,1.18,1.13,98.87,1,94.72,18.74
BAHL,Linear Regression,Target_High,1.21,1.14,98.86,1,94.72,17.17
BAHL,LSTM,Target_High,1.29,1.19,98.81,1,94.91,14.96
BAHL,GRU,Target_High,1.36,1.25,98.75,1,94.91,10.56
BAHL,LSTM,Target_Low,1.21,1.18,98.82,1,88.43,23.26
BAHL,Random Forest,Target_Low,1.2,1.19,98.81,1,88.21,20.86
BAHL,GRU,Target_Low,1.23,1.19,98.81,1,88.43,21.84
BAHL,Linear Regression,Target_Low,1.21,1.21,98.79,1,88.21,20.01
BAHL,XGBoost,Target_Low,1.22,1.22,98.78,1,87.8,19.25
COLG,Linear Regression,Target_High,10.68,0.79,99.21,1,93.09,14.45
COLG,XGBoost,Target_High,10.64,0.79,99.21,1,93.09,14.76
COLG,Random Forest,Target_High,10.73,0.8,99.2,1,93.09,14.07
COLG,LSTM,Target_High,12.72,0.97,99.03,1,94.91,-5.9
COLG,GRU,Target_High,13.99,1.06,98.94,1,94.91,-16.44
COLG,GRU,Target_Low,9.73,0.79,99.21,1,93.06,24.99
COLG,Linear Regression,Target_Low,10.42,0.82,99.18,1,93.09,28.23
COLG,XGBoost,Target_Low,10.74,0.84,99.16,1,92.68,26.02
COLG,Random Forest,Target_Low,10.82,0.85,99.15,1,92.68,25.46
COLG,LSTM,Target_Low,10.51,0.85,99.15,1,93.52,18.97
DGKC,Linear Regression,Target_High,1.07,1.25,98.75,1,98.37,29.48
DGKC,XGBoost,Target_High,1.07,1.25,98.75,1,98.37,29.43
DGKC,Random Forest,Target_High,1.07,1.26,98.74,1,98.37,29.4
DGKC,LSTM,Target_High,1.11,1.29,98.71,1,98.61,27.67
DGKC,GRU,Target_High,1.14,1.32,98.68,1,98.61,26.02
DGKC,XGBoost,Target_Low,1.03,1.28,98.72,1,84.55,23.57
DGKC,LSTM,Target_Low,1.04,1.28,98.72,1,84.26,21.42
DGKC,Linear Regression,Target_Low,1.04,1.29,98.71,1,84.55,22.91
DGKC,Random Forest,Target_Low,1.04,1.29,98.71,1,84.55,22.56
DGKC,GRU,Target_Low,1.09,1.33,98.67,1,83.33,17.93
EFERT,GRU,Target_High,1.89,1.08,98.92,1,94.91,12.39
EFERT,XGBoost,Target_High,1.87,1.1,98.9,1,94.72,11.73
EFERT,Linear Regression,Target_High,1.88,1.11,98.89,1,94.72,10.99
EFERT,LSTM,Target_High,1.95,1.11,98.89,1,94.91,9.7
EFERT,Random Forest,Target_High,1.9,1.13,98.87,1,94.72,10.02
EFERT,Random Forest,Target_Low,1.51,0.92,99.08,1,87.4,21.9
EFERT,Linear Regression,Target_Low,1.53,0.93,99.07,1,87.4,21.04
EFERT,LSTM,Target_Low,1.61,0.94,99.06,1,86.57,18.24
EFERT,XGBoost,Target_Low,1.56,0.95,99.05,1,87.4,19.43
EFERT,GRU,Target_Low,1.67,0.98,99.02,1,86.57,14.9
ENGROH,Random Forest,Target_High,2.16,1.34,98.66,1,94.31,23.16
ENGROH,Linear Regression,Target_High,2.18,1.35,98.65,1,94.31,22.43
ENGROH,XGBoost,Target_High,2.18,1.35,98.65,1,94.31,22.44
ENGROH,LSTM,Target_High,2.48,1.5,98.5,1,95.37,17.94
ENGROH,GRU,Target_High,2.55,1.52,98.48,1,95.37,15.76
ENGROH,Random Forest,Target_Low,1.67,1.09,98.91,1,82.93,29.22
ENGROH,Linear Regression,Target_Low,1.67,1.1,98.9,1,83.74,29.05
ENGROH,XGBoost,Target_Low,1.73,1.13,98.87,1,82.93,26.68
ENGROH,LSTM,Target_Low,1.8,1.15,98.85,1,83.33,29.78
ENGROH,GRU,Target_Low,1.83,1.17,98.83,1,82.41,28.58
FFC,XGBoost,Target_High,2.88,1.31,98.69,1,97.15,20.13
FFC,Linear Regression,Target_High,2.91,1.32,98.68,1,97.15,19.1
FFC,Random Forest,Target_High,2.92,1.33,98.67,1,97.15,18.87
FFC,LSTM,Target_High,3.38,1.5,98.5,1,96.76,15.28
FFC,GRU,Target_High,3.5,1.53,98.47,1,96.76,12.26
FFC,Linear Regression,Target_Low,2.21,1.04,98.96,1,81.71,29.38
FFC,Random Forest,Target_Low,2.22,1.05,98.95,1,81.71,28.96
FFC,XGBoost,Target_Low,2.23,1.06,98.94,1,80.89,28.81
FFC,GRU,Target_Low,2.38,1.06,98.94,1,81.48,30.68
FFC,LSTM,Target_Low,2.5,1.14,98.86,1,81.48,27.12
HBL,XGBoost,Target_High,1.41,1.05,98.95,1,94.31,25.32
HBL,Linear Regression,Target_High,1.44,1.06,98.94,1,94.31,23.89
HBL,Random Forest,Target_High,1.44,1.06,98.94,1,93.9,23.96
HBL,LSTM,Target_High,1.7,1.23,98.77,1,94.44,15.68
HBL,GRU,Target_High,1.72,1.23,98.77,1,94.44,14.98
HBL,XGBoost,Target_Low,1.13,0.89,99.11,1,89.43,38.29
HBL,Random Forest,Target_Low,1.19,0.93,99.07,1,89.02,34.86
HBL,LSTM,Target_Low,1.2,0.93,99.07,1,89.81,35.68
HBL,Linear Regression,Target_Low,1.2,0.94,99.06,1,89.02,34.22
