Model,Target,Horizon,Epoch,Train_Loss,Val_Loss
LSTM,High,1,1,0.0007276773685589433,0.0006007037591189146
LSTM,High,1,2,0.00036219507455825806,0.0005796995246782899
LSTM,High,1,3,0.0003565323422662914,0.0005914628272876143
LSTM,High,1,4,0.000354546878952533,0.0005470648175105453
LSTM,High,1,5,0.00035305327037349343,0.00045486402814276516
LSTM,High,1,6,0.00035072877653874457,0.0004770367522723973
LSTM,High,1,7,0.0003504933265503496,0.00041492475429549813
LSTM,High,1,8,0.00034943496575579047,0.0004252459912095219
LSTM,High,1,9,0.0003469692310318351,0.0004425970546435565
LSTM,High,1,10,0.0003466687921900302,0.0004460565105546266
LSTM,High,1,11,0.00034667050931602716,0.00043099213507957757
LSTM,High,1,12,0.00034535652957856655,0.0004159632371738553
LSTM,High,1,13,0.000343486201018095,0.0004122138489037752
LSTM,High,1,14,0.0003420324937906116,0.00042864057468250394
LSTM,High,1,15,0.00034196587512269616,0.0004301420703995973
LSTM,High,1,16,0.00033947284100577235,0.0004141004756093025
LSTM,High,1,17,0.00033759677899070084,0.0004182924749329686
LSTM,High,1,18,0.00033489250927232206,0.0004234007792547345
LSTM,High,1,19,0.00033479550620540977,0.00042761900112964213
LSTM,High,1,20,0.0003314529894851148,0.00042335627949796617
LSTM,High,1,21,0.0003277584328316152,0.00042925597517751157
LSTM,High,1,22,0.00032672888482920825,0.0004291392397135496
LSTM,High,1,23,0.0003242451639380306,0.00042472415952943265
GRU,High,1,1,0.0025946039050314482,0.0010204442078247666
GRU,High,1,2,0.0005391988842443521,0.0007817264413461089
GRU,High,1,3,0.00044838884079823716,0.0007059922791086137
GRU,High,1,4,0.00041645554371975665,0.0006460477015934885
GRU,High,1,5,0.0003897578874235406,0.0006193885346874595
GRU,High,1,6,0.00037694531511332877,0.000593748118262738
GRU,High,1,7,0.0003684912400729023,0.0005443044356070459
GRU,High,1,8,0.0003613303790958121,0.0005143675371073186
GRU,High,1,9,0.00035533131982036514,0.000526759831700474
GRU,High,1,10,0.0003541928168357138,0.0004795534478034824
GRU,High,1,11,0.0003478123225406073,0.0004783427866641432
GRU,High,1,12,0.0003448000470755983,0.000455336004961282
GRU,High,1,13,0.00034630393949455,0.0005006332066841424
GRU,High,1,14,0.0003419435211530367,0.0004464485973585397
GRU,High,1,15,0.0003389699639541343,0.00045101894647814333
GRU,High,1,16,0.00033911392562099906,0.0004575519997160882
GRU,High,1,17,0.00033896891934279616,0.0005105282180011272
GRU,High,1,18,0.0003360158792458585,0.00045289270929060876
GRU,High,1,19,0.0003346950516561505,0.0004556055355351418
GRU,High,1,20,0.0003319052200001561,0.00046550025581382215
GRU,High,1,21,0.00032920332172678445,0.0004629555332940072
GRU,High,1,22,0.00032785946094270567,0.00046791223576292396
GRU,High,1,23,0.0003255396896640779,0.0005009337910450995
GRU,High,1,24,0.0003220888195416713,0.00045616040006279945
LSTM,Low,1,1,0.0009499292937107384,0.00032192663638852537
LSTM,Low,1,2,0.0003404495364520699,0.0003071038518100977
LSTM,Low,1,3,0.00032843052758835256,0.00031276416848413646
LSTM,Low,1,4,0.00032510460005141795,0.00030678531038574874
LSTM,Low,1,5,0.0003222204395569861,0.00029975161305628717
LSTM,Low,1,6,0.00032073870534077287,0.0002941913844551891
LSTM,Low,1,7,0.0003187107213307172,0.0003088402154389769
LSTM,Low,1,8,0.00031704871798865497,0.000298143713735044
LSTM,Low,1,9,0.0003160311607643962,0.0002878383093047887
LSTM,Low,1,10,0.0003148815012536943,0.0002991029468830675
LSTM,Low,1,11,0.0003130719414912164,0.0002927191089838743
LSTM,Low,1,12,0.0003114427672699094,0.00029605458257719874
LSTM,Low,1,13,0.00030999703449197114,0.0002938020625151694
LSTM,Low,1,14,0.0003098576853517443,0.0002972942602355033
LSTM,Low,1,15,0.00030873253126628697,0.0002996872062794864
LSTM,Low,1,16,0.00030680373311042786,0.0002909901086241007
LSTM,Low,1,17,0.0003045412013307214,0.00029767033993266523
LSTM,Low,1,18,0.0003024844918400049,0.00029435139731504023
LSTM,Low,1,19,0.0003002143057528883,0.00030276653706096113
GRU,Low,1,1,0.0026773313828862316,0.0009994142455980182
GRU,Low,1,2,0.0005115722474546405,0.0006772192427888513
GRU,Low,1,3,0.0004183046141560302,0.0005134539678692818
GRU,Low,1,4,0.00038683726114599205,0.00048787807463668287
GRU,Low,1,5,0.00036120611816175825,0.0004771463864017278
GRU,Low,1,6,0.0003487637092839898,0.00046505051432177424
GRU,Low,1,7,0.00033801094682023937,0.00041167301242239773
GRU,Low,1,8,0.00032936482763576446,0.00040820622234605253
GRU,Low,1,9,0.0003262334540826574,0.0003923324402421713
GRU,Low,1,10,0.00032387704390194976,0.0003531325201038271
GRU,Low,1,11,0.00031658380881982595,0.0003557481395546347
GRU,Low,1,12,0.00031401087156400183,0.000337314500939101
GRU,Low,1,13,0.0003104065067750518,0.00033022419665940106
GRU,Low,1,14,0.00031140497571881774,0.000315395271172747
GRU,Low,1,15,0.0003113106753808398,0.0003159159969072789
GRU,Low,1,16,0.0003078863466451591,0.00034082456841133535
GRU,Low,1,17,0.0003060589995486991,0.00035653807572089136
GRU,Low,1,18,0.0003039992396586056,0.00032893859315663576
GRU,Low,1,19,0.0003027811306695105,0.0003183115622960031
GRU,Low,1,20,0.00030087286179959446,0.0003254729672335088
GRU,Low,1,21,0.00029704350938305747,0.00032266328344121575
GRU,Low,1,22,0.00029691765630795834,0.0003308209415990859
GRU,Low,1,23,0.0002918341227222415,0.0003473593096714467
GRU,Low,1,24,0.0002894548194673212,0.0003527597582433373
LSTM,High,5,1,0.003542826510965824,0.0034458297304809093
LSTM,High,5,2,0.0030038480181246996,0.0034252596087753773
LSTM,High,5,3,0.002923781517893076,0.0037158436607569456
LSTM,High,5,4,0.0028350597713142633,0.0039488524198532104
LSTM,High,5,5,0.002776889130473137,0.0038676494732499123
LSTM,High,5,6,0.002676841104403138,0.004352474119514227
LSTM,High,5,7,0.0025833521503955126,0.004625313449651003
LSTM,High,5,8,0.002476936439052224,0.0049774134531617165
LSTM,High,5,9,0.0023910165764391422,0.004285215865820646
LSTM,High,5,10,0.0022569841239601374,0.004603179171681404
LSTM,High,5,11,0.002143522957339883,0.0046676588244736195
LSTM,High,5,12,0.002011814620345831,0.00458741607144475
GRU,High,5,1,0.005298364389967615,0.004312450531870127
GRU,High,5,2,0.0031694530721642126,0.004646086599677801
GRU,High,5,3,0.0029619045042032833,0.004200190305709839
GRU,High,5,4,0.0028817901002421258,0.003952631726861
GRU,High,5,5,0.002813675555186659,0.0040702782571315765
GRU,High,5,6,0.002752128120269356,0.0038742965552955866
GRU,High,5,7,0.002702892403154452,0.004134112037718296
GRU,High,5,8,0.0026755412214629374,0.0040342253632843494
GRU,High,5,9,0.0025883701967228862,0.0040637534111738205
GRU,High,5,10,0.0025183383544279594,0.004192435182631016
GRU,High,5,11,0.0024432383420767236,0.004195484332740307
GRU,High,5,12,0.0023813679314418465,0.004316224250942469
GRU,High,5,13,0.0023013383854916278,0.0044531975872814655
GRU,High,5,14,0.0022318726524882607,0.004530729725956917
GRU,High,5,15,0.0021486977666754477,0.004715976305305958
GRU,High,5,16,0.002084038332181162,0.004697420168668032
LSTM,Low,5,1,0.0038781880866736174,0.0027798768132925034
LSTM,Low,5,2,0.002829885110259056,0.0027954624965786934
LSTM,Low,5,3,0.002774531487375498,0.002762158401310444
LSTM,Low,5,4,0.0027016294188797474,0.0028472731355577707
LSTM,Low,5,5,0.002656282391399145,0.00330240442417562
LSTM,Low,5,6,0.002607690403237939,0.0028373089153319597
LSTM,Low,5,7,0.0025261736009269953,0.0029163567814975977
LSTM,Low,5,8,0.002502768998965621,0.0029719010926783085
LSTM,Low,5,9,0.002453133463859558,0.0030044587329030037
LSTM,Low,5,10,0.002371774287894368,0.003111576894298196
LSTM,Low,5,11,0.0022742741275578737,0.0031745117157697678
LSTM,Low,5,12,0.0022077488247305155,0.0031534575391560793
LSTM,Low,5,13,0.0021170906256884336,0.0033885077573359013
GRU,Low,5,1,0.00520230124980868,0.003640000009909272
GRU,Low,5,2,0.0029735658274001177,0.003921979572623968
GRU,Low,5,3,0.0027756597117216176,0.0033925329335033894
GRU,Low,5,4,0.0026874414063109728,0.0033630363177508116
GRU,Low,5,5,0.0026227973320216784,0.0033760573714971542
GRU,Low,5,6,0.0025545227614688745,0.0031900154426693916
GRU,Low,5,7,0.002517379611564829,0.0034831096418201923
GRU,Low,5,8,0.002481758675893569,0.00336451199837029
GRU,Low,5,9,0.00240060492449016,0.003341923700645566
