Ticker,Target,Horizon,N_Rows,Naive_MAE,Best_Single_Model,Best_Single_MAE,Best_Single_Improvement_over_Naive_%,Ensemble_MAE,Ensemble_Beats_Single,Ensemble_Improvement_over_Naive_%,Ensemble_Directional_Accuracy_%,Std_Error,P10,P90
BAHL,Close,1,216,1.58,LSTM,1.6,-0.9463754237369579,1.6,False,-1.0408744371868817,52.78,2.3497,-1.9918,2.4679
COLG,Close,1,216,10.02,Random Forest,9.86,1.6861460617367208,10.28,False,-2.526747910076812,49.54,17.8893,-16.4904,10.9831
DGKC,Close,1,216,1.62,LSTM,1.63,-1.029181280311453,1.62,True,-0.2862003474847607,47.22,2.1926,-2.1478,2.941
EFERT,Close,1,216,2.18,LSTM,2.2,-0.9345794229167841,2.21,False,-1.442396458665101,48.15,3.1702,-3.4713,4.0489
ENGROH,Close,1,216,2.63,Linear Regression,2.58,1.8882099225369777,2.62,False,0.5768416385081786,53.24,4.1991,-3.5817,4.8341
FFC,Close,1,216,3.88,LSTM,3.85,0.6278215644716457,3.9,False,-0.7530531145935027,52.78,6.516,-3.7723,7.8933
HBL,Close,1,216,1.96,XGBoost,1.85,5.480539755642797,1.91,False,2.652938322353813,56.48,2.9315,-2.8634,3.0462
HUBC,Close,1,216,2.17,LSTM,2.19,-0.5202820444837529,2.2,False,-0.9706440902484307,46.3,3.1878,-3.5099,3.327
ILP,Close,1,216,1.11,Random Forest,1.12,-1.6811728890391346,1.13,False,-1.8652717840016257,49.54,1.6473,-1.6819,1.5316
INDU,Close,1,216,13.91,Random Forest,14.62,-5.062448528842023,14.46,True,-3.909265004421673,47.22,24.3849,-16.3917,26.795
LUCK,Close,1,216,12.67,GRU,12.72,-0.3542154864398689,12.71,True,-0.28605146391739295,50.93,17.9852,-17.7741,21.5994
MARI,Close,1,216,43.13,Random Forest,42.19,2.1802137137847333,42.88,False,0.5848375576141641,56.02,216.5593,-40.6851,49.2601
MCB,Close,1,216,3.23,Linear Regression,3.21,0.5802640501477736,3.21,True,0.6576068197524626,56.48,4.8763,-4.1805,5.1033
MEBL,Close,1,216,3.06,Random Forest,2.96,3.300151437692169,3.02,False,1.220891804566289,58.33,4.6195,-3.6273,5.3537
MLCF,Close,1,216,0.71,XGBoost,0.71,-0.382090115864267,0.72,False,-1.0021101881466845,49.07,1.0119,-1.0459,1.1264
NESTLE,Close,1,182,64.08,Linear Regression,65.78,-2.659496019506574,64.91,True,-1.3086284376375121,56.04,100.6217,-92.2846,102.618
NETSOL,Close,1,216,2.82,Random Forest,2.84,-0.6673400790390706,2.84,False,-0.7728332318680503,47.69,3.9804,-3.8178,5.2575
OGDC,Close,1,216,2.65,LSTM,2.66,-0.386727035436204,2.7,False,-1.5749738747011146,44.91,3.8672,-3.2752,4.9422
PAKT,Close,1,191,19.16,LSTM,19.35,-1.0172568199611838,19.38,False,-1.1790693269673245,46.6,27.3837,-28.1514,29.331
PPL,Close,1,216,2.17,Linear Regression,2.18,-0.4518606495173559,2.17,True,0.018843303652185017,51.39,3.2986,-2.56,3.8072
PSO,Close,1,216,3.94,XGBoost,3.85,2.3193191282206294,3.85,True,2.324848535145681,56.02,6.2275,-4.0858,7.5497
SYS,Close,1,216,6.64,Linear Regression,6.58,0.9625650629569886,6.65,False,-0.11817392423399853,54.63,10.9084,-9.7306,10.0362
