Ticker,Target,Horizon,N_Rows,Naive_MAE,Best_Single_Model,Best_Single_MAE,Best_Single_Improvement_over_Naive_%,Ensemble_MAE,Ensemble_Beats_Single,Ensemble_Improvement_over_Naive_%
BAHL,Close,1,366,2.44,Linear Regression,2.49,-1.854431082204221,2.48,True,-1.5072999444818136
COLG,Close,1,366,8.35,Random Forest,8.31,0.4336002851833474,8.43,False,-1.0074494644723122
DGKC,Close,1,366,3.87,Random Forest,3.87,-0.05803360351924123,3.88,False,-0.304630008634114
EFERT,Close,1,366,2.64,XGBoost,2.61,0.923341100335216,2.63,False,0.2434090942062437
ENGROH,Close,1,366,4.39,Random Forest,4.35,0.8457020415620269,4.4,False,-0.23439995299989988
FFC,Close,1,366,6.13,Random Forest,6.24,-1.9166102840257588,6.23,True,-1.6283715538631065
HBL,Close,1,366,4.34,Random Forest,4.32,0.4521086154949195,4.33,False,0.25051420504461713
HUBC,Close,1,366,2.93,Random Forest,2.92,0.6065323165919632,2.92,False,0.4382275029163613
ILP,Close,1,366,1.39,XGBoost,1.4,-0.8470165822347718,1.42,False,-2.2108990404649886
INDU,Close,1,366,18.54,Linear Regression,18.37,0.8976532906871731,18.46,False,0.4489345421421413
LUCK,Close,1,361,13.31,Random Forest,13.11,1.473611497748194,13.47,False,-1.2342482262217613
MARI,Close,1,366,8.45,Random Forest,8.44,0.0889993462523514,8.55,False,-1.1504199581268804
MCB,Close,1,366,4.52,XGBoost,4.47,1.0162806719933686,4.5,False,0.41007066659094704
MEBL,Close,1,366,6.21,Random Forest,6.24,-0.45846706481474303,6.23,True,-0.3704861777786489
MLCF,Close,1,366,1.98,Random Forest,1.99,-0.6519819773682137,1.98,True,-0.15683071524013467
NESTLE,Close,1,366,57.59,Random Forest,56.68,1.5942079257492143,58.28,False,-1.1945866652239243
NETSOL,Close,1,366,2.31,XGBoost,2.29,0.8265981170223871,2.3,False,0.5384332578179511
OGDC,Close,1,366,3.94,Random Forest,3.92,0.42288268034969234,3.91,True,0.7572131616007604
