Model,Target,MAE,RMSE,MAPE,R2,Horizon,Directional_Accuracy_%,Improvement_over_Naive_%
Random Forest,Close,8.48,47.79,1.66,0.9988,1,51.78,-0.82
XGBoost,Close,8.58,47.56,1.68,0.9988,1,51.8,-2.01
LSTM,Close,8.31,48.71,1.71,0.9987,1,49.93,-3.66
Linear Regression,Close,8.74,47.7,1.72,0.9988,1,51.01,-3.91
GRU,Close,8.95,49.04,1.78,0.9987,1,49.5,-11.65
Random Forest,Open,7.43,49.08,0.82,0.9987,1,64.73,-6.79
LSTM,Open,6.54,49.89,0.82,0.9986,1,67.5,-0.08
XGBoost,Open,7.63,50.58,0.83,0.9986,1,64.14,-9.67
Linear Regression,Open,7.35,50.01,0.85,0.9987,1,60.75,-5.64
GRU,Open,7.44,51.2,0.9,0.9985,1,57.35,-13.85
LSTM,Close,20.66,106.78,4.44,0.9936,5,50.81,-3.68
XGBoost,Close,22.92,107.3,4.45,0.9938,5,51.14,-12.91
Random Forest,Close,22.73,106.96,4.54,0.9939,5,52.13,-11.97
Linear Regression,Close,22.02,106.0,4.59,0.994,5,53.62,-8.48
GRU,Close,26.52,121.32,4.73,0.9917,5,51.53,-33.08
XGBoost,Open,22.39,108.76,4.06,0.9937,5,52.52,-12.8
LSTM,Open,19.88,108.12,4.1,0.9935,5,53.6,-1.85
Random Forest,Open,24.94,118.04,4.14,0.9925,5,53.03,-25.65
Linear Regression,Open,21.29,105.82,4.17,0.994,5,53.42,-7.26
GRU,Open,25.03,118.1,4.48,0.9922,5,53.23,-28.23
LSTM,Close,34.28,155.36,6.97,0.9864,10,50.66,-14.59
Linear Regression,Close,33.24,149.02,7.01,0.9881,10,53.77,-10.72
XGBoost,Close,37.32,154.41,7.04,0.9872,10,49.38,-24.31
Random Forest,Close,35.8,150.27,7.2,0.9879,10,49.86,-19.25
GRU,Close,40.63,168.84,7.26,0.984,10,49.43,-35.81
LSTM,Open,29.87,150.41,6.54,0.9873,10,51.17,-0.21
XGBoost,Open,37.12,157.74,6.76,0.9866,10,50.34,-23.49
Linear Regression,Open,33.03,149.8,6.77,0.9879,10,54.85,-9.88
Random Forest,Open,36.14,154.88,6.95,0.9871,10,50.12,-20.23
GRU,Open,39.13,166.52,6.95,0.9844,10,51.1,-31.27
Linear Regression,Close,50.89,200.73,10.76,0.9781,20,53.49,-8.17
GRU,Close,57.48,221.27,10.79,0.9723,20,51.15,-21.32
LSTM,Close,50.62,203.1,11.08,0.9767,20,50.76,-6.84
XGBoost,Close,54.21,205.49,11.28,0.977,20,48.35,-15.22
Random Forest,Close,52.25,196.64,11.53,0.979,20,47.43,-11.06
Linear Regression,Open,49.94,199.41,10.54,0.9783,20,54.15,-5.49
GRU,Open,58.65,226.01,10.61,0.9711,20,51.3,-23.81
LSTM,Open,52.76,208.47,10.95,0.9755,20,53.79,-11.38
XGBoost,Open,54.66,206.17,11.01,0.9768,20,47.86,-15.46
Random Forest,Open,53.28,202.9,11.46,0.9776,20,47.78,-12.54
Linear Regression,Close,93.92,294.93,19.86,0.9518,60,55.66,1.6
GRU,Close,103.22,302.62,20.19,0.9481,60,54.69,-7.03
XGBoost,Close,97.56,303.03,21.41,0.9492,60,50.11,-2.22
LSTM,Close,119.61,360.68,22.92,0.9263,60,56.6,-24.03
Random Forest,Close,104.0,311.55,23.53,0.9463,60,49.32,-8.96
Linear Regression,Open,92.42,292.53,19.74,0.9527,60,56.26,3.39
GRU,Open,103.41,301.93,20.14,0.9485,60,54.54,-7.19
XGBoost,Open,97.89,303.18,21.19,0.9492,60,49.91,-2.33
LSTM,Open,109.28,324.0,22.46,0.9407,60,55.51,-13.27
Random Forest,Open,106.05,317.46,23.34,0.9443,60,49.04,-10.86
