Ticker,Target,Horizon,Model,Feature_1,Direction_1,Feature_2,Direction_2,Feature_3,Direction_3
AGP,Open,1,Random Forest,Volume,up,Close_to_EMA_12,up,Volume_SMA_20,down
AHCL,Open,1,Random Forest,Volume,up,Volume_SMA_20,up,Close_to_EMA_12,down
AICL,Open,1,XGBoost,Return_lag_1,up,Volume,up,Volume_SMA_20,up
AIRLINK,Open,1,XGBoost,Volume,up,DayOfWeek,up,Volume_SMA_20,up
ATRL,Open,1,Random Forest,Volume,up,Return_lag_1,up,Volume_SMA_20,up
BAFL,Open,1,Random Forest,Volume,up,Volume_SMA_20,up,Log_Return,down
BAHL,Open,1,XGBoost,Volume,up,Close_to_EMA_12,down,Open_Close_Range,up
CHCC,Open,1,XGBoost,Lower_Wick,down,Upper_Wick,up,Close_to_EMA_12,down
CNERGY,Open,1,Random Forest,Volume,up,Volume_SMA_20,up,Return_lag_2,up
CPHL,Open,1,Random Forest,Volume,up,Return_lag_1,up,DayOfWeek,up
DGKC,Open,1,XGBoost,Volume,up,Volume_SMA_20,up,DayOfWeek,up
EFERT,Open,1,Random Forest,Volume,up,Volume_SMA_20,up,DayOfWeek,up
ENGROH,Open,1,Random Forest,Volume,up,Volume_SMA_20,up,DayOfWeek,up
FABL,Open,1,Random Forest,Volume,up,Volume_SMA_20,up,DayOfWeek,up
FATIMA,Open,1,Random Forest,Volume,up,Volume_SMA_20,up,DayOfWeek,up
FFC,Open,1,Random Forest,Volume,up,Return_lag_1,up,DayOfWeek,up
GADT,Open,1,Random Forest,Return_lag_5,down,Volume_SMA_20,down,Close_to_EMA_12,down
GAL,Open,1,XGBoost,Volume,up,Upper_Wick,up,Volume_SMA_20,up
GHGL,Open,1,Random Forest,Volume,up,Volume_SMA_20,down,Close_to_EMA_12,down
GHNI,Open,1,Random Forest,Volume,up,Volume_SMA_20,down,Upper_Wick,up
GLAXO,Open,1,Random Forest,Volume,up,Volume_SMA_20,down,Close_to_EMA_12,up
HBL,Open,1,Random Forest,Volume,up,Volume_SMA_20,up,Open_Close_Range,up
HMB,Open,1,XGBoost,Volume,up,Close_to_EMA_12,down,Open_Close_Range,up
HUBC,Open,1,Random Forest,Volume,up,Return_lag_1,up,Volume_SMA_20,up
ILP,Open,1,XGBoost,Volume,up,Upper_Wick,down,Open_Close_Range,up
JVDC,Open,1,XGBoost,Volume,up,Close_to_EMA_12,down,Return_1d,down
KAPCO,Open,1,Random Forest,Volume,up,Volume_SMA_20,up,Return_lag_1,up
LOTCHEM,Open,1,XGBoost,Volume,up,Volume_SMA_20,up,Lower_Wick,up
MEBL,Open,1,Random Forest,Volume,up,Volume_SMA_20,up,Return_1d,down
MLCF,Open,1,Random Forest,Volume,up,Volume_SMA_20,up,DayOfWeek,up
NBP,Open,1,Random Forest,Volume,up,Volume_SMA_20,up,DayOfWeek,up
NETSOL,Open,1,Random Forest,Volume,up,Volume_SMA_20,down,DayOfWeek,up
NML,Open,1,XGBoost,Volume,up,Volume_SMA_20,up,Return_1d,down
OGDC,Open,1,Random Forest,Volume,up,Volume_SMA_20,up,Return_lag_1,down
PABC,Open,1,XGBoost,Close_to_EMA_12,down,Volume,down,Volume_lag_1,down
PAEL,Open,1,Random Forest,Volume,up,Volume_SMA_20,up,Return_lag_1,up
PGLC,Open,1,XGBoost,Volume,down,ATR_Pct,down,Open_Close_Range,up
PIBTL,Open,1,Random Forest,Volume,up,Volume_SMA_20,up,Rolling_Max_20,down
PKGS,Open,1,Random Forest,Close_to_EMA_12,up,Open_Close_Range,up,Volume_SMA_20,down
PPL,Open,1,Random Forest,Volume,up,Volume_SMA_20,up,DayOfWeek,up
PSX,Open,1,Random Forest,Volume,up,Volume_SMA_20,up,Volume_lag_5,up
PTC,Open,1,Random Forest,Volume,up,Volume_SMA_20,up,DayOfWeek,up
SAZEW,Open,1,XGBoost,Lower_Wick,down,Upper_Wick,up,Volume,up
SHFA,Open,1,Random Forest,Volume,down,Open_Close_Range,down,Volume_SMA_20,down
SNGP,Open,1,Random Forest,Volume,up,Volume_SMA_20,up,Open_Close_Range,up
SSGC,Open,1,Random Forest,Volume,up,Volume_SMA_20,up,Open_Close_Range,up
SSOM,Open,1,Random Forest,Volume,down,Close_to_EMA_12,up,Volume_SMA_20,down
TGL,Open,1,Random Forest,Volume_SMA_20,down,Volume,up,Open_Close_Range,down
UBL,Open,1,Random Forest,Volume,up,Volume_SMA_20,up,DayOfWeek,up
UNITY,Open,1,Random Forest,Volume,up,Volume_SMA_20,up,Rolling_Min_20,up
YOUW,Open,1,XGBoost,Ticker_encoded,up,Volume,up,Low,down
ABL,Open,5,Random Forest,Close_to_SMA_50,down,Month,up,Volume,up
AKBL,Open,5,XGBoost,Rolling_Min_20,down,Volume_Ratio,down,Close_to_SMA_200,down
APL,Open,5,Random Forest,Volume,down,Month,up,Close_to_SMA_50,down
BAHL,Open,5,XGBoost,Rolling_Min_20,down,ATR_Pct,up,Close_to_SMA_200,down
BOP,Open,5,XGBoost,Volume_SMA_20,down,Volume_lag_5,down,Ticker_encoded,down
BWCL,Open,5,XGBoost,Rolling_Min_20,down,Open,up,ATR_Pct,up
CHCC,Open,5,Random Forest,Month,up,Return_10d,up,Volume,up
CNERGY,Open,5,Random Forest,Close_to_SMA_50,up,Volume_SMA_20,up,Month,down
GADT,Open,5,XGBoost,Rolling_Min_20,down,Return_lag_5,down,ATR_Pct,down
GAL,Open,5,XGBoost,Rolling_Min_20,down,Close_to_SMA_200,up,Close_to_SMA_50,up
HBL,Open,5,Random Forest,Close_to_SMA_50,up,Return_10d,up,Volume,up
HMB,Open,5,XGBoost,Rolling_Min_20,down,Close_to_SMA_200,down,ATR_Pct,up
