Date,Open,High,Low,Close,Volume
2018-01-01,669.5,680.0,663.4,668.02,2550
2018-01-02,670.0,670.0,660.0,660.89,4650
2018-01-03,656.0,660.0,635.0,640.14,14200
2018-01-04,645.0,665.0,645.0,651.51,24950
2018-01-05,640.1,650.0,640.0,645.67,6850
2018-01-08,650.0,650.1,642.0,644.97,19700
2018-01-09,650.0,650.0,637.0,641.04,89150
2018-01-10,640.0,651.0,635.0,639.05,332850
2018-01-11,644.0,646.5,629.5,636.18,38600
2018-01-12,635.0,635.0,620.01,628.18,32700
2018-01-15,625.0,625.0,613.0,616.98,11750
2018-01-16,613.0,630.5,610.0,629.91,11200
2018-01-17,625.26,627.9,622.99,625.44,2350
2018-01-18,625.0,637.0,625.0,629.69,363550
2018-01-19,630.0,661.17,625.0,654.24,86300
2018-01-22,662.0,686.95,650.0,680.28,457650
2018-01-23,682.0,708.0,680.0,703.74,146500
2018-01-24,703.0,720.0,699.0,704.25,87000
2018-01-25,715.0,735.0,700.05,726.86,83150
2018-01-26,735.0,735.0,711.5,719.37,22200
2018-01-29,715.01,720.0,710.0,718.08,14250
2018-01-30,722.0,740.0,720.0,733.93,10000
2018-01-31,730.0,738.0,723.0,725.59,7550
2018-02-01,729.0,745.0,729.0,734.38,32100
2018-02-02,739.0,744.0,730.5,738.0,15800
2018-02-06,730.0,747.99,728.0,730.41,7100
2018-02-07,735.0,735.0,720.0,722.91,11250
2018-02-08,725.0,725.0,714.0,715.64,15100
2018-02-09,710.0,710.0,705.0,706.66,16500
2018-02-12,704.0,704.0,699.0,703.99,6950
2018-02-13,691.5,698.0,689.0,690.5,5500
2018-02-14,700.0,701.0,670.0,673.08,58400
2018-02-15,700.0,700.0,650.15,669.77,12400
2018-02-16,670.0,676.0,660.0,673.74,18050
2018-02-19,675.0,675.0,660.1,661.7,7150
2018-02-20,663.0,663.0,655.0,656.06,1300
2018-02-21,664.0,664.0,644.0,647.5,6200
2018-02-22,640.0,650.0,630.79,640.95,17800
2018-02-23,646.5,652.0,640.0,641.0,17450
2018-02-26,649.5,673.05,630.0,656.01,51550
2018-02-27,657.9,664.0,640.0,650.32,64800
2018-02-28,653.99,655.99,650.0,652.59,3500
2018-03-01,651.03,660.0,647.1,648.66,5850
2018-03-02,655.85,660.0,650.0,651.39,8300
2018-03-05,650.1,660.0,650.01,660.0,4550
2018-03-06,660.0,668.9,659.99,665.0,3750
2018-03-07,668.0,668.0,660.0,660.0,750
2018-03-08,660.0,660.0,655.0,655.02,1250
2018-03-09,659.98,659.98,646.51,650.0,2050
2018-03-12,650.0,650.1,650.0,650.0,750
2018-03-13,655.0,660.0,650.01,658.33,27750
2018-03-14,651.2,669.0,651.2,666.0,3850
2018-03-15,665.0,666.0,665.0,665.0,15600
2018-03-16,662.01,666.01,662.01,666.0,750
2018-03-19,665.0,694.0,665.0,689.81,39000
2018-03-20,703.0,703.61,675.1,683.57,6150
2018-03-21,685.0,685.0,685.0,685.0,50
2018-03-22,685.0,700.0,685.0,699.17,15200
2018-03-26,688.68,699.17,680.11,697.82,19700
2018-03-27,690.0,704.0,690.0,694.92,1300
2018-03-28,700.0,705.0,700.0,701.9,3850
2018-03-29,703.0,715.0,700.0,705.0,19900
2018-03-30,700.0,730.0,695.0,720.91,38950
2018-04-02,720.0,739.99,720.0,733.07,13400
2018-04-03,730.01,732.0,725.02,729.99,2450
2018-04-04,730.0,737.0,725.0,726.28,3700
2018-04-05,726.0,726.0,717.0,724.0,800
2018-04-06,735.0,735.0,703.0,711.9,4900
2018-04-09,710.0,712.0,702.01,703.28,13700
2018-04-10,709.0,709.0,704.0,707.0,34300
2018-04-11,713.0,714.0,708.0,709.76,40600
2018-04-12,669.56,685.0,651.1,676.35,10750
2018-04-13,680.0,690.0,680.0,681.16,9150
2018-04-16,697.0,697.0,679.25,688.54,163900
2018-04-17,692.0,720.0,691.0,715.61,23150
2018-04-18,725.0,745.45,719.0,743.48,131150
2018-04-19,749.9,750.0,725.0,730.43,156100
2018-04-20,749.99,750.0,729.0,739.25,56550
2018-04-23,739.0,740.0,730.0,735.87,4400
2018-04-24,734.0,748.9,720.0,738.41,142500
2018-04-25,742.0,745.0,737.0,740.1,10250
2018-04-26,735.02,738.0,725.0,726.95,2000
2018-04-27,710.0,730.0,710.0,730.0,250
2018-04-30,730.0,730.0,719.0,722.0,3200
2018-05-02,725.0,736.44,715.0,717.5,10400
2018-05-03,715.0,729.5,715.0,720.0,311250
2018-05-04,709.25,716.0,709.25,715.0,600
2018-05-07,710.01,727.0,705.0,715.0,1700
2018-05-08,715.0,715.0,713.4,713.4,750
