Date,Open,High,Low,Close,Volume
2018-01-01,35.4,35.4,34.9,34.95,8000
2018-01-02,34.69,35.6,34.65,35.47,51500
2018-01-03,34.8,34.8,34.75,34.75,26000
2018-01-04,35.0,36.4,34.71,35.8,89500
2018-01-05,35.51,37.59,35.3,37.28,294500
2018-01-08,37.98,38.4,36.8,36.8,66500
2018-01-09,36.98,37.0,36.0,36.09,30000
2018-01-10,36.48,36.48,35.95,36.02,52000
2018-01-11,36.0,36.0,35.2,35.49,100000
2018-01-12,35.6,37.0,35.48,36.53,75500
2018-01-15,35.7,35.99,35.5,35.55,7500
2018-01-16,35.55,35.64,35.26,35.64,7000
2018-01-17,34.66,35.99,34.66,35.99,3500
2018-01-18,36.4,36.5,35.5,35.77,40000
2018-01-19,36.3,37.5,36.02,37.22,53500
2018-01-22,36.99,37.5,36.8,36.85,524000
2018-01-23,36.85,37.0,36.51,36.9,47500
2018-01-24,37.35,37.35,36.32,36.97,89000
2018-01-25,36.8,36.8,36.51,36.62,11500
2018-01-26,36.5,38.45,36.35,38.09,126500
2018-01-29,37.11,38.0,37.1,37.85,5500
2018-01-30,37.31,37.31,37.1,37.28,16500
2018-01-31,37.85,38.0,37.7,37.85,696000
2018-02-01,38.85,38.85,36.7,37.59,26000
2018-02-02,37.1,37.49,35.72,36.79,503500
2018-02-06,36.6,36.75,36.4,36.4,21000
2018-02-07,36.6,37.0,36.5,36.66,191500
2018-02-08,36.54,36.55,36.5,36.5,36500
2018-02-09,36.02,38.32,36.0,37.72,92500
2018-02-12,37.11,37.11,36.54,36.64,17000
2018-02-13,36.65,36.94,36.62,36.72,5000
2018-02-14,36.98,36.98,36.5,36.5,37500
2018-02-15,36.41,36.93,36.4,36.69,12000
2018-02-16,36.4,37.0,36.4,36.68,24000
2018-02-19,36.26,36.59,36.26,36.5,5000
2018-02-20,36.3,36.39,36.25,36.25,54500
2018-02-21,36.46,36.99,36.25,36.25,88500
2018-02-22,36.0,36.7,35.85,36.5,70000
2018-02-23,36.01,36.5,36.0,36.02,141500
2018-02-26,36.02,36.02,34.65,35.06,65000
2018-02-27,35.21,35.21,34.65,34.99,104000
2018-02-28,35.0,35.0,34.0,34.18,31000
2018-03-01,34.02,35.0,34.02,34.69,677000
2018-03-02,34.51,34.99,34.1,34.59,620500
2018-03-05,34.26,34.51,34.26,34.5,31000
2018-03-06,34.26,34.98,34.15,34.48,334000
