Date,Open,High,Low,Close,Volume
2018-01-01,52.2,52.2,51.51,52.0,113500
2018-01-02,52.85,52.9,51.5,51.85,160000
2018-01-03,52.8,52.8,52.05,52.69,43000
2018-01-04,52.99,53.5,52.5,53.5,40500
2018-01-05,53.0,55.0,53.0,54.09,199000
2018-01-08,54.5,55.5,54.5,54.92,80000
2018-01-09,54.01,55.0,53.99,54.42,140000
2018-01-10,54.5,56.5,54.5,55.93,341000
2018-01-11,56.25,56.68,55.5,56.0,68000
2018-01-12,55.21,55.21,54.8,55.0,213500
2018-01-15,54.15,54.25,54.0,54.01,22500
2018-01-16,54.49,55.02,54.0,55.0,67500
2018-01-17,55.09,55.09,55.0,55.0,3000
2018-01-18,55.99,57.75,55.99,56.6,316500
2018-01-19,57.0,58.5,56.55,57.38,90500
2018-01-22,57.79,58.7,56.5,56.84,181500
2018-01-23,56.35,56.35,56.05,56.14,18500
2018-01-24,57.0,57.0,56.31,56.4,38000
2018-01-25,56.2,57.0,56.0,56.98,15000
2018-01-26,0.0,56.98,56.98,56.98,1000000
2018-01-29,56.99,57.99,56.99,57.77,256500
2018-01-30,57.77,58.0,56.57,57.0,14000
2018-01-31,57.5,58.5,57.2,57.45,4412000
2018-02-01,58.89,59.2,58.0,59.12,227000
2018-02-02,59.7,60.25,58.99,59.02,728000
2018-02-06,58.01,58.01,57.0,57.15,332500
2018-02-07,58.3,58.3,57.0,57.61,540000
2018-02-08,57.51,57.51,57.1,57.15,12500
2018-02-09,57.48,58.5,57.45,58.28,84500
2018-02-12,58.0,58.0,57.51,57.55,928000
2018-02-13,58.0,58.49,57.5,57.95,64500
2018-02-14,57.9,57.99,57.7,57.99,37500
2018-02-15,57.5,58.75,57.5,58.36,228500
2018-02-16,58.0,58.0,58.0,58.0,5000
2018-02-19,57.26,57.98,56.6,56.97,602000
2018-02-20,56.62,56.75,56.55,56.75,19500
2018-02-21,57.45,57.45,56.5,56.5,143000
2018-02-22,56.51,57.49,56.5,57.13,28500
2018-02-23,57.0,58.47,56.09,56.99,97500
2018-02-26,56.6,56.65,56.0,56.0,169000
2018-02-27,55.9,56.01,55.9,56.0,303000
2018-02-28,56.3,57.75,56.06,57.01,582000
2018-03-01,57.25,57.25,56.6,57.0,175500
2018-03-02,57.0,57.1,56.6,57.0,159500
2018-03-05,56.55,56.55,56.55,56.55,18000
2018-03-06,56.5,56.5,56.15,56.18,890000
2018-03-07,56.49,56.5,55.11,55.4,57500
2018-03-08,55.5,55.5,55.0,55.0,11500
2018-03-09,55.01,55.5,55.01,55.47,8500
2018-03-12,55.05,55.75,55.0,55.5,44000
2018-03-13,55.25,55.25,54.5,54.5,513000
2018-03-14,55.0,55.0,54.0,54.1,233000
2018-03-15,54.0,54.5,53.0,53.2,314500
2018-03-16,53.2,53.49,52.5,53.38,977500
