Date,Open,High,Low,Close,Volume
2018-01-01,19.2,20.19,19.2,19.97,849500
2018-01-02,20.06,20.97,19.95,20.96,1552500
2018-01-03,21.05,21.5,20.9,21.42,2063500
2018-01-04,21.48,21.7,21.05,21.42,1784500
2018-01-05,21.4,21.7,21.31,21.46,387500
2018-01-08,21.46,21.52,21.2,21.28,510000
2018-01-09,21.1,21.1,20.5,20.68,390000
2018-01-10,20.85,21.3,20.74,21.11,609000
2018-01-11,21.09,21.24,20.6,20.69,479500
2018-01-12,20.51,21.0,20.51,20.71,478000
2018-01-15,20.5,20.5,20.23,20.25,255500
2018-01-16,20.35,20.85,20.0,20.06,228000
2018-01-17,20.6,20.65,20.26,20.31,281000
2018-01-18,20.6,20.84,20.38,20.54,352000
2018-01-19,20.5,20.73,20.45,20.67,106500
2018-01-22,20.89,21.4,20.51,21.34,709500
2018-01-23,21.1,21.42,21.0,21.35,417500
2018-01-24,21.3,21.48,21.11,21.23,391500
2018-01-25,21.23,21.34,20.75,20.9,1809000
2018-01-26,20.9,21.0,20.6,20.77,578500
2018-01-29,21.0,21.8,21.0,21.78,2490500
2018-01-30,21.99,22.24,21.74,21.8,989000
2018-01-31,21.4,22.0,21.4,21.63,600500
2018-02-01,21.85,22.4,21.7,22.04,1544500
2018-02-02,22.05,22.56,21.9,21.99,1054000
2018-02-06,21.91,22.0,21.35,21.95,430500
2018-02-07,22.24,22.49,21.72,21.78,405000
2018-02-08,22.07,22.07,21.51,21.54,221000
2018-02-09,21.74,21.74,21.29,21.4,346500
2018-02-12,21.89,21.89,21.04,21.2,285500
2018-02-13,20.95,21.55,20.95,21.19,584500
2018-02-14,21.2,21.24,20.4,20.58,1030500
2018-02-15,20.7,20.9,20.42,20.68,958000
2018-02-16,20.7,21.71,20.7,21.63,1452000
2018-02-19,21.9,22.05,21.6,21.84,732500
2018-02-20,21.79,21.85,21.3,21.73,296500
2018-02-21,21.9,22.0,21.5,21.88,808500
2018-02-22,21.6,21.85,21.31,21.6,419000
2018-02-23,21.6,21.7,20.62,21.09,958500
2018-02-26,21.16,21.45,20.04,20.22,2911500
2018-02-27,20.1,20.55,20.0,20.4,279000
2018-02-28,20.45,20.5,20.11,20.23,929000
2018-03-01,20.06,20.55,20.0,20.24,3286500
2018-03-02,20.4,20.41,20.02,20.14,603500
2018-03-05,20.3,20.35,20.0,20.03,1058000
2018-03-06,20.29,20.29,20.0,20.01,506000
2018-03-07,20.0,20.17,19.85,19.92,64000
2018-03-08,20.1,20.1,19.55,19.75,364500
2018-03-09,19.7,19.86,19.52,19.75,162500
2018-03-12,19.51,19.85,19.5,19.75,410000
2018-03-13,19.93,19.95,19.7,19.8,272500
2018-03-14,19.63,19.9,19.63,19.76,699500
2018-03-15,19.6,19.9,19.6,19.75,264000
2018-03-16,19.76,20.2,19.75,20.11,421500
2018-03-19,19.83,20.44,19.83,20.38,297000
2018-03-20,20.31,21.39,20.31,21.39,1773500
2018-03-21,21.6,22.25,21.26,21.77,1990000
2018-03-22,21.9,21.92,21.41,21.72,829500
2018-03-26,21.4,22.0,21.11,21.94,928000
2018-03-27,22.0,22.0,21.76,21.84,1133000
2018-03-28,21.8,22.5,21.8,22.39,2266500
2018-03-29,22.4,23.0,22.4,22.97,3400500
2018-03-30,23.11,23.18,22.85,22.92,805000
2018-04-02,22.51,22.51,21.78,21.89,2035500
2018-04-03,21.85,22.15,21.6,22.0,657500
2018-04-04,22.0,22.75,21.86,22.65,2711500
2018-04-05,22.19,23.14,22.19,22.84,4204000
2018-04-06,23.2,23.31,22.7,22.76,1898500
2018-04-09,22.98,23.2,22.5,22.62,1109000
2018-04-10,22.3,22.75,22.26,22.61,522000
2018-04-11,22.85,23.35,22.7,23.03,5984000
2018-04-12,23.03,23.35,23.0,23.16,4279500
2018-04-13,23.25,23.65,23.0,23.44,2500500
