Date,Open,High,Low,Close,Volume
2018-01-01,520.0,530.0,520.0,524.68,10400
2018-01-02,525.0,543.21,525.0,541.15,3000
2018-01-03,544.0,560.0,544.0,552.01,12500
2018-01-04,552.01,560.0,545.17,548.12,35900
2018-01-05,547.25,555.2,547.23,554.47,1200
2018-01-08,559.0,561.77,554.5,561.77,16900
2018-01-09,549.1,575.0,549.1,567.97,7400
2018-01-10,568.0,585.0,568.0,580.0,14200
2018-01-11,571.0,580.0,568.5,579.36,7850
2018-01-12,576.0,576.05,571.0,574.69,8500
2018-01-15,571.0,571.0,569.0,571.0,1600
2018-01-16,575.0,575.1,572.0,572.05,800
2018-01-17,580.0,596.88,572.0,591.98,4350
2018-01-18,595.0,600.0,585.0,588.05,6450
2018-01-19,584.0,590.0,583.0,588.04,3200
2018-01-22,590.0,590.0,585.0,587.65,4950
2018-01-23,585.0,589.99,583.0,585.0,3750
2018-01-24,594.0,594.0,571.0,581.31,12450
2018-01-25,594.9,594.9,578.0,580.23,14500
2018-01-26,580.0,582.0,570.01,574.77,23200
2018-01-29,573.0,582.0,573.0,580.26,12700
2018-01-30,585.91,585.91,577.05,582.87,4800
2018-01-31,585.0,587.49,585.0,585.9,10400
2018-02-01,585.51,589.99,582.5,584.86,21600
2018-02-02,580.01,590.0,580.01,587.51,12650
2018-02-06,570.05,580.0,564.0,570.91,15450
2018-02-07,580.2,580.3,563.5,568.9,19500
2018-02-08,567.99,575.0,561.0,565.05,7600
2018-02-09,560.05,567.0,560.05,561.17,1600
2018-02-12,560.51,561.0,545.0,550.19,5750
2018-02-13,564.01,565.0,560.0,560.01,26050
2018-02-14,560.0,562.99,560.0,560.0,19000
2018-02-15,560.01,564.94,560.0,560.0,27750
2018-02-16,552.01,560.0,552.0,560.0,18400
2018-02-19,563.5,565.0,552.0,557.61,800
2018-02-20,553.0,560.97,551.0,553.0,5350
2018-02-21,551.5,565.0,551.5,560.48,17400
2018-02-22,0.0,560.48,560.48,560.48,100
2018-02-23,561.5,561.5,553.0,553.5,2200
2018-02-26,553.51,559.99,553.5,559.99,350
2018-02-27,559.99,564.97,559.99,562.96,11450
2018-02-28,562.96,568.0,557.0,564.55,2000
2018-03-01,569.9,575.0,569.9,573.03,3700
2018-03-02,570.0,572.0,570.0,571.87,9000
2018-03-05,570.01,573.0,570.0,570.75,3900
2018-03-06,576.0,576.0,570.0,572.86,2750
2018-03-07,572.0,574.0,570.0,570.0,15000
2018-03-08,570.0,573.0,570.0,570.02,26500
2018-03-09,570.01,570.9,570.0,570.0,3250
2018-03-12,570.0,574.0,570.0,571.79,21350
2018-03-13,571.8,574.9,566.1,569.85,54250
2018-03-14,566.0,570.0,565.0,569.81,15250
2018-03-15,569.25,570.0,565.02,566.5,1200
2018-03-16,566.0,570.0,566.0,569.98,650
2018-03-19,566.0,566.1,565.56,565.99,5650
2018-03-20,570.98,576.1,570.8,575.01,6550
2018-03-21,575.0,577.88,571.05,571.89,17100
2018-03-22,576.0,577.0,575.5,575.5,1650
2018-03-26,580.0,585.0,578.0,581.69,2100
2018-03-27,581.0,585.0,574.0,574.78,23750
2018-03-28,575.0,575.1,574.0,574.83,3150
2018-03-29,576.0,576.0,571.0,574.8,3300
2018-03-30,575.0,575.0,570.0,574.55,7600
2018-04-02,576.99,580.0,576.99,579.44,1000
2018-04-03,580.0,599.5,580.0,598.05,16900
2018-04-04,598.5,619.9,598.5,602.94,10650
2018-04-05,605.1,609.0,605.1,606.18,2700
2018-04-06,607.0,614.0,605.0,606.6,2000
2018-04-09,607.0,610.0,598.0,605.55,2900
2018-04-10,605.0,609.0,605.0,605.5,550
2018-04-11,609.0,611.0,603.5,606.79,6350
2018-04-12,604.0,605.0,594.0,605.0,37100
2018-04-13,603.0,608.5,600.0,606.53,3050
2018-04-16,597.43,615.0,597.43,610.04,13300
2018-04-17,610.0,622.24,609.0,620.24,30750
2018-04-18,620.0,645.0,620.0,634.75,33400
2018-04-19,639.9,639.9,621.0,622.81,34000
2018-04-20,623.0,630.5,620.0,625.75,1600
2018-04-23,625.75,630.0,624.75,630.0,5800
