Date,Open,High,Low,Close,Volume
2018-01-02,538.0,549.98,537.87,548.5,1750
2018-01-04,540.0,540.0,540.0,540.0,450
2018-01-05,550.0,567.0,550.0,565.79,1300
2018-01-09,550.0,560.0,537.51,537.51,6450
2018-01-10,526.02,536.0,526.0,535.64,850
2018-01-11,540.0,540.0,538.0,538.0,400
2018-01-12,525.0,525.0,525.0,525.0,50
2018-01-15,525.0,525.0,525.0,525.0,500
2018-01-16,525.0,526.0,525.0,526.0,200
2018-01-17,526.0,529.0,520.0,524.37,8900
2018-01-18,525.01,525.01,525.0,525.0,100
2018-01-19,540.0,540.0,540.0,540.0,14750
2018-01-22,547.0,552.0,546.0,551.0,750
2018-01-23,545.0,546.0,541.11,541.11,450
2018-01-24,531.0,531.01,531.0,531.0,550
2018-01-25,540.0,540.0,532.0,533.67,450
2018-01-26,535.0,535.0,535.0,535.0,400
2018-01-29,527.0,535.0,527.0,532.4,250
2018-01-30,535.0,536.0,531.0,531.0,400
2018-01-31,536.0,557.55,536.0,555.0,12950
2018-02-01,565.0,565.0,550.11,551.0,1450
2018-02-02,559.48,571.0,559.48,568.42,2200
2018-02-06,550.01,565.0,550.0,565.0,700
2018-02-07,560.0,565.0,560.0,565.0,200
2018-02-08,552.05,552.05,550.0,550.0,5600
2018-02-09,533.0,536.25,530.0,535.65,4650
2018-02-12,540.0,540.5,539.0,540.5,450
2018-02-13,550.0,555.0,547.0,552.32,750
2018-02-14,555.0,563.0,536.0,563.0,950
2018-02-15,540.0,550.0,540.0,540.95,2400
2018-02-16,540.0,550.0,540.0,550.0,800
2018-02-19,550.0,550.0,550.0,550.0,600
2018-02-21,550.0,550.0,550.0,550.0,150
2018-02-22,555.0,555.5,555.0,555.1,250
2018-02-23,537.0,537.0,537.0,537.0,50
2018-03-02,540.01,540.1,540.0,540.0,1200
2018-03-05,536.0,536.0,536.0,536.0,100
2018-03-06,550.0,550.0,541.0,541.0,150
2018-03-07,549.99,549.99,543.25,543.25,150
2018-03-08,544.0,544.0,544.0,544.0,1000
2018-03-09,545.0,550.0,544.0,550.0,500
2018-03-12,548.0,548.0,548.0,548.0,150
2018-03-13,542.0,550.0,542.0,550.0,15500
2018-03-14,0.0,550.0,550.0,550.0,500
2018-03-15,553.0,555.0,553.0,555.0,300
2018-03-16,560.0,560.0,560.0,560.0,200
2018-03-19,568.0,568.0,566.5,566.5,4550
2018-03-20,550.4,555.5,550.0,552.59,5400
2018-03-21,550.01,550.01,545.0,545.0,3150
2018-03-22,541.0,542.0,541.0,542.0,300
2018-03-26,540.0,545.0,535.0,535.0,3850
2018-03-27,530.1,530.1,522.5,527.04,1750
2018-03-29,526.0,526.0,515.01,524.95,6100
2018-03-30,525.0,525.0,525.0,525.0,1800
2018-04-02,539.5,551.22,539.5,550.68,8550
2018-04-03,560.0,560.0,545.0,550.33,700
2018-04-04,563.97,563.97,550.0,550.56,1350
2018-04-05,563.0,563.0,550.0,555.17,3000
2018-04-06,557.0,557.0,557.0,557.0,7550
2018-04-10,560.0,560.0,558.0,559.9,700
2018-04-11,562.0,570.0,562.0,570.0,800
2018-04-12,594.5,594.5,570.0,578.93,2500
2018-04-13,589.98,589.98,578.0,578.0,100
2018-04-16,575.0,575.0,555.0,559.15,2900
2018-04-17,565.0,572.0,560.0,562.8,2100
2018-04-18,556.0,556.0,556.0,556.0,50
2018-04-19,560.0,570.0,560.0,570.0,950
2018-04-20,574.9,574.9,574.9,574.9,50
2018-04-23,574.5,574.5,573.98,573.99,350
2018-04-24,562.0,575.01,560.0,575.01,2800
2018-04-26,580.0,580.0,576.05,580.0,300
2018-04-27,580.0,609.0,580.0,609.0,13450
2018-04-30,615.0,639.45,615.0,630.79,34350
2018-05-02,631.0,631.8,610.0,617.07,14800
2018-05-03,608.06,608.06,605.15,605.15,150
2018-05-04,630.0,630.0,605.55,613.78,600
2018-05-07,632.88,632.88,612.0,612.0,1300
2018-05-08,623.5,623.5,600.0,614.0,850
2018-05-09,601.0,610.0,600.0,609.65,5550
2018-05-10,610.0,612.0,610.0,610.06,8400
2018-05-11,612.0,612.0,610.0,610.05,13600
2018-05-14,617.0,640.0,600.0,609.9,7650
2018-05-15,601.1,605.1,601.1,605.02,400
2018-05-16,616.5,616.5,610.0,610.0,10750
2018-05-17,610.01,610.01,609.99,610.0,7550
2018-05-18,606.0,611.0,606.0,610.4,1600
2018-05-21,0.0,610.4,610.4,610.4,2400
2018-05-22,610.0,610.0,610.0,610.0,100
2018-05-23,608.1,620.0,608.0,608.0,1750
2018-05-24,619.79,620.0,605.2,608.48,950
2018-05-28,618.49,621.0,614.0,614.0,1700
2018-05-29,620.0,620.0,610.0,611.0,3500
2018-05-30,605.0,605.0,605.0,605.0,100
2018-05-31,602.0,607.0,602.0,605.05,1150
2018-06-01,609.99,610.0,602.0,602.11,1000
2018-06-05,603.0,605.25,603.0,605.0,2150
2018-06-06,602.0,605.0,600.0,604.89,6350
2018-06-07,609.9,609.9,603.1,603.1,800
2018-06-11,605.0,624.0,605.0,617.7,10000
2018-06-12,610.0,610.0,569.0,575.5,700
2018-06-13,590.0,599.0,575.0,579.99,8850
2018-06-14,569.0,569.0,551.5,559.5,2250
2018-06-19,555.0,555.0,555.0,555.0,450
2018-06-20,560.0,560.0,559.8,559.8,1050
2018-06-21,540.0,550.0,540.0,540.0,950
2018-06-22,530.0,540.0,530.0,531.5,750
2018-06-25,511.12,521.0,505.0,520.5,2500
2018-06-26,520.0,521.0,514.0,515.32,9000
2018-06-27,515.0,515.0,515.0,515.0,800
2018-06-28,513.5,520.0,510.0,511.0,5700
2018-06-29,501.0,510.0,501.0,510.0,200
2018-07-02,484.52,489.0,484.5,484.5,11300
2018-07-03,471.0,471.0,460.28,469.5,7450
2018-07-04,455.76,464.95,449.0,464.95,350
2018-07-05,445.0,483.9,445.0,453.28,9950
2018-07-06,452.0,455.0,452.0,455.0,500
2018-07-09,440.0,451.0,440.0,449.99,550
2018-07-10,445.0,450.0,445.0,449.75,1000
2018-07-11,445.0,450.0,433.01,438.64,2100
2018-07-12,431.0,448.5,431.0,440.0,1500
2018-07-13,438.0,448.0,435.0,446.5,6000
2018-07-16,450.0,450.0,438.0,438.02,20250
2018-07-17,426.0,439.0,426.0,426.06,800
2018-07-18,420.0,445.0,417.0,437.68,1150
2018-07-19,435.0,454.0,430.0,439.0,1000
2018-07-20,417.05,435.0,417.05,423.16,1900
2018-07-23,422.0,425.0,422.0,423.5,100
2018-07-24,440.0,444.0,440.0,443.5,650
2018-07-26,440.0,440.0,440.0,440.0,100
2018-07-27,449.0,449.0,440.0,440.67,200
2018-07-30,445.0,459.0,440.0,455.0,8800
2018-07-31,451.0,474.0,451.0,470.0,2500
2018-08-01,455.0,455.0,446.5,446.5,4300
2018-08-02,448.0,450.05,447.0,450.0,4150
2018-08-03,440.0,459.9,430.0,450.97,2700
2018-08-06,451.0,451.0,442.0,446.33,1450
2018-08-07,442.0,442.0,440.0,440.0,900
2018-08-08,435.0,440.0,430.0,440.0,1200
2018-08-09,451.99,454.0,445.0,451.0,250
2018-08-10,435.0,441.0,432.0,440.13,1000
