Date,Open,High,Low,Close,Volume
2018-01-01,233.0,241.3,229.35,239.81,937500
2018-01-02,239.01,247.47,234.05,242.36,1841200
2018-01-03,243.0,249.85,241.0,245.46,1857100
2018-01-04,246.55,247.78,242.22,243.11,630100
2018-01-05,242.55,250.9,241.5,248.77,1230600
2018-01-08,249.5,256.98,249.5,254.13,1131500
2018-01-09,256.48,256.5,250.51,254.71,1020900
2018-01-10,256.89,267.44,255.0,267.31,1737000
2018-01-11,267.45,267.45,260.1,262.89,1227600
2018-01-12,261.1,261.5,249.75,250.8,726500
2018-01-15,248.55,250.0,239.01,241.99,623400
2018-01-16,239.5,248.85,239.5,245.41,560700
2018-01-17,247.0,251.0,243.5,249.4,671600
2018-01-18,253.0,256.5,238.5,241.51,1937100
2018-01-19,242.0,242.49,232.0,238.28,1485900
2018-01-22,239.99,244.74,235.15,237.25,1003500
2018-01-23,238.1,243.5,235.11,239.27,1471900
2018-01-24,239.0,251.23,239.0,250.44,2336600
2018-01-25,254.0,254.88,245.0,249.25,1994100
2018-01-26,248.9,261.0,245.51,258.27,1432100
2018-01-29,258.49,262.7,255.5,259.95,821400
2018-01-30,260.35,261.5,255.5,256.37,604400
2018-01-31,256.87,263.49,255.1,259.18,1248900
2018-02-01,260.0,263.5,258.0,262.1,732900
2018-02-02,263.49,274.0,262.98,266.66,1877500
2018-02-06,262.05,266.0,259.0,263.15,1128000
2018-02-07,265.75,268.0,261.3,262.28,609400
2018-02-08,262.29,263.99,257.01,258.56,380700
2018-02-09,256.0,259.9,254.0,258.54,431300
2018-02-12,259.0,269.8,259.0,265.87,1096700
2018-02-13,271.0,271.2,262.65,263.45,473100
2018-02-14,263.0,265.75,255.5,257.39,857100
2018-02-15,259.39,259.39,250.55,251.5,439400
2018-02-16,251.0,257.0,249.99,256.07,392600
2018-02-19,260.1,263.4,257.01,261.8,671800
2018-02-20,262.0,263.98,257.3,260.39,589300
2018-02-21,265.0,266.0,260.0,260.46,331200
2018-02-22,257.0,262.99,255.1,261.82,426000
2018-02-23,262.0,263.0,253.0,255.22,711400
2018-02-26,257.25,258.0,247.0,248.09,514400
2018-02-27,248.0,249.5,242.0,246.68,436500
2018-02-28,247.0,252.0,245.5,247.53,542900
2018-03-01,248.8,253.45,247.01,249.71,547800
2018-03-02,250.01,254.89,249.0,251.48,605100
2018-03-05,253.98,260.5,253.98,258.77,916900
2018-03-06,263.45,265.8,260.01,261.28,754600
2018-03-07,262.0,263.0,259.01,259.74,411100
2018-03-08,258.01,262.0,255.01,258.2,545700
2018-03-09,260.5,262.0,253.05,254.75,381300
2018-03-12,253.99,258.79,252.6,256.44,221900
2018-03-13,257.9,260.3,255.7,258.08,222200
2018-03-14,258.2,258.7,256.0,257.03,81900
2018-03-15,257.05,258.5,255.2,256.87,228500
2018-03-16,256.51,259.0,255.0,255.47,218300
2018-03-19,256.0,258.49,255.75,257.01,277600
2018-03-20,257.8,261.55,255.05,255.56,671800
2018-03-21,256.49,257.49,254.0,254.7,276900
2018-03-22,254.5,256.45,251.5,252.04,274000
2018-03-26,252.51,254.0,251.01,253.36,124700
2018-03-27,253.25,256.5,253.02,253.83,294700
2018-03-28,253.99,255.0,252.55,253.42,162400
2018-03-29,254.0,255.8,253.02,253.51,301200
2018-03-30,253.0,255.0,248.01,249.79,305500
2018-04-02,250.0,253.8,249.1,250.61,195100
2018-04-03,251.98,251.98,249.0,249.7,204500
2018-04-04,249.7,262.18,249.7,262.18,1638000
2018-04-05,267.5,274.0,265.47,268.26,2242500
2018-04-06,271.0,271.0,263.6,264.69,399600
2018-04-09,265.0,270.98,263.1,265.05,446200
2018-04-10,264.11,277.29,264.03,275.7,1354300
2018-04-11,276.85,277.1,270.0,270.38,685300
2018-04-12,270.9,273.8,267.1,267.99,389500
2018-04-13,267.51,272.0,266.52,267.52,388800
2018-04-16,267.5,268.89,256.0,257.09,654800
2018-04-17,256.1,257.9,250.5,253.48,375100
2018-04-18,254.0,256.9,253.0,253.35,232900
2018-04-19,255.51,256.5,250.0,253.39,194200
2018-04-20,253.0,254.8,249.0,251.68,126800
2018-04-23,251.95,253.9,251.26,252.84,149200
2018-04-24,253.0,258.6,253.0,256.0,319200
2018-04-25,256.5,256.5,252.0,252.19,318900
2018-04-26,252.5,252.5,249.81,250.63,273100
2018-04-27,251.7,263.16,249.5,256.98,1371500
2018-04-30,260.0,260.0,251.5,253.63,457300
2018-05-02,253.1,254.01,246.1,248.94,186200
2018-05-03,248.0,249.4,244.12,246.43,181800
2018-05-04,246.0,247.95,243.0,245.55,131000
2018-05-07,245.0,246.75,242.5,243.86,206700
2018-05-08,243.5,243.5,239.3,240.96,305700
2018-05-09,240.25,240.25,232.3,235.84,214700
2018-05-10,233.7,240.1,233.7,235.66,128300
