Date,Open,High,Low,Close,Volume
2018-01-01,58.25,60.25,58.0,60.21,386000
2018-01-02,60.0,62.0,60.0,61.76,2412500
2018-01-03,61.5,61.51,60.76,61.5,1139500
2018-01-04,61.36,62.45,61.08,61.22,135500
2018-01-05,61.5,63.5,61.0,62.87,517500
2018-01-08,64.65,64.8,62.75,63.19,570500
2018-01-09,63.9,64.5,63.5,64.49,910000
2018-01-10,64.7,65.7,64.25,65.34,1036500
2018-01-11,63.15,64.5,62.97,63.08,87500
2018-01-12,63.0,63.05,62.99,63.03,76500
2018-01-15,62.02,63.5,62.02,63.41,44500
2018-01-16,63.5,63.5,63.0,63.07,188000
2018-01-17,64.79,65.0,63.45,64.46,351500
2018-01-18,64.99,65.5,64.1,64.13,291000
2018-01-19,64.0,64.99,63.75,64.55,313500
2018-01-22,64.0,64.85,64.0,64.7,190500
2018-01-23,63.99,64.8,63.99,64.73,295000
2018-01-24,65.0,65.15,64.9,65.0,322000
2018-01-25,63.51,65.0,63.51,64.75,89000
2018-01-26,64.05,64.49,63.8,64.41,21000
2018-01-29,65.0,67.63,65.0,67.63,2576500
2018-01-30,68.45,69.4,67.0,67.19,403000
2018-01-31,69.0,69.9,67.02,67.94,175000
2018-02-01,66.59,67.45,66.59,67.19,6500
2018-02-02,67.7,67.89,66.06,66.84,15500
2018-02-06,66.5,67.1,66.5,67.0,500000
2018-02-07,67.0,67.09,67.0,67.0,35500
2018-02-08,67.0,67.25,66.3,67.07,33500
2018-02-09,66.65,67.5,66.65,67.11,132000
2018-02-12,67.1,67.99,67.1,67.74,374500
2018-02-13,67.74,69.2,67.5,68.0,502500
2018-02-14,68.0,69.5,66.51,67.15,582500
2018-02-15,67.0,69.5,67.0,69.28,813000
2018-02-16,69.25,70.5,69.25,69.86,694000
2018-02-19,68.55,70.99,68.55,70.75,630000
2018-02-20,69.11,69.9,68.81,69.49,247000
2018-02-21,69.49,69.5,68.61,69.3,109000
2018-02-22,68.5,69.51,68.5,69.5,222000
2018-02-23,69.01,70.7,68.5,69.01,510500
2018-02-26,69.5,69.5,68.0,68.0,29500
2018-02-27,68.0,68.5,67.16,68.5,116500
2018-02-28,68.5,68.5,68.0,68.0,320000
2018-03-01,67.73,68.5,67.5,68.5,167000
2018-03-02,68.01,68.5,67.69,68.48,115500
2018-03-05,68.01,69.5,68.0,69.5,52500
2018-03-06,68.5,69.0,68.05,68.3,27000
2018-03-07,68.2,68.6,68.0,68.0,73000
2018-03-08,67.51,68.96,67.5,68.73,305000
2018-03-09,69.0,69.9,68.0,69.0,116000
2018-03-12,67.25,67.25,66.2,66.93,185500
2018-03-13,68.7,68.7,66.0,67.01,837000
2018-03-14,66.51,67.0,66.5,67.0,240000
2018-03-15,66.7,67.39,66.26,67.39,170000
2018-03-16,67.0,67.6,66.55,67.6,480500
2018-03-19,67.01,70.98,67.01,69.13,1343500
2018-03-20,69.5,72.58,69.01,72.58,672000
2018-03-21,74.4,76.2,73.5,75.5,1881500
2018-03-22,75.88,78.25,75.5,77.78,550000
2018-03-26,77.0,78.0,76.0,77.71,53500
2018-03-27,77.98,78.0,76.0,76.0,25000
2018-03-28,76.0,77.45,76.0,76.5,193000
2018-03-29,76.5,77.5,75.85,77.0,301500
2018-03-30,77.95,77.95,77.0,77.5,835000
2018-04-02,77.0,77.0,74.56,75.51,139500
2018-04-03,75.0,77.01,75.0,76.95,416000
2018-04-04,76.98,78.25,76.0,77.99,1263000
2018-04-05,78.9,80.06,78.5,79.97,462500
2018-04-06,81.0,81.0,78.55,78.9,193500
2018-04-09,77.75,78.25,77.01,77.91,1075000
2018-04-10,77.75,77.75,74.5,74.72,329500
2018-04-11,74.9,75.5,74.0,75.0,1442000
2018-04-12,74.16,74.5,73.6,74.36,49000
2018-04-13,74.24,75.6,74.24,75.0,262500
2018-04-16,74.5,75.0,74.5,75.0,47500
2018-04-17,74.0,77.0,73.26,76.62,1435500
2018-04-18,77.0,77.0,75.5,75.55,70000
2018-04-19,75.15,76.0,75.15,75.97,1541000
2018-04-20,75.5,76.0,75.5,75.5,208500
2018-04-23,75.5,76.7,75.0,75.46,41000
2018-04-24,76.0,77.0,75.02,76.53,2186000
2018-04-25,75.6,76.35,75.4,76.35,130500
2018-04-26,76.05,76.8,75.52,76.0,1066500
2018-04-27,76.0,76.0,75.6,75.62,75000
2018-04-30,75.52,75.63,73.75,73.91,572500
2018-05-02,73.9,75.0,73.1,75.0,227500
2018-05-03,75.0,75.48,75.0,75.0,170500
2018-05-04,72.65,74.98,72.65,74.06,29000
2018-05-07,74.0,74.0,73.5,73.51,106000
2018-05-08,72.68,74.0,72.68,73.0,44500
2018-05-09,73.0,74.0,72.0,73.73,76000
2018-05-10,72.5,73.0,72.5,73.0,80500
2018-05-11,72.5,72.5,72.5,72.5,95500
2018-05-14,71.99,72.0,71.0,71.09,207500
2018-05-15,70.0,74.64,70.0,71.9,1647000
2018-05-16,70.5,71.98,70.5,71.03,965500
2018-05-17,70.26,70.26,70.1,70.24,7000
2018-05-18,70.06,70.25,70.0,70.25,10500
2018-05-21,70.0,70.02,69.05,69.32,1821500
2018-05-22,70.0,72.0,70.0,72.0,184500
2018-05-23,72.5,74.5,72.5,72.99,2201500
2018-05-24,73.0,73.01,73.0,73.0,587000
2018-05-25,73.0,73.1,73.0,73.0,119500
2018-05-28,74.75,74.99,73.8,74.0,316000
2018-05-29,74.0,74.8,73.0,74.08,79000
2018-05-30,73.01,74.25,73.01,74.04,447000
2018-05-31,74.04,75.2,74.0,75.0,428000
2018-06-01,76.99,76.99,75.74,75.8,22500
2018-06-04,75.8,76.0,75.01,75.42,321500
2018-06-05,74.0,76.99,73.3,76.6,189500
2018-06-06,76.6,80.43,76.75,80.43,6632500
2018-06-07,83.0,83.0,80.0,81.42,1062500
2018-06-11,80.5,81.1,80.0,80.0,180000
2018-06-12,80.0,81.15,80.0,81.0,846500
2018-06-13,81.0,82.5,80.11,82.15,237000
2018-06-14,82.0,86.25,82.0,85.95,1698500
2018-06-19,86.85,86.85,84.0,84.77,145500
2018-06-20,85.59,85.59,84.0,84.55,163000
2018-06-21,84.55,85.0,81.5,83.03,406500
2018-06-22,83.0,84.5,79.5,80.91,960500
2018-06-25,81.94,81.94,78.5,79.1,478000
