Date,Open,High,Low,Close,Volume
2018-01-02,54.0,54.0,54.0,54.0,2500
2018-01-03,53.0,54.0,53.0,54.0,2000
2018-01-05,56.0,56.7,56.0,56.7,27500
2018-01-08,58.8,59.53,58.75,59.5,46500
2018-01-09,57.25,57.6,56.86,56.86,9500
2018-01-10,57.0,59.7,57.0,59.63,50500
2018-01-11,59.95,60.45,59.5,59.53,5500
2018-01-12,58.06,58.06,58.0,58.0,5000
2018-01-15,59.7,60.0,57.65,59.32,40000
2018-01-16,59.2,59.2,59.2,59.2,5000
2018-01-17,59.2,59.2,59.2,59.2,2000
2018-01-18,59.5,59.5,59.5,59.5,11500
2018-01-22,60.0,60.0,59.5,59.5,8000
2018-01-23,57.01,59.01,57.0,59.0,12000
2018-01-24,57.4,58.5,57.4,57.78,10500
2018-01-25,57.5,58.5,57.5,58.5,4500
2018-01-29,59.45,59.5,59.45,59.5,1000
2018-01-30,59.0,59.0,59.0,59.0,1000
2018-01-31,58.95,58.95,58.85,58.85,1000
2018-02-01,58.9,58.9,58.5,58.5,1000
2018-02-02,58.05,58.05,57.01,57.01,3000
2018-02-06,58.94,58.94,58.94,58.94,500
2018-02-07,58.5,59.5,58.25,58.25,12000
2018-02-08,57.0,57.0,57.0,57.0,500
2018-02-09,58.0,59.0,58.0,58.15,8500
2018-02-12,59.0,59.0,59.0,59.0,500
2018-02-13,58.0,59.0,58.0,58.8,3500
2018-02-14,57.26,58.5,57.25,57.25,6500
2018-02-15,56.02,56.3,56.01,56.3,1500
2018-02-16,57.0,58.0,57.0,57.88,3000
2018-02-19,57.8,57.8,57.8,57.8,500
2018-02-20,57.1,57.1,57.0,57.0,1000
2018-02-21,56.0,56.5,54.15,55.09,19000
2018-02-22,56.99,56.99,56.99,56.99,500
2018-02-23,57.0,57.0,55.0,55.0,2500
2018-02-27,55.0,55.0,55.0,55.0,500
2018-02-28,55.0,55.5,55.0,55.0,7500
2018-03-01,55.01,55.45,55.0,55.0,4000
2018-03-02,55.0,55.0,54.6,55.0,4500
2018-03-05,55.0,55.15,54.75,55.15,10500
2018-03-06,55.0,55.0,54.99,55.0,8000
2018-03-07,54.51,55.0,53.0,53.32,5500
2018-03-08,52.1,52.3,52.01,52.17,2500
2018-03-09,52.75,52.97,51.75,51.9,19500
2018-03-13,52.01,52.01,52.0,52.01,1000
2018-03-14,52.5,52.5,52.0,52.2,3000
2018-03-15,52.0,52.0,52.0,52.0,3000
