Date,Open,High,Low,Close,Volume
2018-01-01,8.16,8.31,8.1,8.27,1808000
2018-01-02,8.25,8.66,8.17,8.59,6791500
2018-01-03,8.55,9.08,8.52,8.89,13395000
2018-01-04,8.9,8.98,8.68,8.8,3925000
2018-01-05,8.8,9.57,8.8,9.51,18052500
2018-01-08,9.65,9.75,9.35,9.52,11710500
2018-01-09,9.5,9.5,9.1,9.24,5696000
2018-01-10,9.29,9.84,9.29,9.66,14089500
2018-01-11,9.75,9.84,9.44,9.46,7460000
2018-01-12,9.4,9.4,9.05,9.11,5636500
2018-01-15,9.15,9.15,8.81,8.86,2643000
2018-01-16,8.89,9.17,8.85,8.95,2794000
2018-01-17,8.95,9.07,8.86,9.02,1478000
2018-01-18,9.05,9.4,8.88,9.03,9208500
2018-01-19,9.1,9.37,9.06,9.25,6477000
2018-01-22,9.36,9.55,9.26,9.48,9429500
2018-01-23,9.55,9.55,9.35,9.44,4986000
2018-01-24,9.54,9.66,9.45,9.58,8272500
2018-01-25,9.68,9.98,9.45,9.85,17511500
2018-01-26,9.85,9.99,9.61,9.94,19448500
2018-01-29,10.2,10.59,10.2,10.31,23341000
2018-01-30,10.38,10.42,10.11,10.14,5358000
2018-01-31,10.15,10.28,10.06,10.14,4064000
2018-02-01,10.17,10.4,10.05,10.26,7020500
2018-02-02,10.35,10.55,10.16,10.33,14543500
2018-02-06,10.1,10.25,10.05,10.19,4105000
2018-02-07,10.2,10.49,10.15,10.18,5365000
2018-02-08,10.2,10.28,9.59,9.72,16594000
2018-02-09,9.55,9.81,9.41,9.59,7620000
2018-02-12,9.69,9.69,9.53,9.62,2871500
2018-02-13,9.69,9.75,9.6,9.61,3429000
2018-02-14,9.63,9.77,9.5,9.53,5843500
2018-02-15,9.52,9.63,9.45,9.53,4212000
2018-02-16,9.55,9.65,9.38,9.61,3034500
2018-02-19,9.6,9.75,9.51,9.53,1559500
2018-02-20,9.45,9.58,9.31,9.51,2192500
2018-02-21,9.6,9.68,9.4,9.42,3793000
2018-02-22,9.28,9.41,9.17,9.39,4508000
2018-02-23,9.45,9.5,9.09,9.18,11006000
2018-02-26,9.25,9.36,9.23,9.28,1877500
2018-02-27,9.3,9.35,9.24,9.26,1723500
2018-02-28,9.3,9.35,9.25,9.29,1955500
2018-03-01,9.2,9.39,9.2,9.31,3149500
2018-03-02,9.26,9.42,9.25,9.39,4802000
2018-03-05,9.42,9.46,9.35,9.37,318500
2018-03-06,9.35,9.47,9.35,9.36,4590500
2018-03-07,9.26,9.35,9.12,9.17,1930000
2018-03-08,9.11,9.2,9.04,9.07,1633500
2018-03-09,9.04,9.04,8.6,8.68,6547000
2018-03-12,8.67,8.87,8.6,8.84,1380500
2018-03-13,8.9,8.97,8.84,8.88,601500
2018-03-14,8.88,8.96,8.74,8.76,3779500
2018-03-15,8.8,9.15,8.8,9.08,6662000
2018-03-16,9.05,9.2,9.05,9.13,994000
2018-03-19,9.2,9.2,8.98,9.03,820500
2018-03-20,8.96,9.45,8.95,9.31,5536500
2018-03-21,9.32,9.55,9.32,9.38,2973500
2018-03-22,9.35,9.47,9.31,9.38,1242500
2018-03-26,9.31,9.71,9.25,9.6,3956500
2018-03-27,9.59,9.9,9.58,9.8,6709500
2018-03-28,9.8,9.96,9.72,9.88,8863500
2018-03-29,9.88,9.93,9.75,9.78,4030500
2018-03-30,9.8,9.98,9.75,9.88,8329000
2018-04-02,9.7,9.7,9.41,9.44,4718000
2018-04-03,9.45,9.55,9.35,9.48,2306500
2018-04-04,9.42,9.75,9.42,9.54,9557000
2018-04-05,9.54,9.74,9.5,9.65,3035500
2018-04-06,9.69,9.88,9.6,9.63,3410500
2018-04-09,9.6,9.78,9.51,9.55,1922500
2018-04-10,9.56,9.58,9.43,9.49,1107000
2018-04-11,9.48,9.57,9.4,9.42,3139000
2018-04-12,9.43,9.5,9.31,9.33,4229500
2018-04-13,9.38,9.39,9.25,9.28,1303000
2018-04-16,9.3,9.3,9.23,9.24,654000
2018-04-17,9.21,9.4,9.17,9.35,2933000
2018-04-18,9.32,9.69,9.32,9.54,8577000
2018-04-19,9.55,9.86,9.55,9.77,13632000
2018-04-20,9.79,9.8,9.52,9.6,2173000
2018-04-23,9.75,9.75,9.6,9.72,2442000
2018-04-24,9.71,9.85,9.67,9.7,3187500
2018-04-25,9.7,9.76,9.49,9.59,9344500
2018-04-26,10.58,10.59,10.5,10.59,9372500
2018-04-27,11.59,11.59,11.59,11.59,863500
2018-04-30,12.59,12.59,11.88,12.46,85292500
2018-05-02,12.4,12.5,12.07,12.21,14387500
2018-05-03,12.15,12.29,11.85,11.97,14115500
2018-05-04,11.91,12.35,11.75,12.25,21092000
2018-05-07,12.23,12.26,11.9,11.94,7238000
2018-05-08,11.95,12.0,11.56,11.75,11159000
2018-05-09,11.66,11.94,11.46,11.83,6704000
2018-05-10,11.9,12.09,11.75,11.93,6102500
2018-05-11,11.9,11.95,11.7,11.71,1469500
2018-05-14,11.6,11.61,11.15,11.24,8737000
2018-05-15,11.22,11.74,11.11,11.61,12275000
2018-05-16,11.6,11.65,11.4,11.43,3397500
2018-05-17,11.39,11.48,11.15,11.27,945500
2018-05-18,11.29,11.42,11.18,11.24,2848000
2018-05-21,11.3,11.7,11.28,11.43,3404000
2018-05-22,11.41,11.73,11.41,11.63,6020000
2018-05-23,11.65,12.05,11.65,11.87,5926000
2018-05-24,11.85,12.06,11.77,11.9,10860000
2018-05-25,11.94,11.94,11.66,11.85,6882000
2018-05-28,12.0,12.06,11.77,11.88,6266000
2018-05-29,11.85,11.98,11.82,11.92,4819000
