Date,Open,High,Low,Close,Volume
2018-01-01,135.52,145.59,135.25,141.78,30300
2018-01-02,139.0,148.86,135.5,148.86,83900
2018-01-03,149.0,150.9,143.5,144.09,69700
2018-01-04,146.25,147.0,142.95,143.01,15800
2018-01-05,144.7,146.0,143.15,144.76,56000
2018-01-08,143.0,148.5,143.0,147.48,106000
2018-01-09,145.0,145.99,142.01,142.65,72200
2018-01-10,143.0,145.95,142.5,143.03,119700
2018-01-11,140.5,149.5,140.05,142.91,181800
2018-01-12,143.0,143.35,138.5,138.8,38400
2018-01-15,138.5,140.0,138.0,138.13,17200
2018-01-16,139.2,142.79,138.25,140.08,39400
2018-01-17,140.0,140.0,138.5,139.16,51400
2018-01-18,141.99,144.0,139.5,140.95,78300
2018-01-19,143.0,147.0,142.12,145.6,174500
2018-01-22,149.0,152.88,147.0,152.88,172300
2018-01-23,154.1,157.4,152.0,155.57,237700
2018-01-24,155.0,161.4,155.0,158.44,133500
2018-01-25,156.06,156.69,154.01,155.83,14900
2018-01-26,154.0,155.0,152.01,154.86,12000
2018-01-29,154.5,154.5,152.0,152.91,7100
2018-01-30,153.0,154.0,150.5,151.17,12700
2018-01-31,152.0,153.0,150.5,152.65,45800
2018-02-01,153.5,156.39,153.0,153.15,29600
2018-02-02,154.0,155.0,151.0,151.99,15100
2018-02-06,149.71,152.0,149.71,151.0,19200
2018-02-07,151.1,153.49,151.1,152.9,10000
2018-02-08,152.0,152.0,149.0,149.88,7700
2018-02-09,147.63,148.0,146.5,147.91,12000
2018-02-12,148.4,149.0,146.5,146.71,8300
2018-02-13,148.0,149.0,147.5,148.14,8700
2018-02-14,147.0,147.0,145.0,145.0,6500
2018-02-15,142.38,145.0,142.38,143.21,3200
2018-02-16,143.11,145.0,143.11,144.17,2800
2018-02-19,143.15,145.5,142.5,143.0,18500
2018-02-20,142.3,143.0,141.8,141.98,7900
2018-02-21,144.0,144.0,140.01,141.21,12700
2018-02-22,145.0,148.27,140.01,148.27,82100
2018-02-23,155.68,155.68,155.68,155.68,151400
2018-02-26,160.0,160.0,150.5,150.9,55400
2018-02-27,150.0,153.0,150.0,151.45,20700
2018-02-28,152.4,154.0,147.95,148.86,49400
2018-03-01,149.5,155.5,149.5,151.65,173400
2018-03-02,152.98,153.5,150.0,152.7,191400
2018-03-05,153.0,158.0,153.0,155.05,81600
2018-03-06,153.99,159.5,151.5,158.3,173800
2018-03-07,157.11,157.11,152.7,153.84,26300
2018-03-08,152.11,155.5,152.0,153.74,72500
2018-03-09,154.5,155.9,152.0,153.06,24500
2018-03-12,152.28,156.0,152.0,155.49,44800
2018-03-13,157.0,158.1,154.5,157.84,31700
2018-03-14,157.0,160.0,156.05,158.91,56000
2018-03-15,157.3,159.7,157.05,157.21,6200
2018-03-16,157.49,158.1,156.0,156.27,2900
2018-03-19,158.5,158.5,155.5,157.37,45700
2018-03-20,158.99,158.99,156.0,156.15,16600
2018-03-21,155.1,156.5,155.1,155.6,12500
2018-03-22,155.5,159.49,155.01,157.36,58500
2018-03-26,155.0,157.0,154.5,155.75,28900
2018-03-27,158.5,158.5,155.25,155.63,16400
2018-03-28,157.49,158.5,155.5,157.69,26900
2018-03-29,158.49,162.0,158.49,160.25,53800
2018-03-30,159.9,159.99,157.0,158.18,8800
2018-04-02,161.0,164.3,161.0,162.14,92600
2018-04-03,164.0,164.0,160.5,160.71,11500
2018-04-04,161.1,163.0,159.0,159.58,50000
2018-04-05,161.0,162.0,160.25,161.0,16900
2018-04-06,161.5,163.55,159.11,160.01,40800
