Date,Open,High,Low,Close,Volume
2018-01-01,110.8,110.91,106.0,108.2,239500
2018-01-02,108.5,113.61,108.0,113.27,1114000
2018-01-03,113.27,115.95,111.07,111.65,275500
2018-01-04,112.65,113.95,108.99,109.4,331000
2018-01-05,110.56,113.0,109.9,111.11,206500
2018-01-08,112.0,113.98,110.0,112.82,257500
2018-01-09,111.6,115.0,111.0,114.39,728000
2018-01-10,114.99,118.0,113.5,117.12,723500
2018-01-11,117.0,119.0,115.21,116.67,806000
2018-01-12,117.5,117.5,113.1,114.38,325000
2018-01-15,115.75,116.75,113.5,114.67,262000
2018-01-16,116.0,119.4,115.27,115.67,277000
2018-01-17,116.97,117.5,115.01,117.07,117500
2018-01-18,118.8,122.92,118.8,122.53,1971000
2018-01-19,124.9,128.5,124.0,127.37,1106500
2018-01-22,129.9,133.73,126.95,133.73,695500
2018-01-23,136.0,140.41,135.1,135.64,1614500
2018-01-24,139.0,142.42,138.99,140.72,1316500
2018-01-25,140.0,141.0,136.55,139.17,140000
2018-01-26,136.55,140.0,135.0,139.28,110000
2018-01-29,136.0,137.5,135.0,135.26,137000
2018-01-30,136.25,137.99,134.6,134.85,164500
2018-01-31,135.0,139.0,134.5,137.19,288000
2018-02-01,138.01,139.5,137.0,137.6,403000
2018-02-02,137.6,141.5,136.75,137.19,265000
2018-02-06,135.1,137.45,135.1,136.24,105500
2018-02-07,137.0,138.9,135.32,136.08,282000
2018-02-08,139.0,139.0,129.28,129.28,1827500
2018-02-09,125.01,126.0,123.9,125.08,567500
2018-02-12,124.02,126.5,124.02,126.15,113500
2018-02-13,126.5,128.5,126.0,127.03,196500
2018-02-14,125.51,126.5,123.15,124.47,138500
2018-02-15,124.5,125.4,123.0,124.32,950000
2018-02-16,126.0,130.5,124.51,127.56,24500
2018-02-19,126.99,129.75,126.99,127.93,92000
2018-02-20,126.01,126.99,125.01,126.68,33000
2018-02-21,127.0,129.0,125.05,126.02,150500
2018-02-22,122.1,127.0,122.1,125.98,73500
2018-02-23,127.0,127.0,120.0,123.11,104500
2018-02-26,124.85,124.85,123.56,124.02,10500
2018-02-27,125.99,126.0,124.0,124.5,21500
2018-02-28,126.0,126.98,125.3,126.23,402500
2018-03-01,127.0,132.54,127.0,132.54,843500
2018-03-02,138.5,139.16,134.2,138.89,649500
2018-03-05,139.1,140.5,137.11,138.1,68500
2018-03-06,139.94,142.9,137.0,137.9,234500
2018-03-07,137.0,137.44,134.0,134.15,95500
2018-03-08,134.0,134.0,130.5,131.41,197500
2018-03-09,131.01,131.5,128.9,130.0,82000
2018-03-12,132.0,133.5,128.0,132.66,208500
2018-03-13,132.0,133.9,130.0,132.26,152000
2018-03-14,133.9,133.95,130.0,130.21,30000
2018-03-15,129.15,130.99,127.98,128.0,59000
2018-03-16,128.99,128.99,127.0,127.09,223000
2018-03-19,126.65,128.75,120.8,125.94,345500
2018-03-20,127.5,131.5,127.0,129.4,76500
2018-03-21,128.5,133.0,128.5,129.6,103000
2018-03-22,130.5,134.7,129.0,133.89,258500
2018-03-26,131.88,133.5,130.25,131.14,100000
2018-03-27,132.0,133.5,130.0,130.92,76000
2018-03-28,131.0,134.74,130.51,133.75,257000
2018-03-29,133.25,134.74,131.0,131.92,186500
2018-03-30,133.48,133.48,127.0,128.3,125000
2018-04-02,131.0,134.71,131.0,134.71,509000
2018-04-03,135.61,136.5,133.01,134.89,645500
2018-04-04,133.6,136.5,133.0,133.34,405500
2018-04-05,134.08,136.5,131.99,132.5,186500
2018-04-06,135.0,137.3,133.6,134.82,441500
2018-04-09,135.0,135.25,133.01,133.01,31000
2018-04-10,133.2,133.2,131.5,131.96,40500
2018-04-11,132.0,132.0,130.65,130.65,73500
2018-04-12,130.95,130.95,126.01,128.78,104500
2018-04-13,130.25,130.45,128.0,128.93,125000
2018-04-16,128.25,129.0,127.6,127.91,30000
2018-04-17,129.71,130.48,126.0,126.85,182000
2018-04-18,132.85,132.85,127.8,127.99,324500
2018-04-19,127.5,128.0,125.03,126.8,31500
2018-04-20,127.0,128.0,126.9,127.77,408000
2018-04-23,127.8,129.0,127.11,127.86,156000
2018-04-24,128.99,129.0,128.0,128.0,110500
2018-04-25,128.0,129.0,126.1,127.0,172500
2018-04-26,127.0,127.8,125.99,126.92,944500
2018-04-27,126.0,126.5,125.0,125.2,115000
2018-04-30,125.0,125.0,120.31,123.41,274500
2018-05-02,121.1,125.5,121.1,124.92,40500
2018-05-03,124.6,127.0,123.15,124.88,410000
2018-05-04,125.0,125.0,123.0,124.37,260500
2018-05-07,121.25,125.4,121.25,124.82,30500
2018-05-08,125.0,125.0,121.79,122.85,249000
2018-05-09,123.0,123.0,116.71,117.04,670000
2018-05-10,114.01,121.0,114.01,118.76,51000
2018-05-11,121.89,124.69,116.05,117.48,177500
2018-05-14,117.0,117.0,113.0,113.7,235500
2018-05-15,113.7,119.38,111.0,118.0,467500
2018-05-16,118.0,120.0,118.0,118.0,42000
2018-05-17,116.9,116.9,115.0,115.09,10500
2018-05-18,115.09,115.09,112.1,113.43,4500
