Date,Open,High,Low,Close,Volume
2018-01-01,12.73,13.1,12.72,13.03,374500
2018-01-02,12.89,13.28,12.89,13.19,673000
2018-01-03,13.07,13.26,12.9,12.98,638500
2018-01-04,13.0,13.3,13.0,13.22,682000
2018-01-05,13.12,13.67,13.11,13.56,1855500
2018-01-08,13.67,14.06,13.63,13.91,2098500
2018-01-09,13.95,14.15,13.66,13.73,1114000
2018-01-10,13.88,14.44,13.8,14.32,1824500
2018-01-11,14.37,14.38,13.9,14.01,1520500
2018-01-12,14.1,14.3,13.65,13.74,1234000
2018-01-15,13.8,13.8,13.2,13.28,741500
2018-01-16,13.3,13.75,13.3,13.72,640000
2018-01-17,13.84,13.87,13.6,13.79,538000
2018-01-18,13.84,14.3,13.7,13.74,1775000
2018-01-19,13.98,14.0,13.71,13.93,744500
2018-01-22,14.05,14.3,13.98,14.09,2842000
2018-01-23,14.1,14.27,13.9,14.16,1069500
2018-01-24,14.2,14.75,14.2,14.62,4601500
2018-01-25,14.8,15.4,14.58,14.95,6200000
2018-01-26,14.99,15.12,14.8,14.94,1359000
2018-01-29,15.0,15.39,15.0,15.1,2523500
2018-01-30,15.39,15.47,14.8,14.9,4691500
2018-01-31,15.0,15.9,14.94,15.7,6699500
2018-02-01,15.76,15.8,15.32,15.43,3537000
2018-02-02,15.4,16.1,15.38,15.83,3491500
2018-02-06,15.9,16.83,15.5,16.52,12110000
2018-02-07,17.0,17.52,16.93,17.46,9247500
2018-02-08,17.86,17.94,16.89,16.96,7827500
2018-02-09,16.88,16.88,16.45,16.56,5938500
2018-02-12,16.56,16.7,15.9,16.08,3784000
2018-02-13,16.24,16.29,15.71,15.85,3507000
2018-02-14,15.82,15.9,15.25,15.3,1843000
2018-02-15,15.3,15.39,14.82,14.86,1714000
2018-02-16,14.9,15.35,14.82,15.3,1704500
2018-02-19,15.45,15.6,15.15,15.19,1074000
2018-02-20,15.2,15.49,15.03,15.16,1199000
2018-02-21,15.5,15.5,15.25,15.46,1244000
2018-02-22,15.16,15.65,15.13,15.53,2079000
2018-02-23,15.65,15.75,14.95,15.01,3871500
2018-02-26,15.15,15.3,14.98,15.04,1473000
2018-02-27,15.18,15.23,14.9,15.06,1317000
2018-02-28,15.11,16.06,15.11,15.72,15512000
2018-03-01,15.7,16.0,15.5,15.82,5040500
2018-03-02,15.95,16.3,15.25,15.36,13300500
2018-03-05,15.57,15.6,15.16,15.22,3047500
2018-03-06,15.47,15.85,15.44,15.69,9440500
2018-03-07,15.79,15.86,15.25,15.35,3982500
2018-03-08,15.35,15.49,15.12,15.21,2672500
2018-03-09,15.3,15.45,14.95,15.05,2401000
2018-03-12,15.5,15.5,14.72,15.02,6437000
2018-03-13,15.1,15.2,14.88,14.97,2734500
2018-03-14,15.05,15.13,14.9,14.99,2315500
2018-03-15,14.93,15.28,14.93,15.1,4691000
2018-03-16,15.1,15.44,14.96,15.03,5021500
2018-03-19,15.03,15.15,14.93,14.99,1471000
2018-03-20,15.05,15.17,14.9,14.98,3982000
2018-03-21,14.96,15.14,14.9,14.96,2519500
2018-03-22,15.0,15.16,14.85,14.88,1690000
2018-03-26,14.78,14.95,14.75,14.85,1368500
2018-03-27,14.9,15.05,14.73,14.81,2516000
2018-03-28,14.89,14.9,14.7,14.75,1086500
2018-03-29,14.8,14.99,14.6,14.65,2853500
2018-03-30,14.62,14.82,14.54,14.61,3359000
2018-04-02,14.61,15.15,14.6,14.99,7484000
2018-04-03,15.01,15.19,14.99,15.08,2755000
2018-04-04,15.1,15.57,15.06,15.32,8496000
2018-04-05,15.41,15.55,14.95,15.1,16627500
2018-04-06,15.25,15.34,15.01,15.08,1910500
2018-04-09,15.02,15.16,14.83,14.87,1841500
2018-04-10,14.93,15.14,14.88,14.97,2179500
2018-04-11,15.01,15.29,14.97,15.06,3756000
2018-04-12,15.13,15.37,15.05,15.1,6298500
2018-04-13,15.18,15.18,14.86,14.89,2555000
2018-04-16,14.95,14.99,14.65,14.69,1049000
2018-04-17,14.67,14.8,14.65,14.68,842500
2018-04-18,14.82,14.9,14.3,14.49,2156500
2018-04-19,14.6,14.6,14.2,14.29,1541000
2018-04-20,14.33,14.48,14.2,14.38,992500
2018-04-23,14.51,14.63,14.42,14.47,1075000
2018-04-24,14.59,14.65,14.4,14.56,745000
2018-04-25,14.65,14.7,14.46,14.49,909500
2018-04-26,14.5,14.64,14.11,14.47,1950500
2018-04-27,14.5,15.47,14.5,15.0,29112500
2018-04-30,15.3,15.33,14.85,14.96,6596000
2018-05-02,14.95,15.1,14.65,14.78,2505500
2018-05-03,14.75,14.89,14.17,14.31,3556500
2018-05-04,14.39,14.5,14.2,14.27,1619500
2018-05-07,14.29,14.4,14.02,14.08,1701000
2018-05-08,14.16,14.19,13.7,13.81,2183000
2018-05-09,13.81,13.9,13.25,13.53,1982500
2018-05-10,13.61,13.73,13.35,13.48,888000
2018-05-11,13.59,13.68,13.11,13.21,1715000
2018-05-14,13.1,13.19,12.6,12.98,4510500
2018-05-15,13.07,13.35,12.91,13.22,2348000
2018-05-16,13.2,13.3,12.96,13.03,1271000
2018-05-17,12.95,13.09,12.89,13.02,704000
2018-05-18,13.0,13.0,12.68,12.72,1365500
2018-05-21,12.8,13.05,12.75,12.93,2706500
2018-05-22,13.05,13.24,12.9,13.16,1076000
2018-05-23,13.34,13.42,13.02,13.08,1432000
2018-05-24,13.01,13.1,12.85,12.86,836000
2018-05-25,12.85,12.87,12.51,12.58,1519500
2018-05-28,12.68,13.4,12.5,12.92,2098000
2018-05-29,12.91,13.2,12.85,13.06,1446500
2018-05-30,13.03,13.17,12.75,12.84,1666500
2018-05-31,12.85,12.97,12.75,12.82,1641000
2018-06-01,12.84,12.95,12.73,12.91,577500
2018-06-04,12.82,13.0,12.77,12.8,1131500
2018-06-05,12.9,12.95,12.81,12.88,778000
2018-06-06,12.9,13.2,12.86,13.02,1224500
2018-06-07,13.2,13.45,13.0,13.13,3859500
2018-06-11,13.04,13.3,12.71,12.81,1316000
2018-06-12,12.76,12.84,12.6,12.75,1319500
2018-06-13,12.79,13.14,12.75,13.09,1467000
2018-06-14,13.11,13.29,13.0,13.19,1101500
2018-06-19,13.2,13.2,13.0,13.05,2062000
2018-06-20,13.1,13.13,12.7,12.77,1528500
2018-06-21,12.65,12.81,12.6,12.67,931000
2018-06-22,12.62,12.8,12.4,12.51,853000
2018-06-25,12.51,12.88,11.92,12.03,5587500
2018-06-26,12.18,12.3,12.07,12.23,2702000
2018-06-27,12.3,12.44,12.19,12.28,1849000
2018-06-28,12.3,12.4,12.1,12.29,1805500
2018-06-29,12.3,12.39,12.13,12.2,895000
2018-07-02,12.37,12.4,12.22,12.35,1003500
