Date,Open,High,Low,Close,Volume
2018-01-01,133.72,137.99,131.05,136.34,1236500
2018-01-02,136.15,142.8,134.6,141.72,4506300
2018-01-03,141.1,144.35,140.01,143.19,3875100
2018-01-04,142.51,143.5,140.51,141.87,1851200
2018-01-05,141.4,145.85,141.4,143.59,1280700
2018-01-08,144.0,145.49,141.75,142.85,2998400
2018-01-09,142.5,143.9,139.55,141.14,1421200
2018-01-10,141.95,145.2,140.67,144.78,4760200
2018-01-11,144.9,147.7,143.11,144.34,5387600
2018-01-12,144.05,144.05,137.13,137.23,3185400
2018-01-15,137.0,139.75,134.8,137.48,1985000
2018-01-16,138.5,143.45,138.5,139.94,2845200
2018-01-17,140.0,142.62,138.51,142.07,1279400
2018-01-18,144.49,146.8,142.01,144.62,3987300
2018-01-19,145.4,150.85,145.4,149.76,5823200
2018-01-22,151.0,157.24,150.0,157.24,4365200
2018-01-23,158.61,162.5,156.5,159.32,6654800
2018-01-24,161.5,167.28,161.5,167.13,7004100
2018-01-25,167.7,167.7,163.25,166.14,1608700
2018-01-26,166.13,167.0,162.4,166.33,1671900
2018-01-29,165.0,165.55,161.5,162.64,2089700
2018-01-30,163.4,164.5,158.2,159.2,2304500
2018-01-31,159.3,161.25,157.21,159.74,1750300
2018-02-01,159.97,165.49,159.71,164.67,3313800
2018-02-02,165.0,165.39,161.76,162.02,1146500
2018-02-06,158.0,160.0,157.01,158.11,1950100
2018-02-07,159.5,161.85,158.0,158.54,1435300
2018-02-08,159.1,159.5,150.62,151.25,4134200
2018-02-09,150.89,152.74,147.25,151.46,4362600
2018-02-12,153.04,153.5,149.3,150.8,2169100
2018-02-13,152.99,152.99,146.06,147.76,2697800
2018-02-14,148.0,148.44,141.0,141.57,1449500
2018-02-15,141.5,143.98,138.45,139.27,1564400
2018-02-16,140.5,142.0,139.62,141.43,784300
2018-02-19,141.01,144.0,139.71,140.07,1809300
2018-02-20,140.0,142.0,135.0,140.25,4341600
2018-02-21,143.5,143.8,140.75,141.12,2406200
2018-02-22,137.0,143.88,137.0,143.2,1332900
2018-02-23,143.5,144.0,137.25,138.84,1992700
2018-02-26,140.35,140.35,135.1,136.85,1362100
2018-02-27,137.0,142.7,134.86,141.71,2328500
2018-02-28,141.5,144.25,140.15,143.71,2057200
2018-03-01,143.75,150.89,142.53,149.51,10856700
2018-03-02,150.1,153.93,149.8,153.09,6207600
2018-03-05,154.55,154.95,149.65,152.03,2695800
2018-03-06,154.89,157.99,154.3,155.78,6228300
2018-03-07,156.4,156.4,152.8,154.34,1514600
2018-03-08,153.5,154.25,148.5,150.91,3614700
2018-03-09,151.0,152.0,145.2,146.65,2256200
2018-03-12,147.22,153.5,147.22,152.97,2059000
2018-03-13,153.5,155.5,151.31,153.37,2604300
2018-03-14,153.49,153.49,151.7,152.49,633800
2018-03-15,153.0,153.19,151.05,152.65,407700
2018-03-16,152.4,153.25,150.0,150.59,773400
2018-03-19,150.81,151.89,149.1,151.33,1113200
2018-03-20,152.0,154.89,151.6,153.11,2405400
2018-03-21,153.5,154.1,151.0,151.6,981600
2018-03-22,152.49,158.99,152.02,156.26,4876100
2018-03-26,156.25,158.8,153.26,157.35,1945400
2018-03-27,157.35,161.9,157.35,157.9,2651100
2018-03-28,158.11,162.7,157.0,160.75,3187300
2018-03-29,161.0,164.75,161.0,163.84,3654700
2018-03-30,164.22,164.7,160.69,163.11,1047300
2018-04-02,165.99,171.26,165.99,171.19,3980800
2018-04-03,171.98,173.0,169.1,171.58,2528700
2018-04-04,170.7,173.99,164.13,165.45,3964200
2018-04-05,167.25,170.49,166.32,167.8,1798700
2018-04-06,168.1,170.99,166.25,167.41,1421700
2018-04-09,167.81,169.7,166.8,167.09,847900
2018-04-10,167.3,167.55,165.6,166.72,726100
2018-04-11,166.81,167.4,164.15,164.68,771100
2018-04-12,164.11,165.99,163.03,165.01,614900
2018-04-13,164.81,164.95,158.5,159.63,3586500
2018-04-16,159.88,159.88,154.56,155.19,2251500
2018-04-17,155.01,157.99,152.9,156.42,2359300
2018-04-18,157.4,159.59,151.1,152.2,2852900
2018-04-19,152.0,152.0,147.75,149.14,3655800
2018-04-20,150.97,152.45,145.16,146.25,1713000
2018-04-23,146.1,148.25,143.3,145.74,2680600
2018-04-24,146.49,149.69,144.0,145.45,5568400
2018-04-25,145.51,146.01,141.5,142.21,4150200
2018-04-26,142.25,143.99,141.83,142.85,1994700
2018-04-27,142.8,143.75,140.25,140.82,1804000
2018-04-30,141.5,145.65,140.01,145.23,2203200
2018-05-02,145.6,145.84,143.51,144.04,2213300
2018-05-03,144.11,144.95,142.1,143.59,1847900
2018-05-04,143.02,144.25,142.2,142.77,1994200
2018-05-07,142.95,143.8,140.85,141.24,1163900
2018-05-08,141.04,141.04,136.64,137.42,2794600
2018-05-09,138.22,138.88,132.5,135.49,3374200
2018-05-10,135.07,141.45,133.55,138.64,2853600
2018-05-11,139.5,143.2,136.21,137.53,5384200
2018-05-14,135.5,135.99,130.66,130.66,3409600
2018-05-15,130.9,133.75,125.05,131.52,6807400
2018-05-16,132.0,132.44,129.5,130.03,1013600
2018-05-17,130.05,130.05,126.62,127.31,1258100
2018-05-18,127.02,128.49,125.1,126.32,2110200
2018-05-21,128.16,129.0,127.0,127.45,1192300
2018-05-22,127.6,131.95,127.6,131.39,3125800
2018-05-23,131.89,132.19,129.0,130.09,1432900
2018-05-24,130.25,130.5,127.1,127.45,810600
2018-05-25,127.45,127.82,125.0,125.65,1614200
2018-05-28,125.1,128.51,122.1,123.83,2899600
2018-05-29,124.0,128.25,123.02,127.35,2340200
2018-05-30,127.9,128.25,125.0,126.69,1509800
2018-05-31,126.5,128.4,125.61,126.46,3109200
2018-06-01,126.22,126.49,125.1,125.88,592600
2018-06-04,126.0,128.51,125.7,127.29,2487900
2018-06-05,127.2,132.8,127.03,131.87,9515800
2018-06-06,131.94,133.0,129.26,129.81,3059200
2018-06-07,129.89,133.4,129.82,131.3,3599000
2018-06-11,132.0,132.0,124.76,125.61,5277500
2018-06-12,124.9,124.9,119.33,119.44,5546800
2018-06-13,118.1,122.3,115.1,117.78,5106200
2018-06-14,118.51,121.75,118.51,120.33,2676800
2018-06-19,121.2,122.22,120.0,121.29,1519500
2018-06-20,121.22,121.35,117.6,118.34,1140600
2018-06-21,118.0,118.0,114.15,116.04,2721700
