Date,Open,High,Low,Close,Volume
2018-01-01,67.01,67.51,66.52,67.17,561500
2018-01-02,66.99,68.25,66.85,67.86,1600000
2018-01-03,67.75,68.6,67.41,68.39,4143500
2018-01-04,68.3,68.85,68.1,68.39,1122000
2018-01-05,68.5,69.9,68.25,69.33,2211500
2018-01-08,70.0,71.5,70.0,71.04,5800000
2018-01-09,71.15,71.9,69.8,70.02,1958500
2018-01-10,70.01,70.79,70.01,70.54,2362000
2018-01-11,70.7,70.75,69.2,69.47,2292000
2018-01-12,69.45,69.8,68.0,68.96,1449000
2018-01-15,68.5,69.05,67.65,68.31,1253000
2018-01-16,68.49,69.3,67.9,68.16,1002000
2018-01-17,68.0,69.0,67.6,68.7,717500
2018-01-18,69.25,69.75,68.2,68.85,1425500
2018-01-19,68.99,69.65,68.41,69.51,968000
2018-01-22,69.69,70.25,69.25,70.02,1141500
2018-01-23,70.0,70.0,69.0,69.26,778000
2018-01-24,69.4,69.98,69.1,69.28,2144000
2018-01-25,69.3,69.6,68.8,68.97,1817000
2018-01-26,68.56,69.12,68.0,68.77,2426500
2018-01-29,68.51,68.51,66.75,68.01,1821000
2018-01-30,68.0,69.0,67.71,68.82,644500
2018-01-31,68.97,70.25,68.97,69.7,2824000
2018-02-01,69.97,69.97,69.26,69.42,453000
2018-02-02,69.22,70.18,69.06,69.62,1618000
2018-02-06,69.1,69.45,68.05,68.53,2072000
2018-02-07,68.61,69.3,68.53,68.65,6605000
2018-02-08,69.1,70.05,68.7,69.72,9507000
2018-02-09,69.7,69.95,69.25,69.58,1218000
2018-02-12,69.5,69.7,69.0,69.05,1495000
2018-02-13,69.05,69.5,69.05,69.28,1003000
2018-02-14,69.12,69.5,68.0,68.5,1427500
2018-02-15,68.25,68.7,68.0,68.17,915500
2018-02-16,68.2,68.93,68.11,68.73,1361500
2018-02-19,68.89,69.12,68.15,68.26,1738000
2018-02-20,68.38,68.69,66.95,67.53,2457500
2018-02-21,68.05,68.6,67.2,67.85,3708000
2018-02-22,67.25,68.35,67.02,68.06,4227500
2018-02-23,68.25,68.6,67.2,67.62,3990000
2018-02-26,68.45,68.48,67.75,68.16,2018500
2018-02-27,68.39,68.84,68.15,68.57,3839000
2018-02-28,69.0,69.79,68.77,69.18,3810500
2018-03-01,69.5,69.75,68.99,69.18,2554000
2018-03-02,69.25,69.85,69.01,69.36,867500
2018-03-05,69.16,69.7,69.16,69.46,507500
2018-03-06,69.65,69.98,69.34,69.47,1126000
2018-03-07,69.89,69.89,68.9,69.02,2325000
2018-03-08,69.2,69.4,67.85,68.05,3003500
2018-03-09,68.69,69.2,68.34,69.04,1032500
2018-03-12,69.0,70.1,68.98,69.95,2306500
2018-03-13,70.19,70.9,70.06,70.49,2526000
2018-03-14,70.5,70.65,69.9,70.02,4158500
2018-03-15,67.45,67.85,66.9,67.71,2597500
2018-03-16,67.69,67.75,67.02,67.36,939500
2018-03-19,67.11,68.5,67.02,68.32,1058000
2018-03-20,68.49,68.49,67.75,67.99,1274500
2018-03-21,68.0,69.0,68.0,68.34,1896000
2018-03-22,68.3,68.49,68.01,68.16,522500
2018-03-26,68.2,68.3,67.8,68.21,497500
2018-03-27,68.01,68.45,68.0,68.3,1040500
2018-03-28,68.44,68.98,68.4,68.93,1076000
2018-03-29,69.0,69.75,68.88,69.58,3658500
2018-03-30,69.75,69.75,68.9,69.09,1003000
2018-04-02,68.99,69.99,68.98,69.24,1453500
2018-04-03,69.5,69.95,69.15,69.36,2461500
2018-04-04,69.5,71.0,69.3,69.92,4346000
2018-04-05,70.34,70.6,69.8,70.04,976000
2018-04-06,70.4,70.8,70.01,70.65,1383000
2018-04-09,70.4,72.5,70.32,72.04,3993000
2018-04-10,72.5,72.8,71.5,71.58,755500
2018-04-11,72.0,72.0,70.25,70.42,4122000
2018-04-12,70.36,71.3,70.2,71.11,4096000
2018-04-13,71.1,71.45,70.57,71.27,979500
2018-04-16,71.22,71.5,71.0,71.22,601500
2018-04-17,71.16,71.52,70.55,71.03,1219000
2018-04-18,71.49,73.0,71.49,71.91,6417000
2018-04-19,72.0,72.0,70.0,71.46,653500
2018-04-20,72.0,74.5,71.03,72.82,5717000
2018-04-23,72.98,73.9,72.52,73.27,1618000
2018-04-24,73.49,74.0,72.82,73.53,2737500
2018-04-25,73.6,74.0,72.8,72.95,1084000
2018-04-26,72.3,73.7,72.3,72.85,977000
2018-04-27,73.5,73.85,72.41,72.53,2127500
2018-04-30,73.9,74.0,72.0,72.17,1966000
2018-05-02,72.39,73.44,72.02,72.92,1681000
2018-05-03,73.24,73.29,71.8,72.92,1929500
2018-05-04,72.75,73.45,72.5,73.26,824000
2018-05-07,72.8,75.1,72.8,74.29,6120500
2018-05-08,74.5,74.75,73.8,74.36,667500
2018-05-09,74.4,74.85,73.35,74.19,1477000
2018-05-10,74.05,74.5,73.94,74.09,513500
2018-05-11,74.02,74.93,74.0,74.47,1180000
2018-05-14,74.4,75.25,73.51,73.87,6288000
2018-05-15,74.0,74.5,72.5,73.56,1832500
2018-05-16,73.8,73.9,73.45,73.73,694000
2018-05-17,74.0,74.0,72.0,72.45,787500
2018-05-18,72.5,72.8,72.25,72.55,1137500
2018-05-21,72.25,72.8,72.25,72.66,732500
2018-05-22,72.75,75.1,72.75,74.9,2067000
2018-05-23,74.98,75.15,74.02,74.21,1104500
2018-05-24,74.49,75.5,73.7,73.85,605500
2018-05-25,73.97,74.3,73.02,73.33,668000
2018-05-28,73.13,73.79,73.07,73.4,264500
2018-05-29,73.5,74.4,73.48,74.32,317000
2018-05-30,74.47,74.75,73.65,74.48,724000
2018-05-31,74.84,74.99,73.98,74.33,1792500
2018-06-01,74.47,74.65,74.18,74.39,423500
2018-06-04,74.47,75.25,74.47,74.79,3072500
2018-06-05,74.75,75.0,74.5,74.57,1018000
2018-06-06,74.75,75.0,74.72,74.93,2414000
2018-06-07,74.97,74.99,74.5,74.61,521500
2018-06-11,74.3,75.0,74.3,74.89,1061000
2018-06-12,74.97,74.97,74.25,74.38,645500
2018-06-13,74.5,74.95,74.38,74.81,932000
2018-06-14,74.94,75.0,74.4,74.76,1059500
2018-06-19,74.9,76.7,74.8,76.23,5317000
2018-06-20,76.4,78.49,76.26,76.73,4433500
2018-06-21,76.5,77.48,75.5,76.64,1514000
2018-06-22,77.0,77.25,75.51,75.95,1252000
2018-06-25,75.97,76.5,74.0,74.27,1793500
2018-06-26,74.5,75.59,74.5,74.76,876000
2018-06-27,75.12,75.74,74.91,75.06,1655500
2018-06-28,74.56,75.25,74.49,74.95,5138500
2018-06-29,75.0,75.4,74.65,74.91,2067500
2018-07-02,74.9,77.0,74.9,76.72,1505000
2018-07-03,76.7,76.97,76.25,76.59,455000
2018-07-04,76.45,76.45,74.29,74.71,1358500
