Date,Open,High,Low,Close,Volume
2018-01-01,110.99,113.2,110.99,112.05,5700
2018-01-02,112.0,116.0,111.25,114.96,11400
2018-01-03,115.0,116.0,113.6,114.07,85700
2018-01-04,113.26,115.0,113.25,114.75,49000
2018-01-05,115.75,119.99,115.75,118.91,10400
2018-01-08,118.0,120.0,118.0,119.17,20700
2018-01-09,115.11,118.79,115.11,118.0,4500
2018-01-10,118.49,120.0,118.49,120.0,18500
2018-01-11,120.0,121.0,116.11,119.1,31100
2018-01-12,118.0,118.25,117.5,117.99,11000
2018-01-15,117.01,120.0,117.01,118.87,29800
2018-01-16,119.1,121.5,116.01,118.28,56800
2018-01-17,119.0,119.5,117.56,118.93,31500
2018-01-18,119.5,121.0,116.0,117.7,56200
2018-01-19,118.0,120.44,118.0,120.02,84400
2018-01-22,120.9,126.02,120.9,126.02,91000
2018-01-23,127.0,131.9,127.0,130.02,244700
2018-01-24,131.79,131.8,125.0,126.17,188900
2018-01-25,126.0,126.0,124.0,124.64,5600
2018-01-26,124.15,124.15,122.0,123.0,3100
2018-01-29,123.0,123.9,122.0,123.18,6300
2018-01-30,124.0,124.0,120.0,121.42,9500
2018-01-31,122.0,122.75,121.5,122.08,4700
2018-02-01,122.0,128.18,122.0,128.17,37700
2018-02-02,134.57,134.57,128.56,129.24,106800
2018-02-06,128.0,128.0,123.0,127.5,4500
2018-02-07,128.0,128.0,125.55,125.7,5400
2018-02-08,125.11,125.11,124.0,124.32,700
2018-02-09,127.9,127.99,119.0,126.79,17000
2018-02-12,125.0,133.12,125.0,132.17,41900
2018-02-13,133.0,133.0,129.21,130.11,9600
2018-02-14,129.0,130.0,127.0,129.6,7900
2018-02-15,128.0,128.0,125.5,125.66,10300
2018-02-16,126.0,126.45,125.0,125.73,1300
2018-02-19,128.24,129.5,126.1,126.7,4000
2018-02-20,125.01,126.99,123.5,123.91,16300
2018-02-21,124.0,126.0,122.05,124.47,6400
2018-02-22,124.01,127.99,121.0,126.99,15400
2018-02-23,129.9,129.9,121.0,122.0,45500
2018-02-26,123.0,124.0,120.55,123.43,8400
2018-02-27,122.5,122.5,121.0,121.11,24000
2018-02-28,121.0,121.0,120.0,121.0,15500
2018-03-01,121.0,122.0,120.0,120.24,71900
2018-03-02,120.17,121.0,120.1,120.97,9800
2018-03-05,121.0,122.0,120.32,120.73,25900
2018-03-06,120.16,121.0,119.01,119.78,16800
2018-03-07,119.51,122.18,119.5,121.09,13100
2018-03-08,121.1,122.5,120.0,121.75,4200
2018-03-09,120.15,121.49,120.0,120.11,2600
2018-03-12,121.0,121.0,120.15,121.0,6000
2018-03-13,121.0,123.0,121.0,121.36,12900
2018-03-14,121.0,123.0,120.0,122.36,2800
2018-03-15,122.0,124.0,122.0,122.0,3800
2018-03-16,124.4,126.9,123.0,123.38,81600
2018-03-19,125.99,125.99,119.32,120.2,48300
2018-03-20,120.99,124.0,119.0,123.04,153900
2018-03-21,124.0,126.25,122.0,125.3,162600
2018-03-22,125.99,131.56,125.99,130.45,207400
2018-03-26,130.51,130.51,128.6,129.92,50000
2018-03-27,130.0,135.0,130.0,132.25,141300
2018-03-28,132.5,132.95,130.2,131.66,15600
2018-03-29,130.0,131.0,130.0,130.02,45300
2018-03-30,131.0,135.0,125.0,130.94,61500
2018-04-02,129.98,130.0,127.0,127.82,7600
2018-04-03,129.0,130.25,128.0,128.13,21200
2018-04-04,128.3,128.3,127.5,127.75,3000
2018-04-05,127.5,129.89,127.25,128.0,31200
2018-04-06,129.0,130.0,128.25,128.38,21800
2018-04-09,128.95,128.95,127.1,128.78,6400
2018-04-10,128.0,130.0,126.0,128.88,19700
2018-04-11,129.95,130.0,129.0,129.5,1000
2018-04-12,129.5,131.0,129.5,130.91,16000
2018-04-13,131.9,133.53,130.0,132.5,215600
2018-04-16,134.0,134.0,132.11,132.63,62800
2018-04-17,132.0,134.0,132.0,133.47,46800
2018-04-18,132.0,136.0,131.0,133.07,120600
2018-04-19,133.25,133.89,131.5,132.28,23700
2018-04-20,132.89,134.85,132.0,134.01,102300
2018-04-23,130.0,133.0,130.0,132.55,31900
2018-04-24,133.9,134.9,131.5,134.23,46400
2018-04-25,134.5,139.8,132.25,137.58,230400
2018-04-26,137.0,138.0,132.0,133.06,150000
2018-04-27,134.9,137.89,133.0,133.3,127600
2018-04-30,134.97,136.0,133.01,133.55,13000
2018-05-02,133.0,133.1,132.38,133.05,1600
2018-05-03,132.01,132.01,128.0,129.71,62900
2018-05-04,128.5,131.0,128.0,131.0,53900
2018-05-07,130.5,131.0,129.0,129.4,5000
2018-05-08,129.05,130.5,128.32,129.0,11700
2018-05-09,129.0,129.0,123.5,127.7,6200
2018-05-10,124.5,128.0,123.0,126.88,191700
2018-05-11,125.06,127.9,124.98,125.55,3200
