Date,Open,High,Low,Close,Volume
2018-01-01,20.77,22.32,20.77,22.07,3146000
2018-01-02,22.69,23.17,22.3,23.16,6135000
2018-01-03,23.49,23.9,23.1,23.19,682500
2018-01-04,23.2,23.6,22.75,23.3,6192000
2018-01-05,23.3,24.01,23.26,23.75,747500
2018-01-08,23.95,24.49,23.7,24.38,3874500
2018-01-09,24.01,24.68,23.75,23.85,296500
2018-01-10,24.0,24.6,24.0,24.28,1204500
2018-01-11,24.35,25.49,24.0,25.09,6746500
2018-01-12,25.2,25.69,24.12,24.51,548500
2018-01-15,24.21,24.4,23.36,23.72,637000
2018-01-16,23.65,24.9,23.65,24.19,11661500
2018-01-17,24.79,24.79,23.7,24.22,6168000
2018-01-18,24.49,24.6,23.8,23.88,624000
2018-01-19,23.7,24.24,23.7,23.93,407000
2018-01-22,24.3,24.98,23.53,24.79,687000
2018-01-23,24.8,24.8,24.1,24.69,366500
2018-01-24,24.9,25.18,23.96,24.21,3451000
2018-01-25,24.15,24.48,23.78,23.82,3269000
2018-01-26,24.0,24.01,23.4,23.45,2022500
2018-01-29,24.62,24.62,24.3,24.62,7588000
2018-01-30,25.24,25.29,24.25,24.51,853500
2018-01-31,24.51,25.1,24.51,24.93,560500
2018-02-01,25.0,25.0,24.6,24.65,92500
2018-02-02,24.69,24.69,24.23,24.26,282000
2018-02-06,24.1,24.39,23.9,24.03,175500
2018-02-07,24.11,24.6,23.91,24.0,379500
2018-02-08,24.35,24.4,23.75,23.76,211000
2018-02-09,23.71,24.54,23.55,24.34,684000
2018-02-12,24.45,24.49,24.0,24.05,70500
2018-02-13,24.03,24.65,24.0,24.52,382500
2018-02-14,24.15,24.49,24.1,24.1,65000
2018-02-15,24.05,24.98,23.91,24.82,559500
2018-02-16,25.0,25.49,24.82,25.41,810000
2018-02-19,25.2,25.5,25.05,25.22,433500
2018-02-20,25.01,25.5,24.7,25.0,678500
2018-02-21,25.49,25.75,25.15,25.25,2169000
2018-02-22,24.5,25.53,24.5,25.49,300000
2018-02-23,25.26,25.35,24.5,25.25,169500
2018-02-26,25.25,25.35,24.75,24.81,773500
2018-02-27,24.8,25.0,24.5,24.96,122000
2018-02-28,25.25,25.99,25.0,25.77,2810500
2018-03-01,26.0,26.1,25.55,25.98,1598500
2018-03-02,25.95,26.0,25.64,25.88,407500
2018-03-05,25.75,26.2,25.6,26.04,357000
2018-03-06,26.25,26.25,25.79,25.93,481500
2018-03-07,26.44,26.44,25.75,25.96,528500
2018-03-08,26.09,26.09,25.76,25.97,65500
2018-03-09,25.95,26.0,25.61,25.68,45500
2018-03-12,25.61,26.0,25.6,25.98,304000
2018-03-13,25.95,26.48,25.95,26.13,6354500
2018-03-14,26.45,26.5,25.8,25.95,174500
2018-03-15,25.9,26.0,25.7,25.85,289500
2018-03-16,26.0,26.0,25.67,25.74,234500
2018-03-19,25.9,26.0,25.43,25.53,4400000
2018-03-20,22.4,23.31,22.4,23.31,605500
2018-03-21,24.47,24.47,24.46,24.47,1959500
2018-03-22,25.1,25.25,24.51,24.97,1296000
2018-03-26,25.0,25.1,24.71,24.94,961500
2018-03-27,25.0,26.18,25.0,26.0,9109000
2018-03-28,25.99,26.98,25.7,26.63,3705500
2018-03-29,26.8,27.5,26.4,26.6,2612000
2018-03-30,26.6,26.84,26.25,26.38,508500
2018-04-02,25.5,25.5,25.07,25.07,2821000
2018-04-03,24.6,25.52,24.51,25.5,7333500
2018-04-04,25.44,26.39,25.11,25.97,3215500
2018-04-05,26.44,27.0,25.6,26.88,2408500
2018-04-06,27.0,27.0,26.01,26.82,832500
2018-04-09,26.82,27.0,25.7,25.96,518000
2018-04-10,25.9,26.18,24.8,25.12,2156500
2018-04-11,25.16,25.7,25.16,25.5,658500
2018-04-12,25.51,25.69,25.4,25.51,2162500
2018-04-13,25.3,25.52,25.3,25.5,690500
2018-04-16,25.5,25.5,25.26,25.36,75500
2018-04-17,25.5,25.62,25.0,25.23,564500
2018-04-18,25.48,25.5,25.15,25.3,97000
2018-04-19,25.02,25.8,24.9,25.35,1091500
2018-04-20,25.35,26.02,25.35,25.68,531000
2018-04-23,25.5,25.65,25.26,25.48,341000
2018-04-24,25.5,25.7,25.5,25.55,131000
2018-04-25,25.55,25.65,25.39,25.4,536000
2018-04-26,25.5,25.51,25.3,25.45,4637500
2018-04-27,25.0,25.7,25.0,25.43,299500
2018-04-30,25.11,25.5,25.05,25.06,941000
2018-05-02,25.48,26.0,24.61,24.73,973500
2018-05-03,24.71,25.24,24.35,24.69,204500
2018-05-04,24.4,24.7,24.4,24.56,322000
2018-05-07,24.5,25.0,24.5,24.77,119000
2018-05-08,24.56,24.88,24.45,24.6,444000
