Date,Open,High,Low,Close,Volume
2018-01-01,25.0,25.1,23.91,24.82,3081500
2018-01-02,24.51,26.06,24.15,26.06,10627500
2018-01-03,26.39,26.77,25.61,26.04,9397500
2018-01-04,26.0,27.34,25.66,26.83,10085500
2018-01-05,26.9,27.94,26.55,27.76,5989500
2018-01-08,27.98,28.13,26.91,27.16,8989000
2018-01-09,27.07,27.28,26.45,26.99,4495500
2018-01-10,26.95,27.87,26.8,27.67,9864000
2018-01-11,27.67,28.65,27.45,28.03,16896000
2018-01-12,28.0,28.0,26.72,26.93,7428000
2018-01-15,26.76,26.9,26.22,26.35,2601500
2018-01-16,26.8,27.3,26.32,26.49,5871500
2018-01-17,26.5,27.35,26.31,27.19,5532000
2018-01-18,27.59,27.94,26.81,27.01,6877500
2018-01-19,27.4,28.2,27.2,27.91,7985500
2018-01-22,28.4,29.15,27.9,29.06,10516500
2018-01-23,29.15,29.3,28.5,28.79,6976500
2018-01-24,29.15,30.22,29.1,30.16,18686500
2018-01-25,30.5,30.7,29.75,30.0,4848500
2018-01-26,29.85,29.95,29.15,29.69,5112000
2018-01-29,29.25,29.86,28.91,29.14,2699500
2018-01-30,29.19,29.4,28.8,28.94,1659000
2018-01-31,29.25,29.46,28.95,29.05,2449000
2018-02-01,29.43,29.55,29.2,29.35,5437500
2018-02-02,29.49,29.69,28.5,28.6,8125500
2018-02-06,28.5,28.65,28.0,28.53,2716000
2018-02-07,29.0,29.23,28.81,29.0,4308500
2018-02-08,29.15,29.19,27.74,28.14,4004500
2018-02-09,28.11,28.15,27.32,27.77,6563000
2018-02-12,27.65,28.15,27.61,27.94,1086000
2018-02-13,28.2,28.45,27.81,27.95,1953000
2018-02-14,27.9,28.0,26.8,26.94,4681000
2018-02-15,26.99,27.1,25.84,26.3,2689000
2018-02-16,26.5,26.75,26.2,26.49,1306000
2018-02-19,26.25,27.05,25.49,25.65,3505500
2018-02-20,25.54,25.61,24.71,25.47,4961000
2018-02-21,25.8,26.0,25.2,25.3,1919000
2018-02-22,24.9,25.4,24.06,25.3,3443000
2018-02-23,25.14,25.54,24.31,24.78,6283500
2018-02-26,25.09,25.13,24.15,24.22,2498000
2018-02-27,24.11,24.67,24.03,24.55,2052500
2018-02-28,24.6,25.05,24.21,24.96,2573000
2018-03-01,25.05,26.2,25.05,26.2,9749000
2018-03-02,26.8,27.51,26.8,27.51,6717000
2018-03-05,28.4,28.65,27.9,28.57,7568000
2018-03-06,28.9,29.98,28.73,28.96,12148500
2018-03-07,29.23,29.25,27.66,28.02,5105000
2018-03-08,27.76,28.28,27.48,27.7,7187500
2018-03-09,27.65,28.0,27.03,27.26,1300000
2018-03-12,27.48,28.19,27.1,28.1,2109500
2018-03-13,28.1,28.51,27.75,28.25,3419500
2018-03-14,28.4,28.4,27.4,27.58,4800500
2018-03-15,27.57,27.8,27.35,27.57,1003500
2018-03-16,27.47,27.65,27.1,27.21,1420500
2018-03-19,27.24,27.6,27.19,27.38,912000
2018-03-20,27.38,28.45,27.35,27.75,6600000
2018-03-21,27.8,28.0,27.5,27.65,2804500
2018-03-22,27.75,28.8,27.7,28.27,8158000
2018-03-26,28.12,28.49,27.85,28.37,3575500
2018-03-27,28.37,28.84,28.12,28.23,4622000
2018-03-28,28.25,29.29,28.17,29.15,13962500
2018-03-29,29.16,29.75,29.0,29.38,9518500
2018-03-30,29.47,29.47,28.94,29.25,6475000
2018-04-02,29.89,30.71,29.89,30.66,21382000
2018-04-03,30.67,31.7,30.25,31.47,15932500
2018-04-04,31.56,31.79,30.4,30.73,8150000
2018-04-05,31.1,31.38,30.5,30.72,7243500
2018-04-06,31.05,31.6,30.65,31.22,10670500
2018-04-09,31.45,32.52,31.45,31.87,18498500
2018-04-10,31.99,32.0,31.21,31.5,4540500
2018-04-11,31.5,31.7,30.5,30.7,6042500
2018-04-12,30.55,30.85,29.92,30.27,4969500
2018-04-13,30.44,30.44,29.46,29.6,7747500
2018-04-16,29.56,29.94,28.9,29.0,4537500
2018-04-17,29.0,30.1,28.95,29.79,7752000
2018-04-18,30.26,30.47,29.5,29.59,8398500
2018-04-19,29.64,29.7,28.12,28.18,13296000
2018-04-20,28.48,28.55,27.9,28.0,3671500
2018-04-23,28.23,28.35,27.81,28.07,3761000
2018-04-24,28.25,28.84,28.21,28.64,5879500
2018-04-25,28.7,28.83,28.26,28.33,1676000
2018-04-26,28.29,28.65,27.85,27.96,5148000
2018-04-27,28.0,28.17,27.56,27.68,4848500
2018-04-30,28.0,28.35,27.65,28.19,3142000
2018-05-02,28.2,28.55,28.0,28.29,1841500
2018-05-03,28.48,28.65,27.98,28.37,5491500
2018-05-04,28.55,28.65,28.11,28.19,4187000
2018-05-07,28.3,28.6,28.01,28.08,3139500
2018-05-08,28.12,28.19,27.51,27.79,5616500
2018-05-09,26.99,27.1,26.05,26.6,5437000
2018-05-10,26.6,27.65,26.16,27.26,9769500
2018-05-11,27.59,28.17,26.72,26.96,11468500
2018-05-14,26.75,26.79,25.62,25.63,8225000
2018-05-15,25.6,26.25,24.41,25.79,16856000
2018-05-16,25.72,26.19,25.4,25.51,1320500
2018-05-17,25.45,25.5,24.8,24.93,1304000
2018-05-18,24.7,25.15,23.95,24.31,3012500
2018-05-21,24.3,24.97,24.27,24.61,6045000
2018-05-22,24.71,25.84,24.5,25.71,13961000
2018-05-23,25.85,25.9,25.21,25.6,6909500
2018-05-24,25.42,25.65,25.0,25.04,1879000
2018-05-25,25.14,25.3,24.5,24.53,5733500
2018-05-28,24.62,25.45,24.15,24.75,3444000
2018-05-29,24.75,25.44,24.56,25.27,4004000
2018-05-30,25.27,25.49,24.82,25.23,2414500
2018-05-31,25.27,25.5,24.92,25.11,2502500
2018-06-01,25.2,25.2,24.9,25.0,588500
2018-06-04,24.8,25.33,24.8,25.22,1787000
2018-06-05,25.25,26.15,25.25,25.97,10063500
2018-06-06,26.15,26.2,25.65,25.72,3288000
2018-06-07,25.75,26.15,25.4,25.49,4356500
2018-06-11,25.5,25.69,24.84,24.94,5829000
2018-06-12,24.7,24.93,23.7,23.71,9941000
2018-06-13,23.7,24.3,23.61,23.82,2418000
2018-06-14,23.85,24.29,23.5,23.75,2785000
2018-06-19,23.99,24.4,23.9,24.26,2036000
2018-06-20,24.26,24.3,23.7,23.85,2034500
2018-06-21,23.52,24.1,23.26,23.79,5495000
2018-06-22,23.98,24.15,23.0,23.12,4284500
2018-06-25,22.86,23.6,21.97,21.99,6106000
2018-06-26,21.7,22.9,21.7,22.62,4990500
2018-06-27,22.66,23.12,22.61,22.92,5553000
2018-06-28,22.81,23.7,22.75,23.29,4765000
2018-06-29,23.22,23.55,22.6,22.85,6838000
2018-07-02,23.08,23.47,22.9,23.31,2274000
2018-07-03,23.21,23.9,23.2,23.57,3073000
2018-07-04,23.4,23.4,22.4,22.4,4036000
2018-07-05,22.69,22.97,22.0,22.4,3601500
2018-07-06,22.06,22.8,21.8,22.44,3131000
2018-07-09,22.85,22.85,21.32,21.32,3521000
2018-07-10,21.35,21.4,20.31,21.19,15246500
2018-07-11,21.15,21.47,20.82,21.0,5174500
2018-07-12,20.91,20.92,20.5,20.6,5204000
2018-07-13,20.41,20.85,20.11,20.22,2833500
2018-07-16,20.2,20.33,19.21,19.24,10467000
2018-07-17,19.4,20.15,18.85,20.04,17741500
2018-07-18,20.19,20.98,20.06,20.93,10021000
2018-07-19,21.25,21.97,21.15,21.96,11994500
2018-07-20,22.1,22.1,21.25,21.37,5471500
2018-07-23,21.1,21.4,20.8,20.92,2155500
2018-07-24,20.9,21.96,20.9,21.95,4968500
2018-07-26,22.89,23.04,22.25,22.99,5791000
2018-07-27,23.25,24.13,23.0,24.13,12304000
2018-07-30,24.84,25.33,24.7,25.33,9916500
2018-07-31,25.8,25.8,24.07,24.23,17085500
2018-08-01,24.2,25.44,24.2,25.21,11253500
2018-08-02,25.55,25.73,24.53,24.74,10181000
2018-08-03,24.88,25.05,24.5,24.67,3006500
2018-08-06,24.77,25.09,24.59,24.96,4025000
2018-08-07,25.0,26.2,24.81,25.96,16103000
2018-08-08,26.1,26.2,25.4,25.56,6948000
2018-08-09,25.65,26.54,25.61,26.43,7895500
2018-08-10,26.6,26.68,25.8,25.89,6471500
2018-08-13,25.8,26.0,25.41,25.56,2897500
2018-08-15,25.65,25.87,25.06,25.27,4234500
2018-08-16,25.11,25.3,24.3,24.42,3214000
2018-08-17,24.5,25.64,24.5,25.62,4634000
2018-08-20,26.01,26.29,25.75,25.92,4366500
2018-08-24,25.95,26.04,25.7,25.86,1561000
2018-08-27,25.85,26.54,25.5,26.26,10104500
2018-08-28,26.24,26.25,25.6,25.65,3569000
2018-08-29,25.9,25.9,25.16,25.24,3666000
2018-08-30,25.59,25.59,24.93,25.01,6283500
2018-08-31,25.12,25.23,24.4,24.62,4494000
2018-09-03,24.51,25.1,24.0,24.97,3830000
2018-09-04,25.09,25.43,25.0,25.25,3434500
2018-09-05,25.11,25.6,24.75,24.9,2656500
2018-09-06,24.9,24.9,23.9,24.24,3282500
2018-09-07,24.2,25.44,23.9,24.51,13943000
2018-09-10,24.7,24.75,23.9,24.29,5054000
2018-09-11,24.5,24.9,24.49,24.57,3736000
2018-09-12,24.64,24.71,24.2,24.34,1403500
2018-09-13,24.25,24.9,24.11,24.56,4350500
2018-09-14,24.7,24.99,24.39,24.51,3537000
2018-09-17,24.49,24.55,23.71,24.11,2850000
2018-09-18,23.47,24.24,22.76,24.2,4211000
2018-09-19,24.19,24.5,23.85,24.37,3651500
2018-09-24,24.39,24.49,23.16,23.19,2452000
2018-09-25,23.37,23.59,22.73,23.14,1987500
2018-09-26,23.25,23.58,23.0,23.18,2041000
2018-09-27,23.11,23.27,22.03,22.76,1980000
2018-09-28,22.8,23.15,22.25,22.36,2816000
2018-10-01,22.15,22.37,21.96,22.05,1138000
2018-10-02,22.25,22.65,21.92,22.25,1971500
2018-10-03,22.25,22.56,22.14,22.51,776500
2018-10-04,22.3,22.4,22.1,22.2,1883000
2018-10-05,22.02,22.1,21.09,21.19,4262500
2018-10-08,21.3,21.35,20.14,20.21,5590000
2018-10-09,20.6,21.2,19.87,19.99,2495000
2018-10-10,20.0,20.99,19.3,20.58,4433000
2018-10-11,20.49,21.0,20.02,20.27,2353500
2018-10-12,20.15,20.99,19.6,19.92,1963000
2018-10-15,19.8,20.17,19.4,19.67,2522000
2018-10-16,19.71,20.35,19.45,19.53,1858500
2018-10-17,19.71,20.53,19.71,20.53,2601000
2018-10-18,21.2,21.55,20.7,21.55,5065000
2018-10-19,21.79,22.62,21.45,22.62,4044500
2018-10-22,23.1,23.65,21.9,22.15,11059000
2018-10-23,22.01,22.1,21.05,21.1,4390000
2018-10-24,22.0,22.15,22.0,22.15,1994000
2018-10-25,23.2,23.25,22.6,23.18,12963500
2018-10-26,23.0,24.33,22.6,24.33,6597000
2018-10-29,25.1,25.54,25.0,25.54,14643500
2018-10-30,25.6,26.52,25.0,26.09,16368000
2018-10-31,25.9,26.9,25.5,26.25,11464000
2018-11-01,25.8,26.6,25.5,26.26,4297000
2018-11-02,26.1,27.25,26.1,26.83,11914000
2018-11-05,26.66,26.66,25.49,25.55,8102000
2018-11-06,25.21,25.49,24.42,25.03,6509000
2018-11-07,25.7,26.18,25.2,25.85,8884500
2018-11-08,25.94,25.98,25.14,25.21,3124000
2018-11-09,24.81,26.05,24.81,25.54,5183000
2018-11-12,25.31,25.79,25.1,25.17,1377500
2018-11-13,25.0,25.55,24.81,25.4,1840000
2018-11-14,25.25,26.35,25.01,25.75,8595000
2018-11-15,25.6,26.2,25.6,25.77,5932000
2018-11-16,26.0,26.1,25.35,25.44,4970500
2018-11-19,25.49,25.9,25.0,25.16,2845500
2018-11-20,25.25,25.4,24.9,24.96,2285500
2018-11-22,24.81,25.3,24.6,24.72,1873000
2018-11-23,24.53,25.3,24.53,25.15,2594000
2018-11-26,25.25,25.4,24.8,24.85,3081000
2018-11-27,24.99,25.0,24.5,24.81,1311500
2018-11-28,24.95,25.05,24.32,24.39,4756500
2018-11-29,24.5,24.5,23.62,23.9,3786000
2018-11-30,23.8,23.89,22.71,22.71,16466000
2018-12-03,21.65,21.99,21.58,21.58,4720500
2018-12-04,21.39,22.65,20.52,22.54,7005000
2018-12-05,22.55,22.8,21.6,22.48,2972500
2018-12-06,22.32,22.89,21.8,22.0,3503000
2018-12-07,21.9,22.84,21.65,22.67,2555500
2018-12-10,23.01,23.29,22.75,22.89,3929500
2018-12-11,22.99,23.26,22.64,22.83,4243000
2018-12-12,22.71,22.85,22.4,22.61,1484500
2018-12-13,22.32,22.7,22.03,22.22,1081000
2018-12-14,22.25,22.89,22.23,22.57,2023000
2018-12-17,22.53,22.7,22.3,22.46,507000
2018-12-18,22.25,22.49,22.11,22.32,475000
2018-12-19,22.12,22.55,22.1,22.19,895000
2018-12-20,22.27,22.79,22.2,22.56,2052000
2018-12-21,22.36,23.0,22.2,22.38,2253500
2018-12-24,22.21,22.4,21.85,22.21,1514000
2018-12-26,22.45,22.45,22.15,22.2,1722000
2018-12-27,22.4,22.4,21.56,21.7,1388500
2018-12-28,21.54,21.54,20.66,20.74,2930500
2018-12-31,20.75,21.28,20.22,20.93,4347500
2019-01-01,20.8,21.6,20.8,21.49,2447500
2019-01-02,21.32,22.1,21.05,21.27,5780500
2019-01-03,21.2,21.52,20.85,21.09,2057500
2019-01-04,21.24,21.54,20.99,21.08,1162000
2019-01-07,21.2,21.83,21.18,21.66,4452500
2019-01-08,21.72,22.25,21.6,21.97,5619000
2019-01-09,22.18,22.2,21.63,21.75,2697500
2019-01-10,21.95,21.97,21.5,21.52,1103000
2019-01-11,21.52,21.74,21.01,21.42,1459500
2019-01-14,21.52,21.93,21.52,21.79,1563000
2019-01-15,21.82,21.82,21.42,21.67,1929500
2019-01-16,21.7,21.7,21.0,21.09,1462000
2019-01-17,21.05,21.35,20.72,21.16,1442500
2019-01-18,21.01,21.25,20.8,21.01,2508000
2019-01-21,21.0,21.2,20.67,20.74,1243500
2019-01-22,20.7,21.08,20.41,20.99,2021000
2019-01-23,21.14,21.19,20.91,20.99,1751500
2019-01-24,21.75,21.8,21.25,21.31,3294000
2019-01-25,21.35,21.35,20.87,20.93,1114500
2019-01-28,21.0,21.16,20.9,21.06,2055000
2019-01-29,21.15,21.43,20.9,21.04,2213000
2019-01-30,21.14,21.23,20.92,21.06,747000
2019-01-31,20.96,21.28,20.96,21.14,2507000
2019-02-01,21.04,21.35,21.04,21.19,2563000
2019-02-04,21.29,22.24,21.29,22.24,7658000
2019-02-06,23.0,23.35,22.65,22.77,17542000
2019-02-07,22.78,22.81,22.3,22.52,3105000
2019-02-08,22.64,23.09,22.53,22.65,3995000
2019-02-11,22.99,23.05,22.25,22.35,2091000
2019-02-12,22.3,23.03,22.3,22.94,4879500
2019-02-13,23.09,23.6,23.09,23.32,13100500
2019-02-14,23.17,23.19,22.42,22.51,5874000
2019-02-15,22.51,22.84,22.44,22.63,1280500
2019-02-18,22.8,22.8,21.9,22.41,4180500
2019-02-19,22.4,22.6,21.95,22.0,3144000
2019-02-20,21.8,22.6,21.59,22.5,4117500
2019-02-21,22.67,22.7,22.28,22.47,2240500
2019-02-22,22.31,22.6,22.3,22.44,2201500
2019-02-25,22.46,22.47,22.2,22.29,1152500
2019-02-26,22.0,22.19,21.26,21.35,3040500
2019-02-27,20.9,21.25,20.29,20.78,12127500
2019-02-28,21.0,21.35,20.4,21.25,6178000
2019-03-01,21.3,21.55,21.1,21.2,2879000
2019-03-04,21.22,21.45,20.95,21.19,1541500
2019-03-05,21.29,21.34,20.98,21.05,2297000
2019-03-06,21.35,21.65,21.2,21.46,3390500
2019-03-07,21.75,21.9,21.3,21.35,2703000
2019-03-08,21.35,21.35,20.98,21.06,2016000
2019-03-11,21.3,21.42,21.13,21.24,1638000
2019-03-12,21.4,21.7,21.21,21.59,4538500
2019-03-13,21.07,21.15,20.72,20.8,1833000
2019-03-14,20.8,20.85,20.45,20.51,898000
2019-03-15,20.45,20.6,19.8,20.09,1747500
2019-03-18,20.3,20.64,19.71,20.54,1811000
2019-03-19,20.5,20.5,19.9,19.97,1270500
2019-03-20,20.0,20.3,19.9,20.03,1038000
2019-03-21,20.19,20.33,19.7,20.07,1593500
2019-03-22,20.19,20.3,19.87,19.96,1388500
2019-03-25,20.01,20.19,19.7,19.78,634500
2019-03-26,19.85,19.85,19.13,19.29,3682000
2019-03-27,19.3,20.16,19.26,20.0,4174500
2019-03-28,19.71,19.78,19.3,19.35,2042500
2019-03-29,19.3,20.25,19.19,19.96,4903000
2019-04-01,19.95,20.1,19.6,19.67,1988500
2019-04-02,19.84,19.98,19.15,19.25,3409000
2019-04-03,19.49,20.25,19.25,20.11,8406000
2019-04-04,20.27,20.37,19.46,19.54,2744500
2019-04-05,19.5,19.8,19.38,19.48,1342500
2019-04-08,19.41,19.45,18.48,18.48,9510000
2019-04-09,18.15,18.67,17.48,17.8,11368000
2019-04-10,17.72,17.95,16.8,16.8,4660000
2019-04-11,16.5,17.19,16.0,16.24,11563500
2019-04-12,16.16,17.24,16.16,17.24,9177000
2019-04-15,17.43,18.14,17.41,17.93,11794000
2019-04-16,17.75,18.42,17.75,18.0,6111000
2019-04-17,17.9,17.95,17.52,17.57,4890500
2019-04-18,17.75,17.98,17.0,17.33,8076000
2019-04-19,17.35,18.18,17.25,17.65,3990000
2019-04-22,17.76,18.1,17.38,17.62,2507000
2019-04-23,17.62,17.62,16.9,17.06,3995000
2019-04-24,17.02,17.64,17.0,17.22,1660000
2019-04-25,17.38,17.65,17.21,17.51,1248500
2019-04-26,17.5,18.51,17.5,18.49,5746000
2019-04-29,18.78,19.49,18.32,18.53,10272000
2019-04-30,18.3,18.3,17.9,18.03,2884000
2019-05-02,18.22,18.44,18.08,18.13,2315500
2019-05-03,18.2,18.2,17.8,17.85,3172500
2019-05-06,17.61,18.0,17.6,17.75,3292000
2019-05-07,17.8,18.05,17.42,17.56,978000
2019-05-08,17.67,17.7,16.75,17.01,2528500
2019-05-09,17.0,17.84,16.95,17.59,1317000
2019-05-10,17.5,17.5,17.2,17.26,209500
2019-05-13,17.79,17.87,16.41,16.58,3617000
2019-05-14,16.75,16.8,16.05,16.37,3652000
2019-05-15,16.23,17.24,16.23,16.86,1659000
2019-05-16,16.9,16.9,16.11,16.21,1278000
2019-05-17,16.01,16.02,15.21,15.21,1632500
2019-05-20,15.0,15.6,14.21,15.36,4734500
2019-05-21,15.3,15.75,14.55,15.48,4712500
2019-05-22,15.78,16.48,15.51,16.48,3506000
2019-05-23,17.0,17.48,16.46,17.48,4787000
2019-05-24,17.64,18.22,17.25,18.11,3746500
2019-05-27,18.4,18.4,17.62,17.74,1801500
2019-05-28,17.7,17.77,16.74,16.82,12032500
2019-05-29,17.02,17.82,16.9,17.6,11837500
