Date,Open,High,Low,Close,Volume
2018-01-01,79.2,79.4,78.4,79.05,476000
2018-01-02,79.25,81.25,78.8,80.63,2578000
2018-01-03,80.61,80.9,80.0,80.46,2501500
2018-01-04,80.6,82.19,80.6,81.61,3450000
2018-01-05,81.5,85.1,81.1,84.58,1815500
2018-01-08,84.55,88.8,84.5,88.8,3963500
2018-01-09,90.01,93.24,89.0,90.22,6602500
2018-01-10,90.04,92.2,89.75,91.95,2537000
2018-01-11,91.9,91.9,89.85,90.26,1145500
2018-01-12,90.0,91.0,89.0,90.52,931500
2018-01-15,90.25,90.25,87.0,87.51,1548000
2018-01-16,87.55,90.4,87.5,89.06,967500
2018-01-17,89.0,90.0,87.75,89.83,890000
2018-01-18,90.2,91.2,89.36,90.3,1337000
2018-01-19,90.5,91.5,89.75,90.71,1043000
2018-01-22,90.95,92.0,89.8,91.88,1389000
2018-01-23,92.0,92.2,90.6,91.25,1398500
2018-01-24,91.25,91.75,88.8,89.07,1698000
2018-01-25,89.25,89.48,87.6,87.96,523000
2018-01-26,88.25,88.62,86.91,87.73,892500
2018-01-29,87.97,87.97,85.5,85.66,981000
2018-01-30,85.95,89.48,85.95,87.69,1820000
2018-01-31,88.85,92.07,88.5,90.42,3003000
2018-02-01,90.7,90.7,89.57,89.73,597500
2018-02-02,89.9,90.0,89.01,89.12,1074500
2018-02-06,89.12,89.35,87.7,89.12,423000
2018-02-07,89.5,90.5,89.3,89.7,914000
2018-02-08,89.53,90.0,88.35,88.72,374500
2018-02-09,88.3,88.75,88.0,88.46,343000
2018-02-12,88.74,88.85,87.5,87.74,428000
2018-02-13,88.3,88.8,88.0,88.72,342000
2018-02-14,88.31,88.7,87.5,87.79,543500
2018-02-15,88.0,88.0,86.3,86.42,364000
2018-02-16,86.3,87.25,86.15,86.77,316000
2018-02-19,86.77,87.0,86.2,86.46,318500
2018-02-20,86.5,86.96,85.0,85.78,908500
2018-02-21,86.5,87.05,85.25,85.9,471000
2018-02-22,86.01,87.25,85.01,87.05,335000
2018-02-23,87.0,87.99,86.5,86.91,374000
2018-02-26,86.66,87.15,86.1,86.87,243000
2018-02-27,86.51,87.52,86.5,87.38,259000
2018-02-28,87.49,89.0,87.35,88.67,475500
2018-03-01,89.0,89.89,88.81,89.64,584500
2018-03-02,89.89,91.0,89.4,90.54,2577500
2018-03-05,88.0,88.0,87.06,87.11,516000
2018-03-06,87.2,87.5,86.3,86.48,337500
2018-03-07,86.3,86.74,86.0,86.05,416000
2018-03-08,86.1,86.1,85.0,85.3,662000
2018-03-09,85.25,86.49,85.11,86.02,175500
2018-03-12,86.25,87.0,86.0,86.27,220000
2018-03-13,86.25,86.9,86.12,86.51,445500
2018-03-14,86.6,86.75,85.75,85.99,243000
2018-03-15,86.0,86.33,85.0,85.59,482000
2018-03-16,85.31,85.5,84.0,84.52,1139500
2018-03-19,84.64,85.0,84.35,84.61,272000
2018-03-20,84.75,86.4,84.75,85.84,415500
2018-03-21,86.1,86.97,86.05,86.2,362500
2018-03-22,86.49,88.6,86.45,88.26,1106500
2018-03-26,88.2,89.7,88.01,89.21,2062500
2018-03-27,89.12,89.9,88.98,89.4,5437000
2018-03-28,89.41,92.7,89.41,92.06,6772500
2018-03-29,92.5,95.45,92.5,93.56,3259000
2018-03-30,93.75,94.5,93.25,94.05,617500
2018-04-02,93.75,94.9,93.25,93.59,566500
2018-04-03,93.75,97.7,93.1,96.94,3799000
2018-04-04,98.0,99.49,96.75,98.24,3930000
2018-04-05,98.5,99.0,97.05,97.37,1347500
2018-04-06,97.6,99.74,95.75,96.55,1837000
2018-04-09,96.3,101.0,96.3,100.25,3590500
2018-04-10,101.99,102.5,100.61,100.76,1812500
2018-04-11,101.0,102.85,100.5,102.02,4734500
2018-04-12,102.24,102.24,99.35,100.11,3163000
2018-04-13,100.25,101.36,99.6,99.9,2576000
2018-04-16,99.1,99.5,95.9,96.26,1255000
2018-04-17,95.6,96.49,95.24,96.18,799000
2018-04-18,96.5,97.47,95.5,95.85,688000
