Date,Open,High,Low,Close,Volume
2018-01-01,16.22,16.59,16.22,16.45,206000
2018-01-02,16.33,16.8,16.2,16.51,1079000
2018-01-03,16.31,17.11,16.31,16.88,1438500
2018-01-04,16.95,17.38,16.73,17.08,1660500
2018-01-05,17.29,17.5,16.85,17.17,1475000
2018-01-08,17.35,17.65,17.15,17.3,2274000
2018-01-09,17.21,17.45,17.0,17.02,1058500
2018-01-10,17.05,17.38,17.05,17.28,2018000
2018-01-11,17.32,17.55,16.88,16.95,1996000
2018-01-12,17.0,17.1,16.4,16.59,1285000
2018-01-15,16.51,16.51,15.7,15.81,1246000
2018-01-16,15.61,16.25,15.61,16.03,863500
2018-01-17,16.15,17.03,15.95,16.94,2024000
2018-01-18,17.5,17.94,17.49,17.94,7063000
2018-01-19,18.1,18.94,18.1,18.94,4336000
2018-01-22,19.75,19.94,19.26,19.94,4545000
2018-01-23,20.4,20.94,19.9,20.94,5984000
2018-01-24,21.7,21.98,21.4,21.98,5735000
2018-01-25,22.5,22.55,20.89,21.16,9773500
2018-01-26,20.52,20.7,20.11,20.11,7903500
2018-01-29,19.11,19.11,19.11,19.11,95000
2018-01-30,19.0,20.11,18.62,19.98,25291500
2018-01-31,20.3,20.98,20.3,20.98,13619500
2018-02-01,21.4,21.59,20.05,20.2,13148500
2018-02-02,20.49,21.19,20.22,20.71,8943000
2018-02-06,20.49,21.19,19.85,20.93,7202500
2018-02-07,21.75,21.97,21.48,21.97,9270500
2018-02-08,22.88,23.06,22.42,23.06,16151000
2018-02-09,23.2,24.21,22.51,24.21,14929000
2018-02-12,24.2,25.42,24.2,25.42,4178500
2018-02-13,26.6,26.69,26.6,26.69,1521500
2018-02-14,27.64,27.64,25.36,25.36,11407000
2018-02-15,24.5,26.37,24.11,25.46,14049000
2018-02-16,25.94,26.33,25.5,26.14,5628500
2018-02-19,27.44,27.44,26.9,27.44,9804500
2018-02-20,27.6,28.24,27.01,27.57,8187000
2018-02-21,27.95,28.7,27.32,27.48,7098000
2018-02-22,26.95,27.25,26.55,26.7,7333000
2018-02-23,26.79,26.79,25.37,25.37,7822500
2018-02-26,25.4,26.63,24.5,26.25,11518000
2018-02-27,26.19,27.1,25.85,26.29,6895000
2018-02-28,26.6,26.7,26.12,26.19,2035000
2018-03-01,26.3,26.6,26.0,26.22,3101500
2018-03-02,26.2,27.18,26.2,26.7,7521500
2018-03-05,26.85,27.45,26.35,27.18,6047000
2018-03-06,27.4,27.5,26.63,26.84,4711000
2018-03-07,26.97,27.33,26.75,26.84,3848000
2018-03-08,27.09,27.09,26.31,26.47,2816500
2018-03-09,26.15,26.74,26.02,26.3,2969000
2018-03-12,26.3,26.5,25.91,26.14,1287500
2018-03-13,26.23,27.44,26.23,27.28,4894500
2018-03-14,27.69,28.64,27.65,28.64,12804500
2018-03-15,28.8,29.87,28.3,29.39,11467000
2018-03-16,29.18,29.4,28.45,28.74,3053000
2018-03-19,28.69,30.17,28.25,29.74,6045500
2018-03-20,30.34,31.22,30.34,31.22,5894000
2018-03-21,32.78,32.78,32.0,32.78,4617000
2018-03-22,33.75,34.41,33.0,34.22,12522500
2018-03-26,34.7,35.93,33.7,35.73,10079000
2018-03-27,36.26,37.51,33.95,34.94,16072500
2018-03-28,35.44,36.68,34.6,36.61,9063000
2018-03-29,37.0,38.44,36.9,38.34,7898000
2018-03-30,39.0,40.0,38.38,39.17,8360000
2018-04-02,39.2,39.4,37.3,37.63,8247000
2018-04-03,37.58,37.58,35.85,36.09,7722000
2018-04-04,36.0,37.65,35.65,36.63,7467500
2018-04-05,36.7,37.2,36.5,36.57,2270500
2018-04-06,36.71,38.39,36.5,38.39,9090500
2018-04-09,39.1,39.99,38.05,39.45,11734500
2018-04-10,40.0,40.95,39.3,40.57,9345500
2018-04-11,41.15,41.98,41.1,41.75,8555000
2018-04-12,41.79,41.9,39.68,40.21,7455500
2018-04-13,39.52,41.3,39.12,40.59,10592000
2018-04-16,40.8,40.87,39.1,39.52,4320000
2018-04-17,39.21,39.9,38.95,39.1,3685500
2018-04-18,39.41,40.48,39.1,39.3,5566000
2018-04-19,39.45,39.49,37.34,37.34,5040500
2018-04-20,37.35,38.4,36.1,36.41,6876000
2018-04-23,36.21,38.11,36.0,37.58,7544500
2018-04-24,38.15,39.45,38.0,39.45,8170500
2018-04-25,39.6,40.18,38.7,39.0,7465500
2018-04-26,38.8,39.18,37.05,37.28,4073500
2018-04-27,37.1,38.25,36.55,37.42,3652500
2018-04-30,38.09,38.48,37.12,37.32,2531000
2018-05-02,37.5,37.8,36.6,36.88,1736000
2018-05-03,36.75,36.9,35.04,35.13,3280000
2018-05-04,35.3,35.45,33.45,33.8,6343500
2018-05-07,33.85,35.49,33.55,35.49,3095000
2018-05-08,36.4,37.25,35.4,35.92,6120500
2018-05-09,35.96,36.4,34.13,35.19,3923000
2018-05-10,34.65,35.48,34.45,34.56,2005000
2018-05-11,34.6,35.1,34.02,34.21,2043000
2018-05-14,33.75,33.9,32.5,32.5,2550000
2018-05-15,32.0,32.99,30.91,32.18,4962500
2018-05-16,32.01,33.19,31.5,32.02,3212500
2018-05-17,31.62,31.99,30.42,30.44,1162000
2018-05-18,30.4,30.4,28.92,28.92,3374000
