Date,Open,High,Low,Close,Volume
2018-01-01,207.9,209.99,207.9,209.06,2000
2018-01-02,208.0,213.49,205.0,208.57,6700
2018-01-03,210.0,211.0,210.0,211.0,1700
2018-01-04,211.0,212.5,211.0,211.5,600
2018-01-05,213.0,218.5,213.0,217.9,10700
2018-01-08,220.0,224.0,213.05,223.0,11700
2018-01-09,223.0,225.0,215.0,223.95,1300
2018-01-10,225.0,225.0,217.0,221.94,14100
2018-01-11,222.0,222.0,222.0,222.0,600
2018-01-12,217.0,221.0,217.0,219.0,200
2018-01-16,212.5,216.0,212.5,214.0,500
2018-01-17,215.0,224.7,215.0,224.7,29000
2018-01-18,223.0,225.7,223.0,224.82,7900
2018-01-19,231.0,231.0,228.9,229.95,200
2018-01-22,228.0,234.7,226.1,229.7,9600
2018-01-23,220.2,228.69,220.0,222.0,3800
2018-01-24,225.0,227.0,225.0,226.01,6500
2018-01-25,225.05,227.0,225.0,225.0,28300
2018-01-26,225.0,226.0,222.0,224.6,17700
2018-01-29,215.0,232.0,215.0,224.38,36700
2018-01-30,229.0,229.0,218.0,219.33,10500
2018-01-31,218.0,222.75,216.0,222.56,25700
2018-02-01,222.5,226.8,222.5,225.62,13800
2018-02-02,225.0,227.5,225.0,225.0,3600
2018-02-06,220.0,222.0,217.05,219.03,7500
2018-02-07,222.0,222.5,220.1,222.0,1400
2018-02-08,222.0,224.0,217.0,223.75,6000
2018-02-09,223.0,223.5,220.25,223.48,17900
2018-02-12,224.0,224.0,220.0,222.13,9000
2018-02-14,217.01,222.99,217.01,219.33,4000
2018-02-15,216.25,218.75,215.2,215.47,6600
2018-02-16,216.15,218.0,215.0,215.51,5400
2018-02-19,215.0,222.0,215.0,221.0,27200
2018-02-20,221.0,223.0,220.0,220.08,13800
2018-02-21,222.0,228.0,222.0,227.96,8800
2018-02-22,226.01,231.5,226.0,231.0,20600
2018-02-23,234.0,236.0,230.01,234.66,54500
2018-02-26,235.0,235.0,228.0,230.25,30700
2018-02-27,228.05,229.99,226.01,228.35,20600
2018-02-28,230.0,230.0,226.0,226.08,10000
2018-03-01,230.0,230.0,225.01,226.0,9500
2018-03-02,225.1,225.1,225.01,225.01,500
2018-03-05,225.01,225.01,225.0,225.0,5500
2018-03-06,230.0,233.0,227.0,227.72,29300
2018-03-07,228.0,228.0,228.0,228.0,2500
2018-03-08,229.5,229.5,226.0,227.99,8800
2018-03-09,218.0,226.0,218.0,225.95,7000
2018-03-12,228.0,228.0,225.0,225.0,800
2018-03-13,228.0,234.0,227.5,234.0,20200
2018-03-14,229.0,233.0,229.0,229.5,1500
2018-03-15,230.0,230.0,230.0,229.5,100
2018-03-16,232.7,233.0,231.0,231.96,20400
2018-03-19,231.25,233.0,231.25,232.25,4300
2018-03-20,234.0,242.0,234.0,236.53,36600
2018-03-21,237.0,238.0,236.5,237.0,9200
2018-03-22,235.0,238.75,235.0,238.38,1500
2018-03-26,240.0,244.0,239.0,240.23,9700
2018-03-27,240.0,243.0,240.0,242.0,3300
2018-03-28,241.0,244.75,241.0,242.21,10200
2018-03-29,242.0,242.0,241.0,241.1,1000
2018-03-30,237.1,240.0,237.0,237.78,5300
