Date,Open,High,Low,Close,Volume
2018-01-01,64.0,64.5,64.0,64.5,5500
2018-01-02,65.0,67.72,64.0,65.32,77500
2018-01-03,66.01,66.75,65.75,66.54,25000
2018-01-04,69.0,69.0,66.25,67.31,20000
2018-01-05,67.0,70.67,67.0,70.07,84000
2018-01-08,72.0,73.57,72.0,73.46,85000
2018-01-09,73.0,77.13,72.0,74.34,46000
2018-01-10,74.75,77.0,74.0,74.37,68000
2018-01-11,74.5,74.55,72.8,72.89,21000
2018-01-12,72.05,72.25,69.35,69.77,30000
2018-01-15,69.5,70.0,68.0,68.2,16000
2018-01-16,68.9,69.75,68.9,68.97,21500
2018-01-17,68.5,69.25,68.5,68.63,36500
2018-01-18,69.0,70.44,67.4,67.68,125500
2018-01-19,68.5,69.87,68.35,69.04,29000
2018-01-22,68.15,70.45,68.15,70.31,53500
2018-01-23,70.5,71.72,70.25,70.87,106000
2018-01-24,71.0,72.57,71.0,72.25,91000
2018-01-25,72.0,72.0,68.65,70.46,65500
2018-01-26,71.0,71.0,70.0,70.66,21500
2018-01-29,70.95,71.25,70.5,70.88,17000
2018-01-30,71.0,71.25,70.7,70.82,30000
2018-01-31,71.0,71.2,70.9,71.0,19500
2018-02-01,71.0,71.05,70.9,71.01,16000
2018-02-02,71.05,74.56,71.0,74.18,142500
2018-02-06,74.1,74.1,70.55,72.63,36500
2018-02-07,72.0,73.25,72.0,72.4,45000
2018-02-08,72.5,73.0,71.8,72.31,39500
2018-02-09,72.5,74.9,71.5,72.9,8500
2018-02-12,72.5,72.5,70.8,71.0,18000
2018-02-13,71.5,71.5,70.7,71.01,6000
2018-02-14,70.0,70.97,70.0,70.0,10500
2018-02-15,69.61,69.61,69.0,69.13,7000
2018-02-16,70.0,70.5,70.0,70.1,13000
2018-02-19,70.15,70.3,69.5,69.5,13500
2018-02-20,69.3,69.3,68.46,68.51,10000
2018-02-21,69.25,71.1,69.25,69.53,22500
2018-02-22,69.0,70.0,68.52,69.08,20000
2018-02-23,70.0,70.0,68.5,68.53,43500
2018-02-26,70.15,71.9,67.76,68.05,121000
2018-02-27,67.5,67.6,67.0,67.28,27000
2018-02-28,67.95,68.63,67.35,68.45,25500
2018-03-01,68.5,70.15,68.2,69.14,77000
2018-03-02,69.0,69.55,69.0,69.54,6000
2018-03-05,69.15,69.59,69.05,69.48,14500
2018-03-06,69.65,69.85,69.0,69.0,11000
2018-03-07,68.75,68.95,67.97,68.25,20000
2018-03-08,68.25,69.6,68.2,68.25,52000
2018-03-09,68.0,68.0,66.0,67.0,102500
2018-03-12,66.15,66.7,66.11,66.15,8500
2018-03-13,66.15,66.74,66.05,66.07,58500
2018-03-14,66.5,67.25,66.5,66.85,46000
2018-03-15,67.0,67.0,66.45,66.49,35500
2018-03-16,66.6,66.95,66.01,66.45,8000
2018-03-19,66.8,67.7,66.8,66.9,26000
2018-03-20,66.9,67.25,66.7,66.89,34500
2018-03-21,66.1,66.25,65.18,65.71,30500
2018-03-22,66.0,66.5,65.5,65.76,19000
2018-03-26,65.95,67.8,65.95,66.57,52000
2018-03-27,66.05,66.9,66.05,66.4,31000
2018-03-28,66.05,66.9,66.01,66.41,20000
2018-03-29,66.5,66.85,66.5,66.52,16500
2018-03-30,66.84,67.0,66.0,66.05,39500
2018-04-02,66.01,66.31,65.5,66.02,53500
2018-04-03,66.0,66.0,64.0,64.08,170500
2018-04-04,64.8,67.28,64.8,66.2,376000
2018-04-05,67.49,67.75,65.55,66.5,44500
2018-04-06,66.6,67.8,65.6,66.33,53000
2018-04-09,66.0,66.08,65.7,65.94,15000
