Date,Open,High,Low,Close,Volume
2018-01-01,554.0,558.0,545.6,548.69,24100
2018-01-02,550.0,562.0,542.1,552.67,56650
2018-01-03,552.0,561.5,552.0,555.28,24250
2018-01-04,559.0,561.47,554.0,555.97,15550
2018-01-05,557.0,572.0,557.0,567.66,45150
2018-01-08,568.1,588.0,568.0,575.55,47300
2018-01-09,578.0,581.0,568.13,575.5,59750
2018-01-10,578.0,604.27,576.25,595.48,154350
2018-01-11,597.1,599.98,577.0,579.1,69350
2018-01-12,577.5,577.5,558.0,564.22,29100
2018-01-15,542.0,570.95,542.0,549.47,31200
2018-01-16,545.0,566.0,544.0,559.63,26550
2018-01-17,559.63,570.1,558.0,563.86,18400
2018-01-18,572.9,578.75,562.8,567.92,19050
2018-01-19,577.0,588.5,566.7,577.28,59450
2018-01-22,582.0,590.0,579.0,584.36,49050
2018-01-23,585.0,597.0,582.14,590.04,57700
2018-01-24,596.15,605.0,581.0,584.74,56350
2018-01-25,586.98,588.0,577.31,584.24,18850
2018-01-26,584.01,585.0,577.0,578.86,12300
2018-01-29,580.0,607.8,580.0,607.8,86700
2018-01-30,619.9,629.0,601.0,605.57,143200
2018-01-31,605.0,635.84,605.0,635.84,165700
2018-02-01,647.99,667.63,645.5,667.63,106850
2018-02-02,700.0,701.01,682.31,692.94,205150
2018-02-06,685.0,697.0,661.05,682.66,150600
2018-02-07,690.01,698.0,685.24,694.01,125950
2018-02-08,728.71,728.71,728.71,728.71,63800
2018-02-09,720.0,739.85,692.51,702.88,169650
2018-02-12,702.88,704.0,680.0,681.65,24350
2018-02-13,704.0,715.73,690.0,701.46,123100
2018-02-14,705.0,721.0,688.0,690.4,96950
2018-02-15,698.0,700.0,684.0,685.63,32300
2018-02-16,689.99,695.0,687.0,692.84,23200
2018-02-19,690.0,710.0,690.0,695.07,34350
2018-02-20,698.5,698.5,680.0,689.92,27750
2018-02-21,701.0,705.0,691.15,701.33,32900
2018-02-22,690.0,736.39,689.0,736.39,126850
2018-02-23,744.9,773.2,744.9,773.2,223900
2018-02-26,785.0,811.86,771.1,811.86,174900
2018-02-27,828.0,841.01,785.0,801.78,136500
2018-02-28,799.99,808.0,785.0,788.79,24650
2018-03-01,791.0,824.99,789.0,800.66,109900
2018-03-02,800.0,820.0,800.0,805.11,84650
2018-03-05,801.0,816.0,800.0,803.24,52650
2018-03-06,801.0,812.0,789.0,791.91,73550
2018-03-07,791.0,808.0,790.0,792.95,28200
2018-03-08,789.0,808.0,789.0,798.81,55250
2018-03-09,804.0,809.5,795.0,797.73,38850
2018-03-12,799.0,802.0,790.15,792.8,13050
2018-03-13,799.98,808.0,795.11,796.88,29000
2018-03-14,796.05,796.05,786.0,789.05,13650
2018-03-15,792.4,792.5,780.0,786.95,12250
2018-03-16,786.0,819.99,783.3,804.27,54650
2018-03-19,809.5,844.48,808.0,844.48,110050
2018-03-20,860.1,865.0,820.0,822.67,109000
2018-03-21,828.99,863.8,822.0,863.8,150500
2018-03-22,870.0,873.0,835.0,863.27,194400
2018-03-26,860.06,868.0,851.01,853.83,47000
2018-03-27,859.0,859.0,833.0,840.68,32000
2018-03-28,838.0,850.0,832.51,840.87,20350
2018-03-29,845.0,847.5,834.0,837.68,16650
2018-03-30,835.0,844.0,832.5,834.67,9550
2018-04-02,834.0,848.48,834.0,840.2,14950
2018-04-03,842.0,882.21,838.9,882.21,150200
2018-04-04,895.0,910.0,886.0,895.42,114150
2018-04-05,900.5,906.0,875.0,879.93,31850
2018-04-06,888.9,915.0,875.55,890.05,105950
2018-04-09,897.0,911.99,889.1,898.53,71600
2018-04-10,900.01,907.5,897.0,903.16,48350
2018-04-11,908.0,908.0,885.25,887.98,60100
