Date,Open,High,Low,Close,Volume
2018-01-01,167.5,169.35,165.22,168.91,10700
2018-01-02,168.0,172.8,168.0,170.15,95000
2018-01-03,168.12,171.45,168.12,170.45,38300
2018-01-04,172.98,177.5,171.5,175.81,216100
2018-01-05,176.0,184.6,175.2,184.6,505700
2018-01-08,186.01,192.7,186.01,192.07,330200
2018-01-09,190.06,190.06,186.5,187.23,66700
2018-01-10,186.05,192.0,185.75,190.15,67500
2018-01-11,188.51,190.5,185.2,187.21,44200
2018-01-12,187.5,187.5,182.0,183.6,20800
2018-01-15,183.0,183.0,178.1,178.99,20000
2018-01-16,177.97,182.0,177.97,181.37,25700
2018-01-17,181.35,186.99,179.1,186.0,77800
2018-01-18,190.0,191.9,185.5,186.26,64800
2018-01-19,187.0,191.79,187.0,190.34,63900
2018-01-22,191.95,196.0,189.0,194.55,213000
2018-01-23,192.0,193.9,190.0,192.7,42100
2018-01-24,192.92,194.97,189.01,189.88,67900
2018-01-25,189.55,198.25,189.55,195.25,182300
2018-01-26,196.35,198.75,191.95,196.19,122800
2018-01-29,194.7,198.0,193.0,197.58,55500
2018-01-30,201.0,207.45,199.4,207.41,686700
2018-01-31,209.0,215.7,208.95,212.83,426200
2018-02-01,214.5,219.8,211.22,216.96,314700
2018-02-02,217.55,218.0,211.0,211.72,119500
2018-02-06,205.0,210.26,205.0,207.91,85500
2018-02-07,208.2,210.49,203.0,203.82,90800
2018-02-08,202.5,206.49,201.5,201.71,81600
2018-02-09,200.0,206.25,198.31,201.84,99100
2018-02-12,202.0,203.95,199.11,199.82,52300
2018-02-13,201.0,202.0,196.0,197.55,55400
2018-02-14,202.9,202.9,189.55,190.86,100500
2018-02-15,191.5,194.0,184.0,184.93,124000
2018-02-16,184.11,194.17,184.0,192.07,134300
2018-02-19,192.0,197.45,192.0,193.49,49900
2018-02-20,194.9,194.9,188.25,189.48,47300
2018-02-21,192.0,194.8,190.25,190.77,35100
2018-02-22,186.01,192.99,186.01,191.63,25500
2018-02-23,198.0,198.0,188.89,191.46,75800
2018-02-26,190.5,191.5,189.0,189.15,23400
2018-02-27,189.99,193.49,186.0,189.04,70100
2018-02-28,190.0,192.0,188.65,189.03,94000
2018-03-01,190.0,193.5,188.5,191.55,73700
2018-03-02,191.99,194.4,189.0,190.69,44900
2018-03-05,191.1,191.9,188.01,188.58,81400
2018-03-06,190.0,191.0,188.1,188.29,58900
2018-03-07,189.0,189.0,186.21,186.91,21000
