Date,Open,High,Low,Close,Volume
2018-01-01,324.5,332.0,324.5,327.35,11000
2018-01-02,328.99,343.71,328.99,342.62,258300
2018-01-03,345.0,345.0,333.0,337.05,133800
2018-01-04,339.4,350.5,335.01,348.75,66400
2018-01-05,349.75,359.99,347.0,348.96,76500
2018-01-08,354.0,362.0,349.11,358.68,91500
2018-01-09,359.0,359.0,349.5,355.2,8200
2018-01-10,350.0,372.5,349.75,367.49,118100
2018-01-11,372.99,380.0,368.1,370.09,53500
2018-01-12,367.01,367.1,358.1,359.47,7700
2018-01-15,352.12,356.0,343.0,349.9,4900
2018-01-16,349.99,362.62,346.5,358.25,27500
2018-01-17,358.0,374.88,354.1,369.15,73400
2018-01-18,379.99,385.0,372.99,380.73,162100
2018-01-19,388.0,395.0,379.95,393.15,138700
2018-01-22,400.0,406.0,394.0,397.78,62700
2018-01-23,397.7,398.0,389.5,393.99,38100
2018-01-24,397.9,410.0,395.0,405.27,124700
2018-01-25,409.57,417.5,407.99,413.71,59600
2018-01-26,416.99,421.99,408.2,416.39,52500
2018-01-29,413.5,415.0,395.58,399.57,87100
2018-01-30,390.0,419.54,388.8,419.54,149500
2018-01-31,426.0,440.51,420.05,425.52,218100
2018-02-01,424.9,443.0,421.01,441.46,190100
2018-02-02,440.0,456.0,436.31,439.98,125500
2018-02-06,425.51,438.69,425.51,430.62,45900
2018-02-07,434.0,436.0,415.25,418.83,39900
2018-02-08,415.8,426.9,412.01,414.69,48900
2018-02-09,418.0,435.42,410.0,435.32,175400
2018-02-12,439.98,441.0,432.0,434.15,17100
2018-02-13,438.7,451.0,430.16,449.11,86300
2018-02-14,455.5,458.5,433.11,444.38,63300
2018-02-15,450.0,450.0,438.0,438.95,13400
2018-02-16,441.98,452.0,441.97,448.86,43400
2018-02-19,457.74,467.0,446.0,454.67,106100
2018-02-20,445.05,456.94,445.02,451.37,36300
2018-02-21,458.49,470.99,458.4,463.85,116100
2018-02-22,460.0,476.76,455.5,473.1,104600
2018-02-23,471.0,478.0,460.0,466.85,117600
2018-02-26,478.0,478.0,468.0,468.52,18600
2018-02-27,472.79,486.0,469.0,473.46,119800
