Date,Open,High,Low,Close,Volume
2018-01-01,516.0,516.0,492.1,500.88,30900
2018-01-02,500.95,511.5,495.0,510.44,29100
2018-01-03,509.0,510.0,504.5,506.99,18050
2018-01-04,507.01,514.0,507.01,508.94,10600
2018-01-05,508.2,520.0,508.06,515.76,62400
2018-01-08,519.0,535.0,515.0,521.81,57750
2018-01-09,526.5,526.5,516.99,518.33,23100
2018-01-10,520.98,529.49,520.98,526.51,31250
2018-01-11,529.5,529.5,519.98,523.61,27500
2018-01-12,524.99,524.99,515.01,518.44,26450
2018-01-15,520.0,522.0,518.0,520.01,24950
2018-01-16,523.95,524.9,521.02,523.01,19600
2018-01-17,528.0,528.0,522.0,522.47,82000
2018-01-18,527.96,535.99,520.0,525.01,116100
2018-01-19,530.0,551.26,530.0,548.99,239600
2018-01-22,552.0,564.0,549.0,559.01,96350
2018-01-23,565.0,565.0,531.06,531.34,181650
2018-01-24,531.0,537.49,530.0,532.52,40550
2018-01-25,532.0,536.9,530.0,530.93,22150
2018-01-26,532.4,532.4,515.15,520.27,23300
2018-01-29,521.0,525.0,520.5,523.86,20450
2018-01-30,524.0,538.0,524.0,533.95,115400
2018-01-31,536.0,538.0,530.0,531.54,41450
2018-02-01,534.99,535.9,515.0,519.72,48500
2018-02-02,522.0,545.7,522.0,526.09,335900
2018-02-06,521.0,530.1,515.0,529.2,59450
2018-02-07,532.99,534.75,520.14,521.47,103150
2018-02-08,526.0,526.0,520.0,521.56,55300
2018-02-09,517.2,525.0,517.2,523.49,104350
2018-02-12,520.1,528.0,520.1,521.0,64850
2018-02-13,522.0,526.0,515.0,516.96,115200
2018-02-14,518.5,520.95,508.0,509.44,136800
2018-02-15,511.22,514.99,504.0,508.07,65250
2018-02-16,509.9,512.0,506.0,507.51,185050
2018-02-19,507.8,508.7,505.99,506.48,98500
2018-02-20,506.5,506.5,500.0,502.78,59900
2018-02-21,506.0,508.99,501.01,502.83,80500
2018-02-22,497.0,506.0,497.0,504.51,61200
2018-02-23,509.0,509.0,487.01,492.29,65300
2018-02-26,496.94,496.94,475.15,477.9,126450
2018-02-27,479.9,483.5,472.0,474.45,270750
2018-02-28,478.0,479.49,473.5,474.88,62750
2018-03-01,472.0,478.0,470.0,475.01,110250
2018-03-02,475.0,489.5,475.0,481.34,141050
2018-03-05,482.67,485.99,480.0,481.55,72600
2018-03-06,482.0,505.62,481.01,502.09,466150
2018-03-07,505.0,505.0,487.0,488.94,153650
2018-03-08,490.5,492.45,481.5,483.84,90350
2018-03-09,486.0,493.0,481.15,487.81,89900
2018-03-12,491.0,495.0,485.3,491.46,46200
2018-03-13,491.0,492.0,487.0,488.76,49450
2018-03-14,488.0,488.0,483.91,484.78,31250
