Date,Open,High,Low,Close,Volume
2018-01-01,415.1,423.0,415.1,421.5,5000
2018-01-02,421.5,431.0,421.5,429.9,12200
2018-01-03,422.0,430.0,420.0,420.81,5600
2018-01-04,420.0,428.0,413.0,416.45,34900
2018-01-05,415.0,424.9,415.0,418.4,19600
2018-01-08,424.48,427.0,419.0,420.66,17200
2018-01-09,417.0,424.0,414.0,417.45,4700
2018-01-10,419.5,424.0,410.51,420.75,17900
2018-01-11,416.9,417.0,412.0,414.29,5600
2018-01-12,414.0,414.0,406.0,408.0,5100
2018-01-15,404.01,409.5,402.0,403.0,3400
2018-01-16,405.1,413.99,402.3,407.33,7900
2018-01-17,405.0,415.0,405.0,410.2,9600
2018-01-18,416.9,421.0,413.0,413.08,12600
2018-01-19,418.99,428.45,418.0,425.32,17700
2018-01-22,429.99,446.58,424.01,445.47,32800
2018-01-23,447.01,453.0,439.0,449.55,15000
2018-01-24,450.0,457.89,443.0,446.4,17700
2018-01-25,451.0,467.5,447.11,463.43,17800
2018-01-26,465.0,477.7,452.0,469.37,20700
2018-01-29,470.5,477.99,462.5,465.43,7400
2018-01-30,474.0,477.89,467.85,470.77,18300
2018-01-31,471.11,482.88,470.0,475.0,28800
2018-02-01,474.0,493.9,474.0,483.83,20300
2018-02-02,485.2,491.5,478.0,481.39,8200
2018-02-06,482.0,488.0,481.0,482.5,5700
2018-02-07,488.0,495.0,488.0,488.05,7800
2018-02-08,493.9,502.0,490.0,495.81,12900
2018-02-09,492.0,492.3,481.1,485.7,7300
2018-02-12,486.0,489.97,482.0,483.92,6900
2018-02-13,482.01,487.9,482.0,482.1,2400
2018-02-14,484.1,484.1,475.0,475.0,600
2018-02-15,470.0,470.0,467.88,467.88,1100
2018-02-16,467.88,480.0,460.0,475.25,3200
2018-02-19,475.25,475.25,465.0,467.47,2600
2018-02-20,462.0,462.0,461.5,461.5,600
2018-02-21,466.0,466.0,456.0,460.0,3000
2018-02-22,456.0,460.0,448.0,457.88,7800
