Date,Open,High,Low,Close,Volume
2018-01-01,90.56,91.79,90.05,90.3,180500
2018-01-02,90.01,92.8,90.0,91.49,1438500
2018-01-03,91.8,92.69,91.25,92.15,858000
2018-01-04,92.98,92.99,92.1,92.45,1383000
2018-01-05,93.45,94.0,92.36,93.38,755000
2018-01-08,93.98,95.49,93.1,94.27,6103500
2018-01-09,94.75,94.75,92.49,92.83,257500
2018-01-10,92.97,94.93,92.41,94.1,777500
2018-01-11,94.0,95.4,91.5,91.83,675500
2018-01-12,91.6,92.9,91.01,91.54,982500
2018-01-15,91.5,91.5,90.5,90.77,654500
2018-01-16,91.4,93.98,91.4,93.57,493500
2018-01-17,93.8,94.15,92.5,94.02,1587500
2018-01-18,94.5,96.0,93.51,94.99,1911000
2018-01-19,94.99,96.59,94.3,96.01,2483500
2018-01-22,96.6,100.0,96.0,99.79,2642000
2018-01-23,99.9,100.0,98.6,99.95,504000
2018-01-24,99.97,102.25,99.97,101.7,2945500
2018-01-25,101.22,101.26,99.9,100.48,980000
2018-01-26,101.25,101.25,98.5,98.92,667500
2018-01-29,98.8,99.25,98.5,99.05,1057500
2018-01-30,98.52,101.0,98.52,99.56,1399500
2018-01-31,99.9,100.0,98.5,98.78,248500
2018-02-01,100.0,102.01,99.01,100.69,5286500
2018-02-02,100.5,100.5,97.52,97.99,670500
2018-02-06,97.85,97.85,95.75,96.59,336000
2018-02-07,98.0,99.65,97.99,99.13,1802000
2018-02-08,99.1,99.5,97.75,98.9,590500
2018-02-09,97.5,98.75,97.0,98.63,562000
2018-02-12,98.11,99.3,97.55,98.31,455000
2018-02-13,98.1,99.05,98.0,99.0,442000
2018-02-14,98.99,99.3,98.1,98.99,862500
2018-02-15,98.62,99.0,97.01,97.1,353500
2018-02-16,97.1,98.97,94.0,98.56,197000
2018-02-19,99.0,99.96,98.0,99.29,714000
2018-02-20,99.95,99.95,96.75,97.15,879500
2018-02-21,97.97,98.44,95.5,96.14,560000
2018-02-22,96.0,97.5,96.0,97.25,106500
2018-02-23,96.5,97.95,95.51,97.19,430000
2018-02-26,97.0,97.0,95.6,95.91,518000
2018-02-27,95.15,98.6,95.0,96.62,1213000
2018-02-28,97.4,99.0,97.4,98.05,906000
2018-03-01,98.5,99.5,97.5,98.0,346500
2018-03-02,98.25,99.4,97.5,98.91,624000
2018-03-05,99.0,99.45,98.0,99.1,134500
2018-03-06,99.5,100.0,97.27,98.99,931500
2018-03-07,97.6,100.45,97.36,97.84,709500
2018-03-08,98.49,99.3,96.0,96.25,579500
2018-03-09,96.88,97.45,96.0,97.0,276000
2018-03-12,96.1,97.84,96.1,97.27,209000
2018-03-13,97.0,98.99,96.98,98.74,1663500
2018-03-14,98.74,98.74,97.04,97.37,225500
2018-03-15,97.37,97.89,97.0,97.42,101000
2018-03-16,97.05,98.0,96.25,97.66,1016000
2018-03-19,97.99,98.0,97.0,97.29,555000
2018-03-20,97.31,101.5,97.25,100.59,2104000
2018-03-21,100.9,101.5,99.01,99.68,503500
2018-03-22,99.16,101.24,99.05,100.71,374500
2018-03-26,99.8,101.5,99.0,100.66,309000
2018-03-27,99.5,101.45,99.5,99.9,280500
2018-03-28,99.71,99.95,99.14,99.6,92000
2018-03-29,99.5,101.8,99.05,101.12,565500
2018-03-30,101.2,101.51,100.1,100.5,149500
2018-04-02,100.01,101.5,100.01,100.45,304500
2018-04-03,101.2,101.89,100.0,101.43,551000
2018-04-04,101.05,102.71,99.85,100.06,636000
2018-04-05,100.5,102.9,100.3,102.48,1516000
2018-04-06,102.99,105.5,102.99,104.17,4582000
2018-04-09,103.52,104.89,103.05,104.36,1079500
2018-04-10,104.9,105.45,103.0,103.57,169500
2018-04-11,103.99,105.0,103.75,104.11,977500
2018-04-12,104.0,104.87,103.85,104.15,263000
