Date,Open,High,Low,Close,Volume
2018-01-01,8.2,8.4,8.2,8.29,87500
2018-01-02,8.28,8.45,8.23,8.38,365500
2018-01-03,8.37,8.37,8.17,8.2,174000
2018-01-04,8.2,8.39,8.2,8.32,171500
2018-01-05,8.3,8.8,8.3,8.76,1060000
2018-01-08,8.81,8.96,8.8,8.83,263000
2018-01-09,8.99,8.99,8.7,8.9,91000
2018-01-10,8.9,9.31,8.9,9.02,184500
2018-01-11,8.97,9.0,8.64,8.85,395500
2018-01-12,8.7,8.71,8.6,8.68,97000
2018-01-15,8.61,8.61,8.3,8.35,51500
2018-01-16,8.52,8.52,8.52,8.52,6000
2018-01-17,8.54,8.91,8.52,8.73,349000
2018-01-18,8.8,8.88,8.55,8.75,2046000
2018-01-19,8.63,8.75,8.6,8.64,93500
2018-01-22,8.71,9.04,8.71,8.87,2930000
2018-01-23,9.1,9.19,8.88,8.9,295500
2018-01-24,8.99,9.55,8.9,9.04,4553500
2018-01-25,9.1,9.75,9.1,9.59,2496500
2018-01-26,9.7,9.8,9.35,9.77,1710000
2018-01-29,9.7,9.88,9.52,9.6,880500
2018-01-30,9.61,9.72,9.4,9.5,354000
2018-01-31,9.4,9.54,9.4,9.4,69000
2018-02-01,9.38,9.45,9.35,9.37,150000
2018-02-02,9.4,9.5,9.3,9.32,74000
2018-02-06,9.07,9.3,9.07,9.2,85000
2018-02-07,9.34,9.34,9.15,9.15,158000
2018-02-08,9.02,9.15,9.02,9.15,95500
2018-02-09,9.1,9.15,9.1,9.12,22500
2018-02-12,9.13,9.35,8.81,9.3,642500
2018-02-13,9.2,9.32,9.2,9.22,1875500
2018-02-14,9.3,9.31,9.25,9.25,2181000
2018-02-15,9.25,9.5,9.25,9.43,5438000
2018-02-16,9.39,9.73,9.28,9.47,5620000
2018-02-19,9.27,9.69,9.27,9.62,390500
2018-02-20,9.55,9.65,9.48,9.52,73000
2018-02-21,9.55,9.79,9.5,9.56,346000
2018-02-22,9.56,9.56,9.3,9.45,122500
2018-02-23,9.58,9.7,9.33,9.37,1999000
2018-02-26,9.4,9.45,9.0,9.03,256000
2018-02-27,9.1,9.35,9.05,9.25,172000
2018-02-28,9.4,9.5,9.15,9.3,184500
2018-03-01,9.15,9.3,9.02,9.11,41000
2018-03-02,9.12,9.4,9.05,9.22,96000
2018-03-05,9.2,9.4,9.15,9.2,157000
2018-03-06,9.3,9.35,9.2,9.25,204000
2018-03-07,9.2,9.3,9.15,9.19,94500
2018-03-08,9.29,9.3,9.0,9.22,2399000
2018-03-09,9.21,9.21,9.1,9.1,317000
2018-03-12,9.1,9.3,9.1,9.18,132000
2018-03-13,9.18,9.25,9.1,9.16,211500
2018-03-14,9.15,9.24,9.05,9.1,2714000
2018-03-15,9.21,9.3,9.12,9.15,170000
2018-03-16,9.15,9.4,9.15,9.35,373500
2018-03-19,9.32,9.44,9.2,9.21,87000
2018-03-20,9.3,9.38,9.25,9.33,164000
2018-03-21,9.33,9.4,9.3,9.3,314500
2018-03-22,9.45,9.84,9.31,9.75,3624500
2018-03-26,9.79,9.84,9.52,9.6,64500
2018-03-27,9.5,9.5,9.32,9.37,73000
2018-03-28,9.33,9.44,9.31,9.38,36500
2018-03-29,9.35,9.4,9.35,9.39,31000
2018-03-30,9.45,9.51,9.45,9.5,278500
2018-04-02,9.6,9.6,9.5,9.6,62500
2018-04-03,9.5,9.5,9.3,9.32,47500
2018-04-04,9.32,9.35,9.26,9.29,42500
2018-04-05,9.5,9.5,9.35,9.45,35000
2018-04-06,9.28,9.45,9.27,9.4,75500
2018-04-09,9.5,9.5,9.26,9.39,213500
2018-04-10,9.4,9.45,9.36,9.4,138500
2018-04-11,9.32,9.45,9.3,9.37,236000
2018-04-12,9.32,9.95,9.25,9.32,3532500
2018-04-13,9.35,9.42,9.2,9.32,234000
2018-04-16,9.22,9.3,9.22,9.26,26500
2018-04-17,9.26,9.51,9.26,9.49,206000
2018-04-18,9.37,9.65,9.36,9.52,261500
2018-04-19,9.4,9.51,9.36,9.4,154500
2018-04-20,9.5,9.64,9.42,9.6,408000
2018-04-23,9.7,9.7,9.45,9.5,188500
2018-04-24,9.41,9.55,9.41,9.5,98500
2018-04-25,9.51,9.57,9.51,9.53,199500
2018-04-26,9.5,9.57,9.43,9.43,104500
2018-04-27,9.65,9.65,9.35,9.45,27000
2018-04-30,9.7,9.74,9.4,9.4,348000
2018-05-02,9.4,9.4,9.01,9.16,111500
2018-05-03,9.4,9.4,8.96,9.0,213000
2018-05-04,9.0,9.0,8.81,8.99,27000
2018-05-07,8.99,9.06,8.9,9.0,56500
2018-05-08,8.85,9.0,8.83,9.0,180500
2018-05-09,9.06,9.01,8.84,8.99,115000
2018-05-10,8.7,8.85,8.7,8.85,43000
2018-05-11,8.77,8.95,8.76,8.92,78500
2018-05-14,8.9,8.96,8.3,8.72,533000
2018-05-15,8.7,8.89,8.6,8.89,100000
2018-05-16,8.9,8.9,8.7,8.85,7000
2018-05-17,8.85,8.88,8.52,8.7,45000
2018-05-18,8.74,8.74,8.55,8.55,5500
2018-05-21,8.5,8.52,8.5,8.5,16000
2018-05-22,8.7,8.7,8.67,8.67,52000
2018-05-23,8.7,8.7,8.7,8.7,73500
2018-05-24,8.6,8.6,8.6,8.6,11500
2018-05-25,8.56,8.56,8.41,8.5,21000
2018-05-28,8.6,8.6,8.48,8.5,723000
2018-05-29,8.52,8.78,8.51,8.78,562500
2018-05-30,8.78,8.84,8.5,8.77,247500
2018-05-31,8.7,8.7,8.51,8.52,60000
2018-06-01,8.5,8.7,8.5,8.7,13500
2018-06-04,8.53,8.6,8.5,8.6,215500
2018-06-05,8.6,8.6,8.55,8.55,105500
2018-06-06,8.55,8.55,8.51,8.52,25000
2018-06-07,8.62,8.79,8.52,8.79,14000
2018-06-11,8.52,8.52,8.5,8.5,551000
2018-06-12,8.3,8.51,8.2,8.5,61000
2018-06-13,8.5,8.85,8.5,8.51,51000
2018-06-14,8.42,8.75,8.31,8.51,12000
2018-06-19,8.4,8.43,8.4,8.43,2000
2018-06-20,8.62,8.7,8.45,8.5,104500
2018-06-21,8.48,8.5,8.35,8.4,21000
2018-06-22,8.25,8.25,8.25,8.25,1000
2018-06-25,8.16,8.2,8.01,8.12,63000
2018-06-26,8.1,8.2,8.09,8.1,752500
2018-06-27,8.1,8.16,7.98,8.03,3083000
2018-06-28,8.03,8.14,8.0,8.1,29000
2018-06-29,8.1,8.2,8.05,8.09,36500
2018-07-02,8.06,8.24,8.05,8.05,48500
2018-07-03,8.0,8.01,8.0,8.0,20500
2018-07-04,8.32,8.32,7.41,7.76,39500
2018-07-05,7.76,7.9,7.76,7.85,249500
2018-07-06,7.53,7.9,7.53,7.9,51000
2018-07-09,7.59,7.6,7.27,7.31,204500
2018-07-10,7.07,7.07,6.95,7.0,702000
2018-07-11,7.79,7.79,7.0,7.5,268500
2018-07-12,7.5,7.5,7.5,7.5,2500
2018-07-13,7.5,8.0,7.5,7.81,62500
2018-07-16,7.51,7.52,7.45,7.46,21000
2018-07-17,7.44,7.5,7.24,7.25,138500
2018-07-18,7.65,7.77,7.5,7.64,45000
2018-07-19,7.5,7.6,7.5,7.52,94500
2018-07-20,7.3,7.7,7.3,7.55,31500
2018-07-24,7.89,7.89,7.77,7.85,8500
2018-07-26,7.65,7.9,7.65,7.89,33500
2018-07-27,7.89,7.99,7.7,7.8,50000
2018-07-30,8.0,8.05,7.95,7.99,212500
2018-07-31,8.0,8.0,7.73,7.75,93000
2018-08-01,7.77,7.94,7.74,7.83,28500
2018-08-02,7.99,7.99,7.8,7.97,15500
2018-08-03,7.8,7.8,7.8,7.8,13000
2018-08-06,7.8,7.84,7.73,7.76,21500
2018-08-07,7.8,7.86,7.7,7.75,43000
2018-08-08,7.9,7.95,7.9,7.94,38000
2018-08-09,7.96,8.0,7.8,7.8,109500
2018-08-10,7.77,7.8,7.7,7.78,328500
2018-08-13,7.77,7.8,7.76,7.79,6000
2018-08-15,7.72,7.88,7.72,7.75,14000
2018-08-16,7.8,7.8,7.75,7.75,48000
2018-08-17,7.8,7.8,7.7,7.72,32000
2018-08-20,7.71,7.71,7.65,7.67,42500
2018-08-24,7.7,7.7,7.67,7.7,57500
2018-08-27,7.62,7.8,7.62,7.8,9500
2018-08-28,7.85,7.85,7.68,7.68,3000
2018-08-29,7.7,7.7,7.6,7.62,13000
2018-08-30,7.56,7.74,7.56,7.59,300500
2018-08-31,7.51,7.69,7.51,7.54,329500
2018-09-03,7.54,7.54,7.23,7.24,7290000
2018-09-04,7.23,7.39,7.2,7.39,501500
2018-09-05,7.39,7.4,7.24,7.24,54500
2018-09-06,7.18,7.18,7.07,7.1,57500
2018-09-07,7.06,7.1,6.9,7.0,11500
2018-09-10,6.76,7.0,6.76,6.98,46000
2018-09-11,6.99,7.24,6.96,7.03,53500
2018-09-12,7.0,7.0,6.86,6.95,3000
2018-09-13,7.0,7.08,6.98,7.02,50000
2018-09-14,7.18,7.2,7.02,7.03,45000
2018-09-17,7.01,7.09,6.9,7.0,50500
