Date,Open,High,Low,Close,Volume
2018-01-02,58.02,60.75,58.02,60.75,7500
2018-01-03,63.68,63.75,63.6,63.67,8500
2018-01-04,66.59,66.85,63.35,65.18,53000
2018-01-05,68.39,68.39,68.39,68.39,500
2018-01-09,71.59,71.59,64.98,69.39,3000
2018-01-10,65.93,67.99,65.93,67.99,3000
2018-01-11,0.0,67.47,0.0,67.47,0
2018-01-12,64.1,64.1,64.1,64.1,3000
2018-01-15,61.19,61.2,61.11,61.15,3000
2018-01-16,58.61,62.45,58.6,61.48,4000
2018-01-17,60.07,60.07,60.07,60.07,500
2018-01-18,58.12,58.12,58.12,58.12,500
2018-01-19,56.5,56.5,56.5,56.5,500
2018-01-22,59.0,59.32,59.0,59.32,1000
2018-01-24,62.28,62.28,62.28,62.28,31500
2018-01-25,65.34,65.39,64.15,64.56,68000
2018-01-26,64.99,67.45,64.99,67.45,3000
2018-01-31,64.08,66.88,64.08,66.88,24500
2018-02-02,68.88,68.88,68.88,68.88,500
2018-02-09,72.19,72.19,65.44,69.89,1500
2018-02-12,0.0,69.89,69.89,69.89,1000
2018-02-16,66.4,66.4,66.4,66.4,500
2018-02-19,63.21,63.21,63.08,63.08,3000
2018-02-20,63.0,63.34,60.35,63.34,1500
2018-02-21,65.9,65.9,65.9,65.9,4500
2018-02-22,0.0,65.9,65.9,65.9,1000
2018-02-23,62.61,65.49,62.61,65.49,3500
2018-02-26,62.22,62.22,62.22,62.22,2000
2018-02-27,0.0,62.22,62.22,62.22,500
2018-03-01,61.01,61.49,59.41,59.41,3500
2018-03-05,61.48,61.48,61.48,61.48,500
2018-03-06,58.51,59.9,58.41,58.48,15000
2018-03-07,57.0,58.4,57.0,58.4,2000
2018-03-09,55.56,55.56,55.56,55.56,500
2018-03-12,55.56,55.56,55.56,55.56,2000
2018-03-14,57.99,58.0,57.99,58.0,1000
2018-03-15,57.0,60.9,57.0,60.48,9500
2018-03-16,62.89,62.89,62.89,62.89,500
2018-03-19,61.5,62.98,59.75,59.75,8500
2018-03-20,57.56,57.56,57.56,57.56,1000
2018-03-21,58.25,58.25,58.25,58.25,500
2018-03-22,57.02,57.02,57.02,57.02,500
2018-03-28,57.25,57.25,57.25,57.25,1000
2018-04-02,58.0,58.0,57.06,57.06,4500
2018-04-03,54.51,55.16,54.51,55.16,3000
2018-04-04,53.26,57.9,53.26,57.9,3000
2018-04-05,60.0,60.79,60.0,60.79,4000
2018-04-06,63.69,63.7,63.69,63.7,1000
2018-04-09,60.6,60.6,60.6,60.6,2500
2018-04-10,60.0,60.0,59.5,59.5,2500
2018-04-11,59.0,59.6,59.0,59.6,5000
2018-04-12,56.7,56.7,56.7,56.7,4500
2018-04-13,59.53,59.53,59.53,59.53,2000
2018-04-16,62.5,62.5,62.5,62.5,3000
2018-04-17,65.18,65.18,63.45,63.48,1500
2018-04-18,66.38,66.38,60.8,60.8,2000
2018-04-19,59.6,59.6,59.5,59.5,1000
2018-04-23,62.47,62.47,62.47,62.47,2500
2018-04-24,64.0,65.59,64.0,64.0,24500
2018-04-25,62.01,62.01,62.0,62.0,12500
2018-04-26,64.79,64.79,64.79,64.79,500
2018-04-27,67.88,67.88,62.05,65.1,79500
2018-04-30,68.34,68.34,62.02,62.02,1000
2018-05-02,62.6,65.12,62.6,65.12,1000
2018-05-04,62.1,62.1,62.1,62.1,500
2018-05-07,64.5,65.2,62.0,62.0,28000
2018-05-08,62.0,62.0,62.0,62.0,3000
2018-05-09,65.09,65.09,65.09,65.09,500
2018-05-10,67.87,67.87,67.87,67.87,500
2018-05-22,0.0,65.56,0.0,65.56,0
2018-05-23,0.0,65.52,0.0,65.52,0
2018-05-24,0.0,64.87,0.0,64.87,0
2018-05-25,0.0,63.48,0.0,63.48,0
2018-05-28,0.0,62.94,0.0,62.94,0
2018-05-29,0.0,62.55,0.0,62.55,0
2018-05-31,60.0,60.0,60.0,60.0,500
2018-06-04,57.08,57.08,57.08,57.08,500
2018-06-06,57.9,59.93,57.9,59.87,18000
2018-06-07,62.61,62.61,62.61,62.61,500
2018-06-11,65.64,65.64,65.64,65.64,500
2018-06-12,0.0,64.42,0.0,64.42,0
2018-06-13,61.2,61.2,61.2,61.2,500
2018-06-14,58.31,58.31,58.31,58.31,500
2018-06-19,60.98,60.98,56.1,60.79,1500
2018-06-20,62.41,62.41,61.0,61.0,2000
2018-06-21,63.49,63.49,63.49,63.49,500
2018-06-22,60.32,61.98,60.32,60.32,27500
2018-06-25,0.0,60.32,60.32,60.32,15500
2018-06-26,60.0,60.0,60.0,60.0,1000
2018-06-27,0.0,60.0,60.0,60.0,760000
2018-06-29,62.99,63.0,62.99,63.0,7500
2018-07-10,60.0,60.0,60.0,60.0,500
2018-07-13,60.0,60.0,58.0,58.0,7000
2018-07-18,60.0,60.9,60.0,60.0,32500
2018-07-24,60.0,60.0,60.0,60.0,2000
2018-08-02,57.1,57.1,57.0,57.0,9500
2018-08-03,59.49,59.85,59.49,59.85,3500
2018-08-07,57.06,57.06,57.06,57.06,1500
2018-08-08,57.11,57.25,57.11,57.22,4000
2018-08-09,59.99,60.0,59.99,60.0,1500
2018-08-10,61.99,61.99,60.0,60.0,1500
2018-08-13,61.99,63.0,57.56,63.0,197500
2018-08-15,61.0,66.0,61.0,66.0,2500
2018-08-17,68.94,68.94,68.94,68.94,500
2018-08-20,65.5,65.5,65.5,65.5,500
2018-08-24,67.0,67.0,67.0,67.0,500
2018-08-27,65.0,65.0,65.0,65.0,500
2018-08-28,62.5,62.5,62.5,62.5,1000
2018-09-06,62.5,62.5,62.5,62.5,500
2018-09-14,64.0,65.62,62.5,62.51,30500
2018-09-18,59.39,62.49,59.39,62.25,3500
2018-09-19,62.49,62.49,62.49,62.49,2793500
2018-10-08,0.0,62.49,60.0,60.0,0
2018-10-09,0.0,58.81,0.0,58.81,0
2018-10-10,55.88,61.75,55.88,58.57,14000
2018-10-11,55.65,55.65,55.65,55.65,8000
2018-10-12,57.99,58.0,57.99,58.0,1000
2018-10-16,53.68,53.73,53.68,53.68,10000
2018-10-17,55.5,56.36,54.9,55.53,14000
2018-10-18,54.0,54.0,52.8,53.4,1000
2018-10-19,51.11,56.02,51.11,54.99,5000
2018-10-22,57.73,57.73,56.0,56.0,15000
2018-10-23,0.0,56.85,0.0,56.85,0
2018-10-24,59.69,59.69,59.69,59.69,5000
2018-10-25,62.67,62.67,61.0,61.77,17000
2018-10-26,61.0,61.0,60.75,60.75,5000
2018-10-29,60.75,63.78,60.75,61.0,14500
2018-10-30,58.6,58.6,58.48,58.48,1000
2018-10-31,58.0,58.0,58.0,58.0,2500
2018-11-01,58.0,58.0,58.0,58.0,7500
2018-11-02,58.01,58.01,58.01,58.01,500
2018-11-05,58.0,60.9,58.0,60.54,9500
2018-11-06,61.99,61.99,61.99,61.99,2000
2018-11-08,59.0,61.99,59.0,61.2,20500
2018-11-09,59.1,59.1,58.8,58.99,12500
2018-11-12,60.5,61.5,58.55,59.0,114000
2018-11-13,58.55,58.55,58.0,58.0,1000
2018-11-16,58.9,59.0,58.9,59.0,1000
2018-11-19,58.2,58.2,58.2,58.2,500
2018-11-20,58.25,58.55,58.25,58.55,1000
2018-11-22,59.7,59.7,59.7,59.7,500
2018-11-26,59.0,60.79,59.0,60.09,155000
2018-11-27,60.0,60.0,60.0,60.0,959500
2018-11-28,60.0,60.95,60.0,60.94,57500
2018-11-29,63.0,63.0,63.0,63.0,500
2018-11-30,63.75,66.0,63.75,66.0,5000
2018-12-03,62.7,62.7,62.7,62.7,500
2018-12-04,60.04,60.25,59.57,60.25,77000
2018-12-06,59.0,59.0,59.0,59.0,10000
2018-12-10,59.0,59.0,59.0,59.0,2000
2018-12-12,60.0,60.0,59.0,60.0,10500
2018-12-17,60.0,60.0,60.0,60.0,500
2018-12-18,60.0,60.0,60.0,60.0,25500
