Date,Open,High,Low,Close,Volume
2018-01-01,1670.0,1687.0,1670.0,1686.99,460
2018-01-02,1671.0,1715.28,1671.0,1710.24,2740
2018-01-03,1720.0,1737.99,1720.0,1720.14,28680
2018-01-04,1721.0,1750.0,1720.0,1738.48,9640
2018-01-05,1740.0,1785.0,1740.0,1759.39,10880
2018-01-08,1746.0,1805.0,1745.0,1785.19,19080
2018-01-09,1786.0,1786.0,1747.03,1751.48,24500
2018-01-10,1774.88,1774.88,1754.0,1761.81,5660
2018-01-11,1762.51,1779.0,1762.0,1768.29,4700
2018-01-12,1770.0,1779.99,1750.01,1756.46,17240
2018-01-15,1760.0,1762.0,1725.0,1745.61,10780
2018-01-16,1750.0,1765.0,1750.0,1755.49,10060
2018-01-17,1770.0,1770.0,1750.01,1760.48,33400
2018-01-18,1770.0,1775.0,1759.99,1770.12,5720
2018-01-19,1770.13,1858.62,1770.12,1850.72,13880
2018-01-22,1840.0,1934.25,1840.0,1919.55,17600
2018-01-23,1900.0,1980.0,1900.0,1934.74,35760
2018-01-24,1949.94,1967.99,1932.0,1941.95,28840
2018-01-25,1945.0,1945.99,1885.0,1893.96,8120
2018-01-26,1886.0,1886.0,1865.0,1876.11,14600
2018-01-29,1876.0,1876.5,1871.0,1871.04,1760
2018-01-30,1874.0,1875.0,1867.0,1867.0,2360
2018-01-31,1904.34,1949.9,1801.06,1818.83,10740
2018-02-01,1816.0,1842.9,1816.0,1822.69,2540
2018-02-02,1859.0,1859.0,1810.04,1818.12,4220
2018-02-06,1846.0,1846.0,1785.0,1792.43,15840
2018-02-07,1828.0,1828.0,1747.0,1759.36,12540
2018-02-08,1756.0,1769.89,1705.0,1726.39,13120
2018-02-09,1769.8,1769.8,1736.7,1741.0,2280
2018-02-12,1759.99,1760.0,1690.0,1706.58,5780
2018-02-13,1729.59,1729.59,1702.01,1705.39,1220
2018-02-14,1701.0,1723.89,1698.0,1712.73,56800
2018-02-15,1738.0,1739.0,1720.0,1729.09,2220
2018-02-16,1744.0,1745.0,1720.0,1726.84,2920
2018-02-19,1727.0,1727.0,1721.0,1721.0,4620
2018-02-20,1721.0,1734.0,1700.0,1723.49,4700
2018-02-21,1723.5,1725.0,1700.0,1701.58,4420
2018-02-22,1705.0,1714.99,1700.0,1704.84,41900
2018-02-23,1705.0,1725.0,1690.1,1698.09,9140
2018-02-26,1705.0,1715.0,1700.0,1709.05,12300
2018-02-27,1712.0,1730.0,1710.0,1724.74,10380
2018-02-28,1739.0,1740.0,1716.07,1719.64,5020
2018-03-01,1720.01,1785.0,1720.01,1750.62,28840
2018-03-02,1778.0,1778.0,1750.0,1755.86,1160
2018-03-05,1769.99,1769.99,1747.0,1750.0,10940
2018-03-06,1750.0,1774.0,1750.0,1759.0,3500
2018-03-07,1740.21,1769.93,1740.0,1767.26,1960
2018-03-08,1773.9,1785.0,1745.0,1759.84,6560
2018-03-09,1731.0,1735.0,1720.0,1726.92,2040
2018-03-12,1722.0,1748.99,1722.0,1742.09,5900
2018-03-13,1745.0,1769.0,1745.0,1764.6,20220
2018-03-14,1765.0,1805.0,1765.0,1789.17,29660
2018-03-15,1809.0,1809.0,1777.0,1784.84,9920
2018-03-16,1777.01,1781.0,1770.0,1771.8,9560
2018-03-19,1760.0,1784.98,1760.0,1774.0,5380
2018-03-20,1775.0,1780.0,1765.02,1771.48,11140
2018-03-21,1772.0,1775.0,1742.0,1749.93,14900
2018-03-22,1749.93,1750.0,1740.0,1747.92,9620
2018-03-26,1740.0,1760.0,1725.0,1741.65,20140
2018-03-27,1745.0,1768.94,1738.99,1739.2,11160
2018-03-28,1744.0,1758.49,1740.0,1750.59,4380
2018-03-29,1746.02,1746.02,1732.0,1740.0,3020
2018-03-30,1739.99,1758.99,1726.0,1742.25,11700
2018-04-02,1730.01,1829.36,1730.01,1823.31,89240
2018-04-03,1835.0,1835.0,1812.01,1815.02,1000
2018-04-04,1818.99,1850.0,1800.0,1800.0,16620
2018-04-05,1800.0,1800.5,1795.0,1800.0,1080
2018-04-06,1807.0,1850.01,1807.0,1845.92,13520
2018-04-09,1811.0,1870.0,1810.0,1844.3,2100
2018-04-10,1850.0,1850.0,1828.01,1838.01,2900
2018-04-11,1840.0,1884.0,1838.0,1851.52,125240
2018-04-12,1875.0,1875.0,1845.01,1865.27,4680
2018-04-13,1855.01,1868.99,1849.99,1850.38,12960
2018-04-16,1850.0,1875.0,1850.0,1868.44,4560
2018-04-17,1865.0,1905.0,1865.0,1873.93,62400
