Date,Open,High,Low,Close,Volume
2018-01-01,105.2,111.26,102.51,109.18,2056500
2018-01-02,107.9,112.09,106.7,109.99,3374800
2018-01-03,110.69,112.98,108.6,108.91,2470400
2018-01-04,109.0,109.55,106.55,108.23,999700
2018-01-05,108.31,113.62,107.75,112.82,3234600
2018-01-08,113.76,117.65,113.76,116.1,3431900
2018-01-09,116.5,116.5,113.15,114.45,2181100
2018-01-10,114.6,120.17,114.51,120.17,6519200
2018-01-11,121.49,123.99,117.65,121.27,8921400
2018-01-12,120.5,121.9,115.21,115.21,6258100
2018-01-15,114.23,114.23,109.53,109.91,2965600
2018-01-16,111.49,115.25,110.99,113.37,3105500
2018-01-17,114.35,117.24,112.2,116.3,2975300
2018-01-18,119.5,121.0,114.0,116.38,6826400
2018-01-19,117.45,121.65,116.41,120.71,5716900
2018-01-22,120.8,124.5,120.8,121.67,5525800
2018-01-23,121.51,126.25,117.3,124.28,8631100
2018-01-24,126.5,128.49,124.75,127.0,7992300
2018-01-25,126.5,126.5,123.5,124.23,1907200
2018-01-26,124.0,126.67,120.5,125.83,4775000
2018-01-29,125.83,125.83,122.75,123.29,2004700
2018-01-30,123.9,125.16,122.7,124.04,2045600
2018-01-31,124.9,124.99,123.0,123.24,879500
2018-02-01,123.59,126.68,123.31,125.81,3749500
2018-02-02,125.8,128.25,124.55,126.06,4030000
2018-02-06,123.5,124.79,122.22,123.83,2085200
2018-02-07,124.5,126.35,117.64,121.51,6927300
2018-02-08,121.85,122.25,119.5,120.12,2109800
2018-02-09,119.79,123.3,118.0,122.82,2027300
2018-02-12,122.55,123.3,121.5,122.18,797600
2018-02-13,122.35,124.25,121.5,121.72,1314100
2018-02-14,121.51,121.7,118.5,118.98,937100
2018-02-15,119.9,119.9,113.25,114.05,1708400
2018-02-16,113.5,118.0,113.5,116.93,817400
2018-02-19,118.0,118.9,116.0,116.45,639200
2018-02-20,116.5,116.99,112.01,116.19,2260900
2018-02-21,118.78,119.3,115.1,115.72,1183100
2018-02-22,113.56,117.3,111.1,116.91,2289700
2018-02-23,117.4,118.95,115.0,116.26,2362400
2018-02-26,117.0,120.7,116.5,117.51,3570900
2018-02-27,117.61,119.1,117.27,117.81,1016800
2018-02-28,117.65,121.48,117.65,120.31,2381300
2018-03-01,120.9,122.99,119.75,121.45,2549700
2018-03-02,120.99,121.19,117.35,120.16,3223200
2018-03-05,121.29,121.39,119.05,119.95,665900
2018-03-06,120.0,121.67,120.0,121.09,737600
2018-03-07,120.97,120.97,118.55,118.83,580300
2018-03-08,119.0,119.45,117.5,117.86,518000
2018-03-09,117.61,118.75,114.55,115.2,1184500
2018-03-12,114.5,116.25,113.11,115.81,613600
2018-03-13,116.0,117.14,115.61,116.14,724800
2018-03-14,116.25,116.65,115.21,115.68,324800
2018-03-15,116.59,116.6,115.0,115.17,244800
2018-03-16,115.2,115.88,114.55,115.01,453200
2018-03-19,114.5,116.3,114.5,115.06,482100
2018-03-20,115.45,116.75,115.1,116.0,1248600
2018-03-21,116.59,117.22,115.0,115.07,762500
2018-03-22,115.42,115.9,114.7,115.38,399000
2018-03-26,115.5,115.9,113.95,115.49,424600
2018-03-27,116.1,119.0,116.1,117.25,1246000
2018-03-28,117.29,118.9,116.0,118.45,1145500
2018-03-29,119.4,119.4,117.11,117.38,483500
2018-03-30,118.25,118.25,115.7,115.91,548200
2018-04-02,118.34,121.7,118.0,121.7,4798200
2018-04-03,122.5,127.74,122.2,125.88,5444400
2018-04-04,126.0,129.75,125.01,126.63,3749700
2018-04-05,126.05,126.05,120.6,123.43,6990400
2018-04-06,124.1,125.8,122.3,123.13,1427300
2018-04-09,123.0,123.9,121.5,121.94,862400
2018-04-10,122.49,123.7,121.15,123.04,699100
2018-04-11,123.88,124.75,123.12,123.35,1219100
2018-04-12,124.0,124.0,122.06,122.55,827800
2018-04-13,122.5,123.48,121.6,122.11,222600
2018-04-16,122.99,122.99,118.4,118.78,903200
2018-04-17,118.4,121.1,117.5,119.16,1413800
2018-04-18,119.02,121.01,115.52,116.0,2303600
2018-04-19,115.58,116.0,113.6,115.6,927800
2018-04-20,115.9,116.0,114.12,115.15,240000
2018-04-23,115.11,115.87,114.0,115.18,408800
2018-04-24,115.25,117.8,115.0,117.39,1245200
2018-04-25,117.51,117.75,115.51,116.02,697600
2018-04-26,116.1,116.85,115.55,115.78,439800
2018-04-27,115.3,116.0,112.2,112.83,1481200
2018-04-30,114.19,117.05,113.76,116.5,956100
2018-05-02,116.26,116.75,114.75,115.06,222500
2018-05-03,115.0,115.0,112.4,114.31,369900
2018-05-04,114.0,114.99,113.3,113.95,139200
2018-05-07,114.3,114.3,108.31,110.35,663500
2018-05-08,110.0,112.2,108.75,111.2,688300
2018-05-09,111.51,111.51,105.8,108.89,2133700
2018-05-10,109.98,110.39,107.0,108.58,1053300
2018-05-11,108.0,109.5,107.15,107.77,583500
2018-05-14,107.48,107.48,102.39,103.32,2622800
2018-05-15,105.01,107.5,100.05,106.92,2035800
2018-05-16,106.7,107.77,103.6,104.31,419800
2018-05-17,104.7,104.7,99.9,100.81,480600
2018-05-18,99.25,101.46,98.85,99.81,537600
2018-05-21,100.5,103.45,100.2,101.19,410200
2018-05-22,101.99,106.24,101.25,106.24,689900
2018-05-23,108.15,109.49,105.25,107.04,978300
2018-05-24,106.05,106.88,104.13,104.92,711000
2018-05-25,104.51,105.8,102.0,103.43,688100
2018-05-28,103.0,106.8,101.15,103.74,742800
2018-05-29,104.0,106.85,102.8,106.23,689500
2018-05-30,106.52,111.5,105.01,109.63,1858100
2018-05-31,110.5,112.74,108.5,111.58,2264400
2018-06-01,111.0,111.0,108.11,108.79,426500
2018-06-04,108.0,111.15,107.51,110.71,766500
2018-06-05,111.18,112.0,109.5,111.0,1113400
2018-06-06,111.0,112.79,109.7,110.99,1584400
2018-06-07,110.5,111.0,108.5,109.01,597400
2018-06-11,109.5,109.91,103.56,103.56,1391900
2018-06-12,102.8,103.96,98.4,98.69,3333600
2018-06-13,99.98,103.5,99.25,103.02,1518100
2018-06-14,104.0,104.48,102.11,102.86,841800
2018-06-19,103.0,103.7,100.25,101.65,676500
2018-06-20,102.0,102.6,99.05,99.87,1485300
2018-06-21,99.01,102.47,97.75,101.11,2807700
2018-06-22,100.5,102.8,97.25,97.92,1061500
2018-06-25,97.95,98.0,93.03,93.08,2384500
2018-06-26,93.39,96.49,92.03,94.73,1322700
2018-06-27,94.98,99.46,94.5,99.46,1969600
2018-06-28,100.5,104.43,100.0,102.81,2541600
2018-06-29,103.49,103.95,101.01,101.7,804200
2018-07-02,101.98,102.8,100.01,100.52,419800
2018-07-03,100.01,100.85,98.8,98.97,317700
2018-07-04,98.98,98.98,94.03,94.27,718400
2018-07-05,96.0,96.5,93.1,94.35,513300
2018-07-06,93.1,96.9,93.03,95.39,470600
2018-07-09,95.94,96.05,90.63,90.72,1400400
2018-07-10,89.6,92.65,88.1,91.68,1381700
2018-07-11,92.0,93.48,88.85,89.52,747300
2018-07-12,89.52,91.95,87.53,90.31,725600
2018-07-13,90.75,90.75,87.1,89.47,587100
2018-07-16,89.02,89.39,85.0,85.06,1701200
2018-07-17,84.0,86.85,83.1,85.57,1677300
