Date,Open,High,Low,Close,Volume
2018-01-03,329.99,329.99,329.99,329.99,100
2018-01-05,345.0,345.0,345.0,345.0,100
2018-01-10,350.0,360.0,350.0,360.0,400
2018-01-11,370.0,378.0,370.0,378.0,700
2018-01-15,359.1,359.1,359.1,359.1,600
2018-01-19,355.0,355.0,355.0,355.0,100
2018-01-22,372.0,372.0,337.25,337.25,700
2018-01-29,354.0,354.0,354.0,354.0,200
2018-02-01,336.3,337.0,336.3,337.0,5200
2018-02-02,340.0,340.0,340.0,340.0,100
2018-02-06,323.0,323.0,323.0,323.0,500
2018-02-07,320.0,339.0,320.0,339.0,2100
2018-02-08,325.01,326.0,325.01,326.0,200
2018-02-09,342.0,342.0,342.0,342.0,100
2018-02-14,335.0,335.0,335.0,335.0,600
2018-02-16,330.0,330.01,325.0,328.76,2400
2018-02-19,335.0,336.0,330.0,330.0,700
2018-02-20,325.0,325.0,325.0,325.0,200
2018-02-21,325.0,329.99,325.0,329.99,300
2018-02-22,330.0,330.0,330.0,330.0,1200
2018-02-23,340.0,340.0,330.01,335.01,400
2018-02-27,330.0,335.0,330.0,335.0,1800
2018-02-28,335.0,335.0,335.0,335.0,1000
2018-03-01,349.0,349.0,340.0,340.0,400
2018-03-06,340.0,340.0,340.0,340.0,600
2018-03-08,340.0,340.0,340.0,340.0,100
2018-03-09,340.0,340.0,340.0,340.0,1000
2018-03-13,340.0,340.0,340.0,340.0,200
2018-03-14,340.0,340.0,340.0,340.0,1000
2018-03-15,340.0,340.0,340.0,340.0,100
2018-03-16,340.0,340.0,340.0,340.0,100
2018-03-19,325.0,339.5,325.0,339.5,2700
2018-03-22,325.0,350.0,325.0,350.0,3600
2018-03-27,355.0,355.0,355.0,355.0,200
2018-03-29,350.0,350.0,350.0,350.0,200
2018-04-02,360.0,360.0,360.0,360.0,100
2018-04-03,360.0,360.0,360.0,360.0,100
2018-04-12,360.0,360.0,360.0,360.0,100
2018-04-16,342.0,342.0,342.0,342.0,100
2018-04-17,342.0,342.0,342.0,342.0,300
2018-04-18,358.0,358.0,358.0,358.0,100
2018-04-19,340.1,340.1,340.1,340.1,300
2018-04-20,350.0,353.99,350.0,353.99,200
2018-04-25,345.0,345.0,345.0,345.0,600
2018-05-08,327.75,328.0,327.75,327.75,800
2018-05-16,335.0,335.0,335.0,335.0,100
2018-06-22,318.31,318.31,318.31,318.31,100
2018-06-26,329.95,329.95,329.95,329.95,100
2018-06-27,313.46,313.46,313.46,313.46,500
2018-06-29,313.8,313.8,313.8,313.8,100
2018-07-09,298.11,310.0,298.11,310.0,200
2018-07-11,294.5,294.6,294.5,294.6,200
2018-07-12,290.0,290.0,285.0,285.0,500
2018-07-23,275.9,275.9,275.9,275.9,200
2018-07-24,287.99,289.69,287.99,289.69,800
2018-07-26,303.99,304.17,303.99,304.05,300
2018-07-27,319.24,319.25,319.24,319.25,300
2018-07-30,325.01,335.21,333.0,335.21,1400
2018-07-31,335.0,335.0,330.0,330.0,1100
2018-08-02,329.9,330.0,329.9,329.97,700
2018-08-06,330.0,330.0,328.0,329.99,1400
2018-08-07,320.01,330.0,320.0,329.99,2200
2018-08-13,320.0,320.0,313.5,314.23,800
2018-08-15,298.52,298.52,298.52,298.52,1300
2018-08-16,283.6,304.95,283.6,304.95,3600
2018-08-27,290.01,290.01,289.71,289.74,1000
2018-08-28,294.99,294.99,294.99,294.99,300
2018-08-29,290.0,293.99,290.0,293.99,800
2018-09-05,281.0,289.98,279.3,289.98,1000
2018-09-06,287.0,287.98,284.0,287.49,700
2018-09-07,289.88,289.88,289.88,289.88,100
2018-09-14,282.01,289.98,282.01,289.98,300
2018-09-28,290.0,300.0,290.0,300.0,500
2018-10-01,0.0,300.0,300.0,300.0,8600
2018-10-03,285.0,294.98,285.0,292.49,1200
2018-10-04,294.98,294.98,294.98,294.98,200
2018-10-10,285.0,285.0,280.24,284.99,400
2018-10-12,270.75,274.89,270.75,274.89,1500
2018-10-15,278.98,278.98,278.98,278.98,200
2018-10-16,284.99,285.0,284.99,285.0,200
2018-10-24,285.0,294.98,285.0,291.24,400
2018-10-25,295.0,299.98,295.0,298.32,300
2018-10-26,290.0,294.95,283.41,294.95,1400
2018-10-29,0.0,294.95,294.95,294.95,100
2018-11-02,280.21,288.89,280.21,288.89,400
2018-11-13,274.45,288.85,274.45,288.85,400
2018-11-28,274.41,284.98,274.41,284.49,400
2018-12-03,270.27,284.99,270.27,284.99,1100
2018-12-05,283.0,284.0,283.0,284.0,300
2018-12-07,269.8,279.99,269.8,279.99,500
2018-12-10,267.0,274.95,266.0,274.95,700
2018-12-11,270.0,270.0,265.0,265.0,300
2018-12-12,260.0,260.0,255.0,258.57,700
2018-12-13,265.0,270.99,265.0,269.99,600
2018-12-14,270.0,281.9,270.0,280.02,1000
2018-12-17,266.02,269.99,266.02,269.99,700
2018-12-18,270.0,279.99,270.0,279.99,2700
2018-12-19,284.0,290.0,284.0,289.25,1300
2018-12-20,299.98,299.98,299.98,299.98,200
2018-12-26,298.0,300.0,298.0,300.0,300
2018-12-27,290.01,298.98,290.0,298.98,400
2018-12-28,284.04,284.04,284.04,284.04,100
2018-12-31,289.99,289.99,289.99,289.99,200
2019-01-07,275.5,299.99,275.5,299.99,300
2019-01-08,285.0,300.0,285.0,289.24,7300
2019-01-09,280.0,290.0,277.0,280.0,4900
2019-01-10,279.98,293.0,270.01,287.61,5100
2019-01-11,280.0,301.99,280.0,290.14,12500
