Date,Open,High,Low,Close,Volume
2018-01-01,6.3,6.31,6.17,6.21,2280500
2018-01-02,6.13,6.54,6.13,6.49,18297000
2018-01-03,6.49,6.99,6.4,6.75,47374000
2018-01-04,6.75,7.05,6.75,6.95,34058000
2018-01-05,6.99,7.04,6.81,6.86,11516000
2018-01-08,6.89,7.04,6.85,6.89,10975500
2018-01-09,6.92,6.92,6.63,6.69,5839000
2018-01-10,6.75,6.95,6.69,6.92,6485500
2018-01-11,6.6,6.75,6.48,6.67,18787000
2018-01-12,6.69,6.71,6.48,6.52,4317000
2018-01-15,6.5,6.52,6.36,6.4,3567000
2018-01-16,6.44,6.45,6.29,6.32,4114500
2018-01-17,6.35,6.4,6.19,6.26,6457000
2018-01-18,6.3,6.4,6.28,6.34,5775500
2018-01-19,6.35,6.57,6.31,6.51,4072000
2018-01-22,6.51,6.71,6.4,6.54,8728000
2018-01-23,6.55,6.55,6.43,6.5,5518500
2018-01-24,6.52,6.71,6.49,6.57,5918000
2018-01-25,6.55,6.92,6.55,6.78,13935500
2018-01-26,6.76,7.07,6.62,6.89,39164000
2018-01-29,6.85,6.89,6.71,6.73,2129000
2018-01-30,6.7,6.85,6.7,6.76,2481500
2018-01-31,6.79,6.8,6.63,6.68,3957000
2018-02-01,6.69,6.78,6.63,6.73,2421500
2018-02-02,6.75,6.95,6.72,6.88,12430000
2018-02-06,6.8,6.81,6.59,6.73,9683000
2018-02-07,6.72,6.86,6.65,6.68,4350000
2018-02-08,6.68,6.73,6.61,6.65,2430000
2018-02-09,6.61,6.7,6.58,6.66,5254000
2018-02-12,6.7,6.84,6.61,6.63,8647000
2018-02-13,6.65,6.7,6.54,6.56,3206000
2018-02-14,6.55,6.56,6.3,6.38,10670000
2018-02-15,6.49,6.49,6.2,6.26,7745500
2018-02-16,6.3,6.49,6.25,6.43,3302000
2018-02-19,6.45,6.45,6.33,6.35,1534500
2018-02-20,6.36,6.4,6.31,6.35,2263000
2018-02-21,6.36,6.42,6.22,6.25,8038000
2018-02-22,6.25,6.38,6.15,6.32,4590500
2018-02-23,6.35,6.38,6.17,6.2,6564000
2018-02-26,6.25,6.25,6.11,6.14,1355500
2018-02-27,6.19,6.25,6.12,6.2,4162000
2018-02-28,6.16,6.25,6.16,6.21,534000
2018-03-01,6.2,6.47,6.2,6.43,4690000
2018-03-02,6.4,6.54,6.35,6.38,8943500
2018-03-05,6.38,6.42,6.28,6.31,1369500
2018-03-06,6.35,6.37,6.26,6.26,1744500
2018-03-07,6.25,6.33,6.25,6.29,1708000
2018-03-08,6.3,6.3,6.15,6.17,9032000
2018-03-09,6.17,6.24,6.15,6.17,666500
2018-03-12,6.13,6.26,6.13,6.24,2255500
2018-03-13,6.26,6.28,6.2,6.25,807500
2018-03-14,6.21,6.3,6.21,6.28,1219000
2018-03-15,6.25,6.41,6.25,6.31,2699000
2018-03-16,6.32,6.4,6.25,6.26,2330000
2018-03-19,6.28,6.33,6.2,6.22,2239500
2018-03-20,6.25,6.36,6.21,6.26,5397500
2018-03-21,6.26,6.4,6.26,6.3,4567500
2018-03-22,6.32,6.48,6.29,6.31,8689000
2018-03-26,6.3,6.49,6.3,6.32,8051000
2018-03-27,6.45,6.7,6.45,6.57,30279500
2018-03-28,6.63,6.79,6.6,6.75,22616000
2018-03-29,6.79,7.02,6.7,6.99,50510000
2018-03-30,7.06,7.19,6.96,7.01,23825000
2018-04-02,7.17,7.17,6.85,6.88,9276500
2018-04-03,6.93,7.18,6.8,6.96,27817000
2018-04-04,7.03,7.15,6.95,6.99,12784500
