Date,Open,High,Low,Close,Volume
2018-01-01,66.85,69.0,66.85,68.28,1500
2018-01-02,70.65,70.68,69.0,69.7,2500
2018-01-03,68.0,68.0,66.22,67.12,87500
2018-01-04,67.99,68.0,67.99,68.0,5000
2018-01-05,67.9,69.94,66.0,67.21,146000
2018-01-08,67.5,69.0,67.5,68.0,12000
2018-01-09,68.0,70.49,67.5,68.09,56500
2018-01-10,71.39,71.48,69.99,71.48,62000
2018-01-11,71.0,71.0,70.0,70.11,58500
2018-01-15,67.52,69.0,67.52,69.0,5500
2018-01-16,70.0,70.0,70.0,70.0,6500
2018-01-17,69.0,69.0,69.0,69.0,37000
2018-01-18,71.0,72.45,70.99,72.1,1095000
2018-01-19,74.5,75.7,74.5,75.09,2500
2018-01-22,75.5,78.49,75.5,76.33,21500
2018-01-23,76.5,76.5,76.0,76.0,21500
2018-01-24,76.0,77.0,75.5,76.17,19000
2018-01-25,75.5,77.9,74.99,75.04,1279500
2018-01-26,75.0,78.79,74.99,76.26,191000
2018-01-29,75.0,75.01,75.0,75.01,7000
2018-02-02,75.0,76.0,75.0,76.0,64000
2018-02-07,76.0,76.01,76.0,76.0,1001500
2018-02-14,76.0,79.8,72.51,76.56,700500
2018-02-15,78.5,78.5,78.5,78.5,500
2018-02-20,0.0,78.28,0.0,78.28,0
2018-02-22,0.0,77.78,0.0,77.78,0
2018-02-26,74.0,74.0,74.0,74.0,500
2018-02-27,72.0,76.47,72.0,73.14,308000
2018-02-28,73.0,73.0,73.0,73.0,500
2018-03-01,73.0,73.0,72.9,73.0,327500
2018-03-02,72.5,75.95,71.78,73.81,41000
2018-03-06,71.3,71.3,71.2,71.2,1500
2018-03-09,71.0,71.0,70.21,70.21,5000
2018-03-20,70.0,71.0,70.0,70.0,36000
2018-03-21,71.0,71.0,69.0,69.0,31000
2018-03-22,69.0,69.0,69.0,69.0,1000
2018-03-26,68.0,68.0,68.0,68.0,2500
2018-03-27,68.95,68.95,68.0,68.0,3500
2018-03-28,69.0,69.0,67.0,67.0,86500
2018-03-30,70.35,70.35,70.35,70.35,500
2018-04-02,73.5,73.5,67.55,72.0,1500
2018-04-03,0.0,70.44,0.0,70.44,0
2018-04-04,73.5,73.5,69.0,69.89,1237000
2018-04-05,73.37,73.37,69.8,71.68,506000
2018-04-09,71.5,71.5,68.42,70.84,5500
2018-04-10,69.02,72.0,69.02,71.0,1500
2018-04-11,67.61,72.0,67.61,69.61,12500
2018-04-12,69.51,70.0,69.11,70.0,3000
2018-04-13,70.0,70.0,68.01,69.01,1000
2018-04-16,68.52,68.52,68.5,68.5,4000
2018-04-17,66.1,68.98,66.0,68.95,2500
2018-04-20,71.0,72.3,71.0,72.3,5500
2018-04-23,71.0,74.9,71.0,72.0,52500
2018-04-24,70.01,70.75,70.0,70.0,43000
2018-04-25,0.0,70.0,70.0,70.0,694500
2018-04-26,67.0,71.0,67.0,69.72,1059000
2018-05-02,69.49,69.49,69.49,69.49,500
2018-05-03,67.0,70.0,66.02,68.9,9500
2018-05-04,66.51,67.0,66.51,67.0,2000
2018-05-07,67.0,67.0,67.0,67.0,5000
2018-05-09,64.1,68.67,64.1,65.99,457000
2018-05-10,67.0,67.0,67.0,67.0,1000
2018-05-11,67.1,67.1,67.0,67.0,188500
2018-05-14,63.66,64.55,63.66,64.54,6500
2018-05-15,64.0,64.0,61.32,61.32,1511500
2018-05-16,61.5,62.0,61.5,62.0,6000
2018-05-17,61.6,61.6,61.32,61.5,1095500
2018-05-18,59.1,63.95,59.0,63.95,66500
2018-05-21,61.1,61.1,61.1,61.1,1000
2018-05-22,62.0,62.0,62.0,62.0,500
2018-05-23,61.98,61.98,58.91,60.56,4500
2018-05-24,0.0,60.56,60.56,60.56,700000
2018-05-25,57.55,61.49,57.55,60.18,1500
2018-05-28,61.85,61.85,61.85,61.85,500
2018-05-31,61.9,61.9,61.9,61.9,500
2018-06-05,61.0,61.0,60.01,60.99,244500
2018-06-06,0.0,60.99,60.99,60.99,2124000
