Date,Open,High,Low,Close,Volume
2018-01-01,7.22,7.37,7.08,7.32,1055500
2018-01-02,7.37,7.44,7.17,7.21,2503000
2018-01-03,7.16,7.77,7.15,7.68,8093000
2018-01-04,7.77,7.98,7.58,7.9,8726000
2018-01-05,7.95,8.36,7.74,8.24,9297000
2018-01-08,8.3,8.47,8.14,8.41,5649500
2018-01-09,8.27,8.3,8.1,8.23,2145000
2018-01-10,8.3,8.45,8.2,8.27,3808000
2018-01-11,8.25,8.32,7.75,7.79,10328000
2018-01-12,7.85,7.87,7.5,7.61,8437000
2018-01-15,7.55,7.85,7.55,7.69,2231000
2018-01-16,7.7,7.95,7.7,7.81,2815000
2018-01-17,7.89,8.25,7.73,8.14,6803500
2018-01-18,8.22,8.74,8.15,8.62,15426000
2018-01-19,8.73,8.88,8.5,8.73,7084500
2018-01-22,8.79,9.03,8.7,8.97,9463000
2018-01-23,9.0,9.0,8.69,8.8,5121000
2018-01-24,8.9,9.03,8.28,8.33,12546500
2018-01-25,8.35,8.4,8.11,8.16,7200000
2018-01-26,8.11,8.34,7.97,8.23,15986500
2018-01-29,8.3,8.44,8.21,8.28,5249000
2018-01-30,8.31,8.8,8.31,8.75,17426000
2018-01-31,8.85,8.85,8.59,8.62,7144500
2018-02-01,8.61,8.89,8.61,8.73,10786500
2018-02-02,8.85,9.18,8.55,9.06,49349500
2018-02-06,8.89,9.33,8.8,9.28,19451000
2018-02-07,9.4,9.44,9.12,9.16,8948000
2018-02-08,9.2,9.23,8.93,9.04,7613500
2018-02-09,9.04,9.3,8.94,9.19,14168500
2018-02-12,9.19,9.26,9.05,9.12,3863000
2018-02-13,9.15,9.37,9.06,9.14,10793500
2018-02-14,9.07,9.15,8.8,8.83,6788000
2018-02-15,8.83,8.98,8.4,8.54,10734000
2018-02-16,8.5,8.75,8.45,8.62,4754500
2018-02-19,8.75,8.83,8.52,8.62,5148500
2018-02-20,8.73,8.82,8.56,8.71,5750000
2018-02-21,8.85,8.98,8.73,8.83,9512500
2018-02-22,8.71,9.09,8.4,9.0,10244000
2018-02-23,9.0,9.19,8.62,8.69,11948500
2018-02-26,8.84,8.95,8.6,8.61,2661500
2018-02-27,8.62,8.89,8.59,8.84,3568500
2018-02-28,8.88,8.99,8.79,8.84,4047000
2018-03-01,8.9,9.1,8.83,8.93,11418500
2018-03-02,9.0,9.12,8.87,8.9,5999500
2018-03-05,8.94,8.97,8.83,8.86,1338500
2018-03-06,8.83,8.95,8.7,8.73,2402500
2018-03-07,8.71,8.78,8.6,8.61,1774000
2018-03-08,8.61,8.73,8.56,8.62,1510500
2018-03-09,8.62,8.98,8.6,8.72,6850500
2018-03-12,8.88,9.08,8.81,9.02,12757500
2018-03-13,9.15,9.19,9.06,9.1,7166000
2018-03-14,9.18,9.9,9.13,9.77,32208000
2018-03-15,9.81,10.22,9.81,10.15,34703500
2018-03-16,10.23,10.37,9.9,10.01,13288500
2018-03-19,10.0,10.5,9.97,10.35,20105000
2018-03-20,10.45,10.54,10.02,10.09,13195000
2018-03-21,10.14,10.57,9.9,10.37,16491000
2018-03-22,10.56,10.69,10.41,10.45,15119500
