Date,Open,High,Low,Close,Volume
2018-01-01,1451.0,1470.0,1430.0,1438.12,1360
2018-01-02,1467.99,1507.99,1465.0,1501.42,6700
2018-01-03,1538.0,1540.0,1480.0,1492.3,85480
2018-01-04,1508.76,1525.0,1500.0,1500.1,18600
2018-01-05,1481.01,1520.0,1481.01,1497.79,6940
2018-01-08,1500.0,1515.0,1494.0,1509.85,8900
2018-01-09,1510.0,1510.0,1481.01,1487.08,5200
2018-01-10,1500.0,1517.86,1474.0,1498.02,21000
2018-01-11,1500.0,1505.0,1480.0,1487.48,12100
2018-01-12,1490.0,1500.0,1470.0,1489.71,10900
2018-01-15,1497.99,1497.99,1470.0,1473.84,2860
2018-01-16,1485.0,1500.0,1485.0,1498.71,3300
2018-01-17,1500.0,1509.9,1494.5,1500.46,36260
2018-01-18,1515.4,1535.4,1502.0,1511.93,40900
2018-01-19,1501.0,1501.0,1494.1,1499.98,15960
2018-01-22,1500.0,1509.99,1475.0,1503.47,31100
2018-01-23,1510.0,1510.0,1490.0,1501.48,11500
2018-01-24,1500.0,1520.0,1440.0,1510.57,86940
2018-01-25,1515.2,1550.0,1515.2,1536.56,12340
2018-01-26,1540.0,1540.0,1520.0,1531.2,11940
2018-01-29,1515.0,1530.0,1515.0,1525.1,260
2018-01-30,1520.1,1560.0,1520.0,1551.67,8680
2018-01-31,1516.01,1569.75,1516.01,1561.53,12900
2018-02-01,1564.97,1590.0,1564.97,1584.71,2420
2018-02-02,1588.0,1611.8,1566.0,1595.52,6340
2018-02-06,1540.0,1610.0,1540.0,1595.1,42740
2018-02-07,1669.99,1669.99,1575.0,1582.02,6640
2018-02-08,1599.74,1599.74,1565.0,1568.75,3280
2018-02-09,1561.0,1600.0,1561.0,1581.89,11740
2018-02-12,1580.0,1580.0,1560.0,1572.24,8660
2018-02-13,1590.0,1590.0,1575.0,1578.97,920
2018-02-14,1575.0,1575.0,1535.0,1548.85,16080
2018-02-15,1535.01,1598.0,1525.63,1540.01,10580
2018-02-16,1555.0,1580.0,1554.5,1560.06,7160
2018-02-19,1560.0,1580.0,1549.99,1560.7,10220
2018-02-20,1560.0,1565.0,1520.0,1552.47,4320
2018-02-21,1566.0,1566.0,1539.98,1541.6,2600
2018-02-22,1530.0,1567.0,1530.0,1563.59,5080
2018-02-23,1550.0,1580.0,1530.0,1562.64,5200
2018-02-26,1549.0,1561.0,1530.02,1551.44,760
2018-02-27,1528.0,1550.0,1525.01,1534.86,700
2018-02-28,1536.5,1540.0,1458.12,1471.89,76840
2018-03-01,1477.99,1490.0,1425.01,1440.05,46060
2018-03-02,1440.4,1445.0,1425.0,1425.81,18480
2018-03-05,1428.0,1434.99,1425.0,1429.86,9360
2018-03-06,1431.0,1431.0,1428.0,1428.82,15800
2018-03-07,1410.0,1425.25,1410.0,1420.78,7580
2018-03-08,1423.0,1425.0,1411.0,1418.2,9360
2018-03-09,1418.1,1420.3,1412.0,1418.01,2260
2018-03-12,1420.0,1425.0,1420.0,1424.63,4840
2018-03-13,1429.99,1438.5,1429.99,1430.35,20200
2018-03-14,1427.0,1429.98,1420.51,1425.61,3500
2018-03-15,1429.0,1429.95,1420.0,1424.73,4420
2018-03-16,1420.2,1428.9,1395.0,1421.62,22860
2018-03-19,1410.01,1425.0,1410.0,1420.49,4980
2018-03-20,1429.98,1452.5,1429.98,1450.01,24200
2018-03-21,1464.99,1475.0,1450.0,1451.25,3580
2018-03-22,1473.99,1474.0,1455.0,1461.17,5760
2018-03-26,1461.15,1485.0,1461.0,1479.37,10220
2018-03-27,1480.0,1480.0,1448.0,1452.14,23600
2018-03-28,1459.99,1465.0,1451.0,1458.72,700
2018-03-29,1445.51,1462.0,1445.0,1460.53,19340
2018-03-30,1450.0,1490.0,1432.0,1480.56,9840
2018-04-02,1486.0,1487.0,1458.0,1471.03,2880
2018-04-03,1480.0,1480.0,1456.0,1465.35,8360
2018-04-04,1460.05,1500.0,1460.05,1486.64,49820
2018-04-05,1500.0,1510.0,1488.0,1490.53,24120
2018-04-06,1481.0,1525.0,1481.0,1517.35,183060
2018-04-09,1523.5,1547.84,1499.99,1517.04,8500
2018-04-10,1510.0,1530.0,1510.0,1529.0,2740
2018-04-11,1505.5,1548.9,1505.5,1534.0,4960
2018-04-12,1540.0,1550.0,1500.01,1522.28,14120
2018-04-13,1529.9,1535.0,1502.15,1517.64,460
2018-04-16,1517.64,1548.99,1515.0,1536.01,63600
2018-04-17,1500.0,1548.88,1500.0,1529.74,53760
2018-04-18,1521.0,1521.55,1515.0,1515.25,9420
2018-04-19,1528.0,1529.0,1515.0,1522.92,9420
2018-04-20,1510.01,1540.0,1510.01,1540.0,65740
2018-04-23,1549.49,1549.49,1520.0,1520.67,460
2018-04-24,1530.0,1540.0,1511.0,1533.12,4280
2018-04-25,1530.0,1534.0,1520.0,1531.74,1320
2018-04-26,1539.99,1539.99,1521.01,1522.34,680
2018-04-27,1521.99,1529.99,1500.2,1516.58,59800
2018-04-30,1528.99,1548.99,1528.99,1537.79,5460
2018-05-02,1525.01,1551.0,1521.1,1550.04,4500
2018-05-03,1550.0,1551.2,1540.0,1545.67,2740
2018-05-04,1529.0,1550.0,1529.0,1550.0,9520
2018-05-07,1550.0,1567.79,1550.0,1550.14,13980
2018-05-08,1506.0,1600.0,1506.0,1593.97,92560
2018-05-09,1600.0,1620.0,1530.11,1589.69,45480
2018-05-10,1570.01,1580.0,1570.0,1572.22,6400
