Date,Open,High,Low,Close,Volume
2018-01-01,68.44,68.5,67.05,67.98,242500
2018-01-02,67.9,71.2,67.4,70.3,2634500
2018-01-03,70.3,71.65,69.11,71.35,2849500
2018-01-04,71.11,73.7,71.11,73.46,2289500
2018-01-05,73.5,77.13,73.46,77.01,2774000
2018-01-08,77.59,78.94,76.2,77.22,2064500
2018-01-09,77.22,77.22,75.0,76.39,1312000
2018-01-10,76.5,80.0,76.5,79.88,2002000
2018-01-11,80.43,83.3,79.0,81.02,2453500
2018-01-12,82.49,82.49,78.5,79.23,783500
2018-01-15,78.99,79.98,78.07,78.34,215000
2018-01-16,78.5,80.75,78.06,78.53,861000
2018-01-17,79.15,79.74,77.05,79.5,567500
2018-01-18,79.5,81.44,78.65,80.49,744000
2018-01-19,81.3,84.0,81.3,83.01,3048000
2018-01-22,83.1,87.16,82.1,87.16,994500
2018-01-23,87.9,90.85,85.5,86.65,1067000
2018-01-24,87.4,89.0,86.5,87.4,1431500
2018-01-25,87.5,87.5,84.1,85.03,374000
2018-01-26,84.7,88.0,83.51,86.68,1737500
2018-01-29,86.1,86.1,82.35,82.59,1283500
2018-01-30,82.75,83.65,81.7,82.34,215000
2018-01-31,82.89,82.9,81.25,81.91,1143000
2018-02-01,82.9,82.9,80.5,80.92,2323500
2018-02-02,81.0,81.2,79.05,79.61,690500
2018-02-06,78.56,79.01,77.16,78.75,429500
2018-02-07,79.4,80.24,78.2,79.13,239000
2018-02-08,79.13,79.5,75.51,76.84,1219000
2018-02-09,76.0,77.28,75.2,76.09,1141500
2018-02-12,77.0,77.5,75.02,75.48,459500
2018-02-13,76.9,79.25,75.61,76.12,446000
2018-02-14,76.15,76.74,73.4,74.07,512000
2018-02-15,74.1,75.5,70.81,71.61,431000
2018-02-16,72.1,72.1,69.0,69.76,835500
2018-02-19,69.6,70.38,68.61,69.07,748500
2018-02-20,69.49,69.49,65.62,66.39,2117500
2018-02-21,67.05,67.5,63.11,63.39,6223500
2018-02-22,62.0,65.56,61.5,65.32,4687500
2018-02-23,65.6,66.95,64.6,65.07,2823500
2018-02-26,66.0,66.39,64.82,65.27,454500
2018-02-27,65.5,67.39,65.4,66.74,988000
2018-02-28,67.0,67.9,66.99,67.5,520500
2018-03-01,67.52,70.87,67.51,70.87,3095500
2018-03-02,72.0,74.41,72.0,74.41,1533500
2018-03-05,75.45,76.9,73.59,76.1,2147000
2018-03-06,76.9,78.75,76.1,76.42,1147000
2018-03-07,76.9,76.9,72.98,73.25,781000
2018-03-08,72.75,74.05,70.5,73.31,1514500
2018-03-09,73.51,74.41,71.2,71.93,625000
2018-03-12,70.55,72.49,70.28,72.29,416500
2018-03-13,72.5,73.0,71.5,71.78,410000
2018-03-14,71.6,72.4,70.5,71.39,419000
2018-03-15,71.15,72.0,71.0,71.78,279500
2018-03-16,71.41,71.5,70.5,70.55,122000
2018-03-19,70.55,71.01,69.45,69.91,819500
2018-03-20,70.2,71.73,69.77,70.66,2639000
2018-03-21,70.66,71.32,70.58,71.0,650000
2018-03-22,71.25,72.7,70.69,71.84,742000
2018-03-26,72.59,72.59,71.52,71.91,321000
2018-03-27,72.0,73.3,71.15,71.67,754000
2018-03-28,72.5,72.5,71.55,72.09,1017500
2018-03-29,72.4,72.9,71.8,72.2,946000
2018-03-30,71.9,72.0,70.55,70.83,641000
2018-04-02,71.85,74.37,71.85,74.37,1660000
2018-04-03,74.88,76.8,74.5,76.22,3477000
2018-04-04,76.5,77.76,76.05,77.02,4615000
2018-04-05,76.5,79.25,76.5,78.54,6221500
2018-04-06,79.25,80.25,78.1,79.06,9859500
2018-04-09,79.99,80.4,78.3,78.55,333000
2018-04-10,78.5,78.99,77.15,78.45,286500
2018-04-11,77.7,78.5,77.5,77.79,298000
2018-04-12,77.5,78.0,77.15,77.7,165500
2018-04-13,77.05,77.8,75.9,76.01,583000
2018-04-16,76.68,76.7,74.25,74.82,241500
2018-04-17,74.21,76.7,74.1,75.79,343000
2018-04-18,75.8,77.45,74.75,75.14,508500
2018-04-19,75.25,75.3,72.0,72.65,260500
2018-04-20,72.9,73.75,72.3,72.66,63500
2018-04-23,72.07,73.7,71.15,73.01,214500
2018-04-24,73.0,74.5,72.8,73.4,400500
2018-04-25,72.5,73.99,71.51,71.73,204000
2018-04-26,71.0,71.5,70.6,71.26,255000
2018-04-27,71.11,71.11,69.5,69.67,305000
2018-04-30,69.08,70.46,68.1,69.16,519500
2018-05-02,69.16,69.9,68.5,68.79,245500
2018-05-03,69.0,69.24,65.36,67.35,277500
2018-05-04,67.99,68.3,66.5,67.99,264000
2018-05-07,68.0,68.31,66.21,67.02,381500
2018-05-08,66.55,67.0,65.6,66.08,422500
2018-05-09,65.66,66.8,62.78,63.15,2390500
2018-05-10,63.0,66.3,62.0,66.3,1397500
2018-05-11,66.76,69.61,65.66,66.02,3076000
2018-05-14,64.12,65.15,63.2,64.3,681500
2018-05-15,63.26,67.51,62.75,66.79,2436500
2018-05-16,67.25,67.4,65.49,65.67,488500
2018-05-17,63.56,65.84,63.01,63.59,82500
2018-05-18,62.5,64.0,62.5,63.54,508000
2018-05-21,63.9,65.5,63.7,64.51,199500
2018-05-22,66.0,67.71,64.5,67.04,247500
2018-05-23,67.5,67.95,66.12,67.33,704000
2018-05-24,67.5,68.5,66.01,67.23,254500
2018-05-25,67.0,67.79,66.25,66.54,177000
2018-05-28,66.0,68.4,64.0,65.01,744000
2018-05-29,64.5,66.5,64.5,65.99,2014000
2018-05-30,66.3,66.3,65.25,65.82,245500
2018-05-31,65.5,66.5,64.05,64.41,501000
2018-06-01,64.01,64.99,63.5,64.51,46000
2018-06-04,64.25,65.5,64.02,65.02,268000
2018-06-05,64.5,67.5,64.5,65.19,2557000
2018-06-06,65.01,65.86,64.55,65.35,376000
2018-06-07,65.7,65.87,64.6,64.76,810000
2018-06-11,64.35,64.9,61.6,61.8,690500
2018-06-12,62.49,62.49,58.75,58.89,349500
2018-06-13,57.51,60.2,57.5,58.82,387500
2018-06-14,59.01,59.85,58.51,58.94,424500
2018-06-19,59.4,60.5,57.6,58.92,575500
2018-06-20,58.8,58.9,56.8,57.05,429000
2018-06-21,56.02,56.1,54.2,54.21,8762500
2018-06-22,54.35,55.25,51.5,51.57,2078500
2018-06-25,51.27,51.9,49.0,49.0,1535500
2018-06-26,48.7,50.7,47.2,47.87,2186000
2018-06-27,48.39,50.26,47.65,50.25,2134000
2018-06-28,50.51,52.76,49.36,52.72,3284500
2018-06-29,53.39,54.35,50.11,50.74,1755500
2018-07-02,51.4,51.5,49.2,50.68,1152500
2018-07-03,50.35,52.74,50.3,51.18,3004000
2018-07-04,51.29,51.29,48.63,48.63,3663500
2018-07-05,48.49,49.2,46.2,46.6,3086500
2018-07-06,45.6,47.8,45.6,46.66,1922500
2018-07-09,47.25,47.44,44.33,44.33,1048500
2018-07-10,43.5,43.75,42.12,42.85,8731500
2018-07-11,42.95,44.25,42.35,43.06,2643500
2018-07-12,42.36,43.3,41.91,43.09,885500
2018-07-13,43.0,43.5,41.75,41.98,1230500
2018-07-16,42.0,42.0,39.89,39.9,2574000
2018-07-17,39.88,41.89,39.0,41.88,2644000
2018-07-18,43.0,43.97,42.6,43.97,2407500
2018-07-19,45.0,46.16,45.0,46.16,874000
2018-07-20,47.89,47.89,45.72,46.04,2764000
2018-07-23,45.4,46.0,44.4,44.58,1568500
2018-07-24,45.0,46.8,45.0,46.59,5798500
2018-07-26,47.5,48.91,46.35,48.64,2793500
2018-07-27,49.0,51.07,48.75,51.07,7435500
2018-07-30,52.25,53.62,52.25,53.62,2932000
2018-07-31,55.49,56.3,53.6,54.13,9683500
2018-08-01,54.89,56.83,52.8,56.12,10998000
2018-08-02,57.15,57.5,55.0,55.6,3729000
2018-08-03,55.0,55.95,54.22,54.48,1784000
2018-08-06,54.48,56.65,53.8,56.33,3487000
2018-08-07,56.7,59.14,56.45,58.88,6069000
2018-08-08,59.49,59.89,57.56,57.89,3935000
2018-08-09,57.95,60.78,57.31,60.78,5958000
2018-08-10,61.15,62.58,59.05,59.69,4108000
2018-08-13,58.16,60.7,58.16,59.34,2454500
2018-08-15,59.6,60.5,58.5,58.79,2790500
2018-08-16,58.92,59.0,55.9,56.41,4314500
2018-08-17,57.0,59.1,57.0,58.28,5457500
2018-08-20,59.01,59.39,58.05,58.44,6007000
2018-08-24,56.5,58.15,56.5,57.55,1342000
2018-08-27,58.0,58.0,55.5,55.96,3363000
2018-08-28,55.95,57.15,55.81,55.98,1970000
2018-08-29,56.04,56.05,53.2,53.65,2522000
2018-08-30,53.64,54.4,52.6,54.07,3026500
2018-08-31,54.65,54.69,51.75,52.29,1980000
2018-09-03,52.02,53.2,50.7,52.54,4178000
2018-09-04,52.85,55.16,52.6,55.16,6585000
2018-09-05,55.81,56.42,54.79,55.89,7185000
2018-09-06,55.52,55.8,53.79,54.06,5125500
2018-09-07,53.4,55.02,52.05,52.61,1553500
2018-09-10,52.88,53.5,51.0,52.19,1695500
2018-09-11,52.85,53.2,51.3,51.66,2184500
2018-09-12,51.98,52.0,50.55,51.18,1834000
2018-09-13,51.0,53.5,50.1,51.06,21932500
2018-09-14,51.51,51.9,48.6,49.18,12792000
2018-09-17,49.0,49.2,46.73,46.76,4003000
2018-09-18,46.02,49.09,46.0,49.09,9459000
2018-09-19,49.79,50.11,48.53,49.24,2968500
2018-09-24,49.5,49.51,47.05,47.4,2399500
2018-09-25,47.4,49.77,46.79,48.95,2820000
2018-09-26,49.16,49.75,48.21,48.9,2642000
2018-09-27,48.5,48.85,46.8,47.99,1251500
2018-09-28,48.25,48.75,46.6,47.1,1301500
2018-10-01,46.01,47.7,46.0,46.99,1068500
2018-10-02,47.0,47.75,46.55,46.74,1098500
2018-10-03,47.2,47.2,45.5,45.91,756000
2018-10-04,45.5,45.65,43.75,44.11,969500
2018-10-05,43.11,43.95,41.91,41.97,2917000
2018-10-08,41.95,42.25,39.88,39.88,4123500
2018-10-09,40.0,41.87,38.02,38.37,5278000
2018-10-10,38.51,39.95,36.46,39.18,4490000
2018-10-11,38.61,40.0,38.06,38.31,1616500
2018-10-12,37.56,38.0,36.4,36.53,1546500
2018-10-15,36.4,36.56,34.71,35.66,4474000
2018-10-16,36.0,37.39,35.66,36.07,3056000
2018-10-17,36.0,37.87,35.3,37.87,4905000
2018-10-18,37.99,38.71,36.65,38.32,3902500
2018-10-19,38.35,40.23,37.36,40.18,5234500
2018-10-22,40.5,41.4,38.85,39.25,6571000
2018-10-23,39.26,39.26,37.29,37.29,2831500
2018-10-24,39.02,39.15,38.99,39.15,4090000
2018-10-25,40.9,41.1,39.81,41.1,7740500
2018-10-26,41.0,43.15,40.2,43.15,4212500
2018-10-29,45.3,45.3,45.3,45.3,220000
2018-10-30,47.56,47.56,47.56,47.56,671500
2018-10-31,48.6,49.93,47.0,49.93,7431000
2018-11-01,50.0,52.42,49.26,52.3,9156000
2018-11-02,53.0,54.91,51.7,54.61,11801000
2018-11-05,53.0,53.4,51.88,51.88,2763500
