Date,Open,High,Low,Close,Volume
2018-01-01,1160.0,1170.0,1160.0,1165.0,820
2018-01-02,1165.0,1200.0,1159.99,1192.5,16520
2018-01-03,1195.0,1209.0,1180.0,1180.86,84600
2018-01-04,1189.9,1200.0,1186.01,1193.29,92640
2018-01-05,1197.0,1217.99,1170.0,1181.35,77880
2018-01-08,1181.99,1240.0,1181.99,1232.36,132160
2018-01-09,1245.03,1252.0,1203.02,1207.39,43620
2018-01-10,1214.0,1267.75,1211.0,1264.99,167280
2018-01-11,1279.99,1306.0,1264.0,1269.91,180060
2018-01-12,1279.47,1291.0,1240.0,1248.07,56020
2018-01-15,1251.0,1260.0,1215.03,1229.8,17860
2018-01-16,1248.89,1273.0,1242.0,1266.97,71580
2018-01-17,1264.0,1275.0,1249.89,1270.4,75100
2018-01-18,1288.0,1303.0,1253.06,1294.29,69740
2018-01-19,1295.0,1359.0,1280.0,1359.0,166020
2018-01-22,1365.0,1379.0,1355.02,1365.33,72140
2018-01-23,1357.01,1360.0,1335.0,1339.51,51060
2018-01-24,1341.0,1352.0,1320.0,1339.29,69540
2018-01-25,1342.0,1342.0,1320.0,1324.82,16400
2018-01-26,1320.0,1325.0,1310.0,1315.5,9140
2018-01-29,1312.0,1315.5,1296.0,1309.38,17940
2018-01-30,1311.0,1335.0,1311.0,1316.73,16580
2018-01-31,1320.0,1334.0,1315.01,1319.69,11420
2018-02-01,1320.0,1328.99,1300.0,1306.67,11460
2018-02-02,1300.0,1317.8,1241.34,1285.8,27880
2018-02-06,1280.0,1310.0,1245.0,1291.77,16040
2018-02-07,1299.01,1317.0,1280.0,1288.18,14300
2018-02-08,1304.99,1305.0,1272.0,1291.87,20200
2018-02-09,1290.0,1299.0,1275.05,1294.25,12160
2018-02-12,1299.0,1299.0,1275.0,1280.44,14020
2018-02-13,1280.0,1290.0,1270.0,1279.64,7000
2018-02-14,1275.0,1283.0,1271.01,1279.01,15520
2018-02-15,1285.0,1325.0,1284.0,1293.11,28000
2018-02-16,1299.99,1300.0,1285.5,1292.49,5220
2018-02-19,1300.0,1300.0,1277.0,1281.77,3400
2018-02-20,1280.0,1288.99,1270.0,1273.21,10940
2018-02-21,1299.98,1305.0,1277.0,1291.73,22560
2018-02-22,1291.73,1346.0,1281.0,1336.76,125000
2018-02-23,1349.0,1349.0,1320.0,1324.71,51560
2018-02-26,1327.01,1350.0,1322.0,1336.18,37480
2018-02-27,1343.97,1362.99,1335.0,1350.38,57160
2018-02-28,1353.0,1379.95,1353.0,1375.2,64840
2018-03-01,1372.01,1395.99,1370.0,1390.67,65780
2018-03-02,1400.0,1406.0,1380.0,1384.88,37020
2018-03-05,1388.0,1388.0,1352.0,1369.54,17060
