Date,Open,High,Low,Close,Volume
2018-01-01,770.0,789.98,770.0,784.98,450
2018-01-02,785.0,790.0,771.0,780.0,500
2018-01-03,785.0,785.0,768.0,783.95,1200
2018-01-04,789.0,799.99,789.0,794.5,100
2018-01-05,799.99,799.99,775.0,784.66,200
2018-01-08,799.0,799.0,773.0,773.0,1650
2018-01-09,770.0,770.0,770.0,770.0,500
2018-01-10,775.0,798.0,762.25,764.25,1700
2018-01-11,765.0,802.46,765.0,802.46,6500
2018-01-12,810.05,826.99,781.0,798.0,3050
2018-01-15,800.0,800.0,760.01,787.89,2200
2018-01-16,797.0,804.98,790.0,793.33,3600
2018-01-17,795.0,832.99,795.0,807.91,62650
2018-01-18,791.16,806.99,790.0,799.0,5150
2018-01-19,836.9,836.9,795.0,806.0,1650
2018-01-22,829.85,829.85,780.0,785.16,3400
2018-01-23,802.98,802.98,776.0,788.23,950
2018-01-24,780.0,819.9,775.0,819.9,2700
2018-01-25,815.0,815.0,795.5,800.0,6850
2018-01-26,804.9,805.0,785.01,800.0,1650
2018-01-29,810.0,810.0,787.31,799.0,3150
2018-01-30,796.99,796.99,790.0,793.0,1050
2018-01-31,800.0,807.0,779.0,789.95,1150
2018-02-01,797.89,829.44,797.89,829.44,16750
2018-02-02,870.91,870.91,870.91,870.91,250
2018-02-06,914.45,914.45,914.45,914.45,950
2018-02-07,960.17,960.17,960.17,960.17,150
2018-02-08,1008.17,1008.17,1008.17,1008.17,150
2018-02-09,1058.57,1058.57,1022.0,1040.01,36250
2018-02-12,1036.0,1036.0,988.01,988.55,18150
2018-02-13,961.05,1035.6,955.0,1002.23,15500
2018-02-14,1000.0,1002.0,953.02,994.37,4850
2018-02-15,999.85,1002.0,960.0,962.6,2800
2018-02-16,965.0,984.5,965.0,982.0,350
2018-02-19,994.5,999.0,970.0,973.0,2600
2018-02-20,960.0,983.0,924.35,964.88,1100
2018-02-21,980.0,1004.0,956.0,958.42,8600
2018-02-22,950.06,962.0,910.5,910.5,23600
2018-02-23,871.01,880.0,864.98,864.98,7350
2018-02-26,821.74,821.74,821.74,821.74,1000
2018-02-27,780.66,840.0,780.66,780.66,30650
2018-02-28,784.0,787.0,756.06,776.53,10750
2018-03-01,770.01,789.79,770.0,773.27,4700
2018-03-02,775.0,790.0,761.0,770.85,5050
2018-03-05,780.0,789.98,770.02,771.26,3750
2018-03-06,771.0,774.97,768.1,769.11,3750
2018-03-07,763.01,776.9,760.0,768.79,4750
2018-03-08,750.11,769.88,750.0,762.16,3650
2018-03-09,785.0,785.0,750.25,755.75,2350
2018-03-12,749.0,749.5,745.0,747.14,750
2018-03-13,740.11,748.49,730.0,737.43,1950
2018-03-14,740.0,740.0,726.0,730.83,1600
2018-03-15,730.01,738.0,725.0,730.65,2050
2018-03-16,730.0,740.0,725.01,734.0,1600
2018-03-19,737.5,740.0,726.1,740.0,1150
2018-03-20,731.15,750.0,731.15,745.0,2700
2018-03-21,754.99,780.9,749.9,754.07,2900
2018-03-22,764.98,764.98,745.5,759.96,500
2018-03-26,763.95,763.95,750.0,761.72,1300
2018-03-27,741.25,758.0,741.25,757.5,650
2018-03-28,759.9,759.9,758.85,758.86,350
2018-03-29,755.0,796.8,746.32,796.77,7100
2018-03-30,810.0,817.0,790.0,807.67,8750
2018-04-02,807.67,809.99,783.31,798.56,2350
2018-04-03,800.0,808.5,772.0,808.5,1550
2018-04-04,785.51,799.5,781.0,797.4,2150
2018-04-05,776.0,815.0,776.0,791.88,2450
2018-04-06,813.0,813.0,784.0,793.48,2800
2018-04-09,790.1,790.1,754.01,756.71,18350
2018-04-10,765.0,765.0,755.1,755.5,2050
2018-04-11,764.33,765.0,759.0,759.67,950
2018-04-12,775.0,775.0,751.0,757.9,8350
2018-04-13,753.0,765.0,750.01,760.0,1150
2018-04-16,752.0,752.0,740.0,746.37,1800
2018-04-17,742.51,745.01,742.0,745.01,400
2018-04-18,745.0,750.0,740.0,742.17,2250
2018-04-19,743.0,743.0,737.0,740.0,350
2018-04-20,735.11,755.0,735.0,750.4,900
2018-04-23,763.99,763.99,749.98,749.98,1150
2018-04-24,746.0,757.5,745.0,756.75,1050
2018-04-26,740.0,768.9,740.0,768.45,4350
2018-04-27,760.0,787.0,760.0,777.45,7500
2018-04-30,795.0,807.0,780.0,780.0,11800
2018-05-02,790.0,790.0,762.0,784.5,1200
2018-05-03,770.1,778.99,761.1,773.03,450
2018-05-04,787.0,787.0,777.0,782.5,1650
2018-05-07,797.0,797.5,778.0,778.5,1800
2018-05-08,772.0,784.99,757.0,784.99,2750
2018-05-09,787.0,788.99,750.0,753.74,2250
2018-05-10,753.0,775.85,753.0,774.33,650
2018-05-11,748.0,752.0,740.0,741.0,1900
2018-05-14,732.01,732.01,705.0,714.49,2950
2018-05-15,701.0,750.21,690.11,750.21,6300
2018-05-16,750.01,750.01,741.0,750.0,2100
2018-05-17,725.32,725.32,725.11,725.25,600
2018-05-18,748.99,760.0,747.0,756.49,5100
2018-05-21,750.05,768.95,750.05,768.95,600
2018-05-22,770.0,770.0,760.0,768.34,900
2018-05-23,761.0,775.0,760.05,761.0,2600
2018-05-24,757.0,757.0,751.06,751.06,1000
2018-05-25,745.0,764.75,740.01,748.14,1550
2018-05-28,757.5,757.75,757.5,757.63,100
2018-05-29,735.45,757.99,735.45,757.99,100
2018-05-30,750.0,750.01,748.0,749.99,350
2018-05-31,761.0,761.0,761.0,761.0,2050
2018-06-01,774.95,774.95,774.95,774.95,100
2018-06-04,760.0,760.0,760.0,760.0,50
2018-06-05,765.0,765.0,751.0,751.1,4800
2018-06-06,768.0,768.0,768.0,768.0,50
2018-06-07,772.0,779.98,760.1,765.3,2900
2018-06-12,745.0,779.0,740.11,753.17,1550
2018-06-13,750.0,754.8,744.1,745.0,900
2018-06-14,767.75,767.75,767.0,767.42,150
2018-06-19,740.11,759.99,740.11,759.99,300
2018-06-21,730.5,750.0,730.11,749.96,700
2018-06-22,726.0,749.99,726.0,749.99,2050
2018-06-25,728.0,740.0,725.11,739.73,3800
2018-06-26,0.0,739.73,739.73,739.73,600
2018-06-27,738.9,739.0,721.12,734.45,4850
2018-06-28,733.0,738.4,733.0,737.04,3550
2018-06-29,725.0,725.0,725.0,725.0,500
2018-07-02,730.01,730.01,730.0,730.0,2100
2018-07-03,730.05,730.05,730.0,730.0,4500
2018-07-04,730.0,746.9,720.11,746.88,3950
2018-07-06,725.25,725.25,725.25,725.25,50
2018-07-09,715.21,724.99,715.21,724.99,150
2018-07-10,716.25,716.25,703.51,715.0,900
2018-07-11,715.0,720.0,715.0,716.83,950
2018-07-13,720.0,720.0,716.0,716.67,550
2018-07-16,711.08,718.92,707.0,718.11,3200
2018-07-17,718.0,738.99,718.0,735.47,1050
2018-07-18,725.0,739.85,720.0,732.0,5450
2018-07-19,762.0,762.0,730.0,730.0,3500
2018-07-20,730.01,730.01,730.0,730.0,1400
2018-07-23,725.0,725.0,725.0,730.0,200
2018-07-24,749.5,749.5,740.0,740.0,100
2018-07-26,740.0,740.0,720.11,739.5,1100
2018-07-27,721.0,739.9,721.0,729.76,1400
2018-07-30,750.0,750.0,737.01,737.01,250
2018-07-31,740.0,759.75,740.0,744.0,1550
2018-08-01,731.0,732.0,731.0,732.0,1000
2018-08-02,730.0,733.5,721.0,733.25,3500
2018-08-03,730.0,749.99,726.12,748.0,4300
2018-08-06,735.0,740.0,735.0,738.0,200
2018-08-07,740.0,740.0,738.5,738.5,300
2018-08-08,743.0,748.5,743.0,745.1,2450
2018-08-09,751.0,763.99,750.01,759.94,1300
2018-08-10,760.0,760.0,760.0,760.0,250
2018-08-13,751.0,769.99,749.0,769.95,1550
2018-08-15,752.0,760.0,751.0,760.0,700
2018-08-16,785.0,785.0,755.01,777.5,1100
2018-08-17,815.0,815.5,785.0,793.33,900
2018-08-20,799.99,800.0,790.01,798.5,2600
