Date,Open,High,Low,Close,Volume
2018-01-01,310.06,310.06,308.0,308.0,1200
2018-01-02,310.0,323.4,293.0,308.0,3000
2018-01-03,318.0,320.0,312.0,312.0,1900
2018-01-04,306.2,307.0,306.2,307.0,300
2018-01-08,310.0,322.0,310.0,322.0,2400
2018-01-09,313.5,322.0,306.03,321.75,2200
2018-01-10,324.98,324.98,320.0,320.0,300
2018-01-11,318.0,318.0,318.0,318.0,100
2018-01-12,315.0,315.0,310.0,310.05,500
2018-01-15,308.0,312.0,308.0,312.0,300
2018-01-16,308.0,308.0,297.25,307.66,4200
2018-01-17,305.0,309.98,305.0,309.97,500
2018-01-18,311.0,311.0,305.0,308.0,1100
2018-01-19,309.0,316.0,309.0,315.63,400
2018-01-22,310.05,315.98,310.0,311.0,1700
2018-01-26,310.0,312.5,310.0,312.5,300
2018-01-29,302.5,318.0,302.5,306.45,2100
2018-01-30,306.0,306.0,295.5,299.25,5500
2018-01-31,300.7,305.98,300.7,302.75,1000
2018-02-01,303.1,303.1,303.1,303.1,200
2018-02-02,308.0,308.0,302.11,302.5,700
2018-02-06,299.98,299.98,299.98,299.98,100
2018-02-07,301.51,302.5,300.02,301.26,600
2018-02-08,304.48,304.48,302.0,303.0,600
2018-02-09,299.0,305.0,299.0,304.67,1700
2018-02-12,303.0,305.99,303.0,305.0,500
2018-02-13,305.0,306.49,303.15,304.75,1100
2018-02-14,303.0,303.0,303.0,303.0,100
2018-02-15,296.0,301.0,296.0,301.0,400
2018-02-20,303.0,316.05,303.0,313.19,5400
2018-02-21,323.99,328.84,320.0,328.09,5600
2018-02-22,325.0,341.0,313.0,339.23,7700
2018-02-23,340.0,340.0,327.9,339.14,9600
2018-02-26,330.0,330.0,322.19,322.19,1800
2018-02-27,306.09,314.94,306.09,306.09,9800
2018-02-28,301.1,301.1,301.0,301.0,200
2018-03-01,307.5,315.0,307.5,313.0,3700
2018-03-02,310.01,310.01,310.01,310.01,500
2018-03-05,305.1,305.1,305.1,305.1,100
2018-03-06,304.0,315.0,298.0,299.0,9400
2018-03-07,300.0,300.0,297.0,298.99,3000
2018-03-08,295.0,299.0,295.0,297.25,1300
2018-03-09,298.0,298.0,295.0,295.34,2600
2018-03-12,295.0,295.0,295.0,295.0,400
2018-03-13,303.0,303.0,299.0,300.0,16200
2018-03-14,301.0,307.0,300.0,306.96,16700
2018-03-15,310.0,313.0,300.51,301.5,10000
2018-03-16,300.5,300.5,299.0,299.0,1200
2018-03-19,301.99,302.0,301.99,302.0,900
2018-03-20,302.1,317.1,302.1,312.85,4200
2018-03-21,320.0,320.0,310.0,314.17,3400
2018-03-22,312.1,318.0,312.1,317.47,600
2018-03-26,322.75,325.0,320.0,320.0,1200
2018-03-27,0.0,320.0,320.0,320.0,300
2018-03-28,315.0,315.0,315.0,315.0,1400
2018-03-29,316.0,316.0,315.0,315.0,800
2018-03-30,310.1,310.1,310.0,310.0,300
2018-04-02,305.0,310.0,295.15,309.28,6500
2018-04-03,305.1,305.1,305.1,305.1,100
2018-04-04,305.1,312.0,305.1,311.75,300
2018-04-05,307.6,307.6,307.6,307.6,100
2018-04-06,305.1,306.3,305.0,306.3,2100
2018-04-09,309.5,309.5,309.5,309.5,100
2018-04-10,305.5,310.0,305.5,309.97,1300
2018-04-11,310.0,324.95,310.0,321.8,12200
2018-04-12,320.99,324.99,312.3,312.3,2300
2018-04-13,315.0,315.0,311.03,314.99,1900
2018-04-16,311.68,311.68,311.68,311.68,100
2018-04-17,314.0,314.0,314.0,314.0,100
2018-04-18,313.0,313.0,310.0,310.0,400
2018-04-19,315.0,320.0,315.0,317.93,14500
2018-04-20,326.5,327.0,325.0,325.6,16900
2018-04-23,330.0,335.5,330.0,334.04,15200
2018-04-24,337.0,344.5,337.0,342.45,8300
2018-04-25,344.0,346.01,330.0,346.01,19600
2018-04-26,343.0,345.0,343.0,345.0,1400
2018-04-30,330.0,330.21,330.0,330.03,800
2018-05-03,345.0,345.0,333.3,333.3,700
2018-05-04,334.0,334.0,334.0,334.0,100
2018-05-07,335.0,340.9,335.0,340.2,2600
2018-05-08,340.0,348.89,328.0,348.02,14900
2018-05-09,349.9,349.9,349.9,349.9,100
2018-05-10,333.0,348.5,333.0,335.01,400
2018-05-11,345.5,350.0,330.0,330.0,1200
2018-05-21,335.0,335.0,335.0,335.0,300
2018-05-22,325.0,325.0,318.25,318.25,1900
2018-05-23,310.5,322.5,310.5,322.5,300
2018-05-24,315.0,316.75,306.38,306.64,9400
2018-05-25,319.99,319.99,300.0,300.0,300
2018-05-28,300.0,300.0,300.0,300.0,5300
2018-05-29,300.0,302.0,300.0,300.0,1200
2018-05-30,299.01,302.0,290.15,291.27,3100
2018-05-31,302.0,302.0,290.0,295.0,1100
2018-06-01,306.0,308.0,295.0,296.32,1100
2018-06-06,296.0,296.0,295.8,295.8,200
2018-06-07,296.0,296.0,294.0,294.34,900
2018-06-11,300.0,300.0,300.0,300.0,100
2018-06-12,0.0,300.0,300.0,300.0,2000
2018-06-14,300.0,300.0,300.0,300.0,200
2018-06-19,300.0,300.0,300.0,300.0,600
2018-06-20,305.0,315.0,301.0,312.91,4500
2018-06-21,310.52,310.52,307.12,308.8,1200
2018-06-22,310.0,315.0,307.01,310.0,2000
2018-06-25,314.89,314.9,314.89,314.9,200
2018-06-26,315.0,315.0,314.0,314.0,1000
2018-06-27,318.99,318.99,318.99,318.99,100
2018-07-03,310.0,310.0,310.0,310.0,200
2018-07-04,308.0,308.0,308.0,308.0,100
2018-07-05,295.0,300.0,292.6,292.6,11800
2018-07-06,280.0,300.0,277.97,277.98,7200
2018-07-09,280.0,291.87,280.0,290.32,48600
2018-07-10,304.0,304.0,285.0,290.67,1800
2018-07-13,285.0,285.0,283.21,283.21,300
2018-07-17,290.0,297.37,290.0,297.37,600
2018-07-18,307.0,308.0,307.0,308.0,500
2018-07-19,300.0,310.0,300.0,310.0,134400
2018-07-24,300.0,300.0,300.0,300.0,100
2018-07-26,300.0,300.05,300.0,300.0,1100
2018-07-27,300.0,302.5,300.0,302.5,500
2018-07-30,295.16,300.0,290.0,299.33,6300
2018-07-31,290.0,295.0,290.0,293.0,1300
2018-08-01,292.5,295.0,292.5,295.0,300
2018-08-02,288.5,292.0,285.0,290.48,3100
2018-08-03,291.0,300.0,291.0,298.95,2900
