Date,Open,High,Low,Close,Volume
2018-01-01,63.29,65.0,63.0,64.38,63000
2018-01-02,65.84,65.85,63.5,65.38,16000
2018-01-03,64.01,65.4,63.5,64.0,43000
2018-01-04,64.0,65.9,64.0,65.9,8000
2018-01-05,64.12,68.48,64.0,67.54,158000
2018-01-08,67.6,68.98,66.29,67.81,141000
2018-01-09,68.0,69.2,67.55,67.84,76000
2018-01-10,68.0,69.4,68.0,69.1,161500
2018-01-11,70.0,70.0,67.0,67.27,59000
2018-01-12,67.0,67.0,65.0,66.54,36000
2018-01-15,65.98,66.8,64.5,65.46,25500
2018-01-16,65.8,66.0,64.0,64.72,149000
2018-01-17,64.5,64.9,63.0,63.62,38500
2018-01-18,63.98,64.85,63.5,63.85,36500
2018-01-19,64.87,64.87,63.65,64.45,11500
2018-01-22,64.8,65.5,64.78,65.49,32000
2018-01-23,64.25,64.95,63.5,63.62,42500
2018-01-24,63.6,66.2,63.6,65.55,235500
2018-01-25,65.7,65.7,64.44,64.88,51000
2018-01-26,64.0,65.15,64.0,65.12,38500
2018-01-29,65.0,65.25,64.4,64.92,25000
2018-01-30,64.98,65.0,62.0,62.6,180500
2018-01-31,62.5,64.72,62.5,64.54,131000
2018-02-01,64.8,64.8,61.32,61.33,418000
2018-02-02,61.9,63.17,60.0,60.16,344500
2018-02-06,60.09,62.85,60.0,62.53,144500
2018-02-07,62.9,64.1,62.7,63.72,190000
2018-02-08,64.26,65.4,63.99,64.6,175000
2018-02-09,64.6,67.83,63.55,67.5,685000
2018-02-12,67.9,68.45,64.16,64.77,282000
2018-02-13,68.0,68.0,67.02,68.0,509000
2018-02-14,71.4,71.4,69.49,70.76,1313500
2018-02-15,70.89,71.0,67.4,68.08,381500
2018-02-16,68.4,69.5,67.0,69.16,106000
2018-02-19,68.98,69.0,67.6,68.1,126000
2018-02-20,68.4,68.9,66.02,67.86,265500
2018-02-21,69.0,71.25,67.5,70.07,307500
2018-02-22,70.6,73.57,70.51,73.57,250500
2018-02-23,77.24,77.24,76.0,77.24,545500
2018-02-26,79.0,81.1,77.52,79.54,1064500
2018-02-27,79.54,83.0,77.1,80.69,316000
2018-02-28,81.0,83.7,80.8,82.34,202000
2018-03-01,82.0,82.1,78.23,78.48,205000
2018-03-02,76.81,79.0,76.8,78.08,98500
2018-03-05,78.1,80.5,78.0,78.75,176000
2018-03-06,78.75,78.99,76.65,76.82,69000
2018-03-07,75.5,78.0,75.19,75.87,47000
2018-03-08,77.0,77.7,75.3,77.24,125500
2018-03-09,76.55,77.0,75.14,76.0,16500
2018-03-12,74.75,76.99,74.65,75.87,41500
2018-03-13,76.0,78.0,73.5,75.01,110000
2018-03-14,74.4,75.5,73.5,75.01,75000
2018-03-15,76.0,76.0,75.0,75.99,70000
2018-03-16,76.5,76.5,75.5,75.57,14500
2018-03-19,74.25,75.5,74.0,75.32,73500
2018-03-20,75.95,79.08,75.95,77.82,872000
2018-03-21,79.0,79.0,74.5,75.19,699500
2018-03-22,75.15,76.29,75.0,75.5,128000
2018-03-26,75.1,76.95,75.1,75.58,94000
2018-03-27,76.0,76.0,75.0,75.01,124500
2018-03-28,75.0,75.5,74.5,74.78,79500
2018-03-29,74.99,75.12,71.05,71.74,269000
2018-03-30,71.7,72.44,70.06,72.13,63500
2018-04-02,73.49,74.2,68.53,68.56,903000
2018-04-03,69.0,69.24,65.14,65.34,1171000
2018-04-04,65.0,68.6,65.0,68.6,929000
2018-04-05,69.3,70.05,67.0,67.99,564500
2018-04-06,69.0,69.8,67.5,68.0,174500
2018-04-09,68.35,68.5,67.1,67.23,29500
2018-04-10,67.9,68.65,66.61,67.56,179000
2018-04-11,68.0,70.3,68.0,69.07,645000
2018-04-12,69.69,69.97,68.4,68.56,166500
2018-04-13,70.9,71.98,69.95,71.98,547000
2018-04-16,74.0,74.65,71.7,72.91,580000
2018-04-17,72.02,73.95,71.2,73.55,210500
2018-04-18,73.85,73.85,71.0,72.33,153000
2018-04-19,72.25,72.5,71.15,71.64,175000
2018-04-20,72.0,73.49,71.55,72.7,311000
2018-04-23,73.25,76.1,73.25,75.85,462000
2018-04-24,76.0,76.8,75.5,76.32,332000
2018-04-25,75.55,79.0,75.35,78.77,891000
2018-04-26,79.45,79.49,77.6,77.89,301500
2018-04-27,78.0,81.78,77.01,80.23,638000
2018-04-30,81.25,84.24,79.75,84.12,2360000
2018-05-02,86.0,88.32,85.5,88.32,1357500
2018-05-03,90.0,91.85,87.0,89.36,1833500
2018-05-04,88.5,90.4,86.52,88.2,527500
2018-05-07,88.9,89.75,83.79,84.11,578500
2018-05-08,83.1,84.0,79.91,80.17,911500
2018-05-09,81.0,82.7,76.17,80.48,1042500
2018-05-10,81.3,84.5,80.3,83.84,625000
2018-05-11,84.0,84.5,82.0,82.66,310000
2018-05-14,82.0,82.1,79.0,80.09,367500
2018-05-15,81.0,84.09,81.0,84.06,805000
2018-05-16,84.99,87.6,84.9,86.29,384000
2018-05-17,85.55,88.01,83.6,84.96,105000
2018-05-18,84.5,87.0,82.0,85.73,138500
2018-05-21,87.0,88.0,85.5,85.67,212000
2018-05-22,85.75,87.24,85.31,86.09,164500
2018-05-23,86.0,90.39,86.0,90.17,512500
2018-05-24,92.4,94.67,92.0,92.44,1018500
2018-05-25,92.0,92.28,90.6,91.05,188500
2018-05-28,90.01,94.3,90.01,93.09,315500
2018-05-29,93.4,97.74,92.5,97.74,482500
2018-05-30,99.1,102.62,99.1,102.62,505000
