Date,Open,High,Low,Close,Volume
2018-01-01,163.0,163.4,161.55,162.2,279900
2018-01-02,162.1,168.25,162.01,165.82,2658800
2018-01-03,166.9,168.75,165.51,168.23,2468000
2018-01-04,170.02,171.49,169.5,170.16,3482000
2018-01-05,170.0,170.67,168.5,170.05,1305600
2018-01-08,170.5,173.0,169.0,171.7,2358800
2018-01-09,171.89,171.89,169.0,169.92,1745200
2018-01-10,171.2,172.5,170.15,171.27,2555700
2018-01-11,171.3,171.5,168.8,169.67,1029800
2018-01-12,169.5,170.9,166.6,167.27,1421000
2018-01-15,167.3,169.5,167.2,167.9,1051700
2018-01-16,168.4,172.35,168.4,171.62,1761200
2018-01-17,171.9,172.74,169.51,171.81,921100
2018-01-18,172.25,174.99,170.01,171.83,1672300
2018-01-19,172.01,172.01,168.92,169.14,1237800
2018-01-22,169.75,172.9,169.0,171.59,2435800
2018-01-23,171.76,174.0,171.0,173.84,1775200
2018-01-24,175.05,177.0,169.25,171.55,5267400
2018-01-25,173.5,174.0,169.0,169.47,3041300
2018-01-26,169.72,171.25,167.99,170.84,672000
2018-01-29,170.51,170.99,167.5,168.13,753200
2018-01-30,168.0,168.25,167.0,167.31,453300
2018-01-31,166.5,167.4,164.05,164.59,3743300
2018-02-01,164.21,166.0,164.21,165.52,992800
2018-02-02,166.5,169.5,166.0,167.46,900800
2018-02-06,165.6,166.95,162.52,166.06,1048500
2018-02-07,167.0,169.75,165.51,168.87,2887200
2018-02-08,168.0,168.0,165.76,166.51,788600
2018-02-09,165.5,167.5,164.98,166.26,1593400
2018-02-12,165.89,166.25,165.0,165.81,3654500
2018-02-13,166.19,167.5,165.5,165.88,2458700
2018-02-14,165.0,165.95,162.2,165.08,1837500
2018-02-15,166.25,166.8,165.01,165.51,786400
2018-02-16,166.8,168.0,165.03,167.55,951600
2018-02-19,167.98,169.3,166.25,167.22,781600
2018-02-20,166.9,167.0,163.8,166.9,4433900
2018-02-21,166.85,167.69,163.31,163.75,2811600
2018-02-22,162.76,166.1,161.25,165.39,1320500
2018-02-23,166.01,166.98,163.25,164.34,858800
2018-02-26,165.3,166.5,161.51,161.92,1387300
2018-02-27,161.99,162.95,160.5,162.31,526000
2018-02-28,162.1,163.97,161.01,163.22,731300
2018-03-01,163.2,163.75,162.8,163.24,165900
2018-03-02,163.06,165.35,161.75,164.97,1039900
2018-03-05,165.1,166.49,164.98,165.14,275100
2018-03-06,165.25,166.0,164.8,165.08,267900
2018-03-07,165.0,165.98,164.8,165.06,214500
2018-03-08,165.5,165.89,161.31,162.51,1242100
2018-03-09,163.3,164.6,162.98,164.09,589400
2018-03-12,161.01,164.99,161.01,164.45,710300
2018-03-13,164.45,165.2,163.0,164.87,632500
2018-03-14,164.5,164.5,162.0,163.42,568500
2018-03-15,163.7,165.45,163.0,164.42,852400
2018-03-16,164.14,166.28,164.1,165.59,858200
2018-03-19,165.25,170.0,164.75,169.41,1213500
2018-03-20,170.0,172.0,169.5,170.89,2067000
2018-03-21,171.35,173.6,171.35,171.99,881100
2018-03-22,172.52,173.75,171.55,172.28,722700
2018-03-26,172.4,174.5,172.25,173.14,734900
2018-03-27,173.25,174.0,171.26,171.98,322800
2018-03-28,171.61,172.0,170.75,171.87,544600
2018-03-29,171.95,174.5,171.5,174.25,1298600
2018-03-30,174.0,174.5,173.05,174.08,345700
2018-04-02,175.0,176.99,174.5,176.55,528000
2018-04-03,176.0,176.6,174.01,176.46,979300
2018-04-04,176.5,176.75,174.01,174.96,1357200
2018-04-05,174.95,175.8,173.75,175.16,501900
2018-04-06,175.18,176.5,175.18,175.66,1008500
2018-04-09,175.25,176.0,174.25,175.57,80500
2018-04-10,175.7,176.5,174.9,175.4,344600
2018-04-11,177.65,178.44,175.0,176.19,879300
2018-04-12,176.9,177.85,175.65,177.31,443300
2018-04-13,177.0,177.49,174.75,175.73,683900
2018-04-16,175.0,175.0,167.16,167.38,3087200
2018-04-17,167.44,167.44,164.9,165.08,2043800
2018-04-18,165.1,165.5,163.75,164.21,3327200
2018-04-19,165.0,166.25,164.25,165.18,3073500
2018-04-20,165.05,165.4,164.0,164.18,1672800
2018-04-23,164.5,165.4,164.0,164.64,575700
2018-04-24,165.8,167.8,164.41,167.53,2416000
2018-04-25,167.5,167.5,166.15,166.58,256100
2018-04-26,166.58,168.0,166.5,166.96,950700
2018-04-27,167.97,168.95,166.52,168.27,756700
2018-04-30,168.75,168.75,166.0,166.73,660800
2018-05-02,166.5,166.5,164.9,165.12,452500
2018-05-03,165.0,165.45,163.39,164.74,1216400
2018-05-04,165.0,165.9,163.5,163.96,649500
2018-05-07,164.45,166.1,164.45,164.86,623600
2018-05-08,165.0,165.0,163.0,164.08,1144800
2018-05-09,165.0,166.8,163.35,164.08,2629800
2018-05-10,164.9,166.0,164.25,165.0,961600
2018-05-11,164.56,165.33,164.0,164.27,360400
2018-05-14,164.99,164.99,159.0,160.61,1381800
2018-05-15,160.25,163.37,160.0,162.6,1966100
2018-05-16,163.45,163.5,160.51,161.13,277600
2018-05-17,161.49,162.9,160.5,161.59,741000
2018-05-18,162.0,162.65,160.5,161.56,821700
2018-05-21,161.49,162.75,159.75,160.2,608000
2018-05-22,161.0,163.0,160.8,162.47,1369500
2018-05-23,162.5,163.0,161.5,161.72,1612300
2018-05-24,161.5,161.79,160.0,160.71,806300
2018-05-25,160.02,160.15,159.49,159.88,957800
2018-05-28,158.6,159.02,154.49,156.65,1076300
2018-05-29,156.05,161.95,155.87,160.24,549600
2018-05-30,160.0,161.0,159.0,159.58,891000
2018-05-31,160.11,163.25,160.0,162.44,2223900
2018-06-01,160.7,161.0,158.65,159.21,223900
2018-06-04,158.01,161.88,157.25,161.34,534200
2018-06-05,162.0,162.7,161.01,162.33,647900
2018-06-06,162.5,163.0,161.5,162.51,333700
2018-06-07,162.06,163.5,161.5,162.36,536600
2018-06-11,162.5,166.0,162.5,165.29,1517500
2018-06-12,164.3,166.0,163.25,164.22,439400
2018-06-13,164.95,165.99,162.7,165.51,424900
2018-06-14,165.11,169.0,163.9,167.02,2221500
2018-06-19,165.56,165.97,163.5,164.43,991600
2018-06-20,163.6,163.7,160.06,160.97,959800
2018-06-21,161.48,161.48,159.1,159.66,560300
2018-06-22,159.0,159.6,156.0,156.54,1126100
2018-06-25,157.11,158.84,153.0,154.41,1304200
2018-06-26,154.9,157.0,153.76,155.01,1227900
2018-06-27,156.0,159.5,155.13,155.89,4347300
2018-06-28,155.99,157.39,155.25,155.91,1271000
2018-06-29,155.91,156.83,154.82,155.62,766500
2018-07-02,156.0,156.98,154.7,154.95,457400
2018-07-03,155.0,155.88,154.0,155.13,434500
2018-07-04,155.13,155.13,147.38,147.6,2504000
2018-07-05,147.99,151.0,147.15,148.05,630200
2018-07-06,148.0,149.25,146.73,148.1,318800
2018-07-09,148.15,149.95,143.76,147.13,1042700
2018-07-10,145.11,150.95,145.0,149.8,1179500
2018-07-11,149.0,152.0,148.16,150.66,1015900
2018-07-12,149.1,150.65,147.2,149.89,1073900
2018-07-13,149.98,152.0,147.52,149.03,1295500
2018-07-16,149.74,152.1,145.3,146.41,1200700
2018-07-17,145.11,147.5,144.16,146.39,710600
2018-07-18,145.5,149.5,145.5,148.57,1254300
2018-07-19,149.9,152.8,148.58,151.0,5785300
2018-07-20,151.0,151.0,148.01,148.89,2135800
2018-07-23,147.61,148.0,145.26,146.51,1382900
2018-07-24,147.99,149.99,147.0,149.48,1853400
2018-07-26,151.0,151.89,149.1,150.58,3172800
2018-07-27,150.99,153.0,150.49,152.43,7507400
