Date,Open,High,Low,Close,Volume
2018-01-01,47.15,49.86,46.25,49.86,3595500
2018-01-02,50.09,51.6,49.3,50.35,8819500
2018-01-03,50.59,50.85,49.1,49.54,4659500
2018-01-04,49.54,51.5,49.02,50.84,6195000
2018-01-05,50.5,52.75,50.45,52.34,7004500
2018-01-08,52.69,53.2,51.25,51.69,9793500
2018-01-09,52.0,54.27,50.61,53.92,16017500
2018-01-10,54.47,56.61,54.3,56.61,10328000
2018-01-11,57.2,58.96,56.41,58.02,15976500
2018-01-12,58.0,58.0,55.12,55.21,6397000
2018-01-15,54.51,54.88,52.92,53.26,5419500
2018-01-16,53.89,55.5,53.75,54.47,4206000
2018-01-17,54.5,56.24,54.1,55.84,3883500
2018-01-18,57.0,57.89,54.35,55.33,9123000
2018-01-19,55.94,58.09,55.3,57.86,7861500
2018-01-22,58.54,60.75,58.45,60.5,15078000
2018-01-23,60.75,62.3,58.75,61.85,12364000
2018-01-24,62.24,63.0,59.5,59.93,11758000
2018-01-25,59.75,62.0,59.7,61.61,6748500
2018-01-26,61.6,61.75,60.0,60.78,5121500
2018-01-29,60.3,60.87,59.51,60.05,4308000
2018-01-30,60.0,61.7,59.85,61.17,6756000
2018-01-31,61.26,61.55,60.52,60.72,3228500
2018-02-01,61.03,61.35,59.55,59.75,4613000
2018-02-02,59.6,60.7,59.35,59.77,4996000
2018-02-06,58.98,59.1,57.01,58.39,4330000
2018-02-07,60.0,60.0,57.85,58.24,5572500
2018-02-08,58.25,58.8,57.6,57.94,4720500
2018-02-09,57.49,58.25,57.1,57.77,2222000
2018-02-12,57.79,58.1,57.1,57.4,1522500
2018-02-13,57.6,59.1,57.5,57.82,4088000
2018-02-14,57.71,57.97,55.5,55.84,4098000
2018-02-15,55.1,56.2,53.35,53.81,5002000
2018-02-16,53.7,55.01,53.5,54.85,1616000
2018-02-19,54.81,55.79,54.5,54.66,1694000
2018-02-20,54.6,54.85,53.35,54.36,3981500
