Date,Open,High,Low,Close,Volume
2018-01-01,2080.0,2100.0,2040.53,2040.54,160
2018-01-02,2000.0,2142.56,2000.0,2107.58,940
2018-01-03,2043.05,2133.0,2043.0,2130.0,1160
2018-01-04,2133.0,2133.0,2133.0,2133.0,20
2018-01-05,2100.0,2137.0,2100.0,2125.68,1600
2018-01-08,2050.01,2137.0,2050.0,2135.33,1300
2018-01-09,2100.0,2137.0,2100.0,2136.7,3620
2018-01-10,2100.0,2137.0,2100.0,2137.0,4540
2018-01-11,2100.0,2240.0,2078.0,2138.09,4820
2018-01-12,2110.0,2150.0,2099.99,2143.47,2520
2018-01-15,2070.0,2100.0,2036.3,2092.73,720
2018-01-16,2099.0,2197.0,2089.0,2132.65,4440
2018-01-17,2101.0,2164.0,2100.0,2143.53,4780
2018-01-18,2101.0,2164.0,2050.0,2138.1,7360
2018-01-19,2100.02,2123.0,2100.0,2120.92,480
2018-01-22,2100.01,2123.0,2050.0,2123.0,2860
2018-01-23,2063.0,2123.0,2062.0,2099.25,4960
2018-01-24,2099.0,2115.0,2051.0,2104.91,520
2018-01-25,2100.0,2100.0,2100.0,2100.0,160
2018-01-29,2000.0,2095.0,1995.0,2048.82,3780
2018-01-30,2000.0,2151.26,1980.0,2056.72,6520
2018-01-31,2050.0,2159.55,2010.01,2159.55,5400
2018-02-01,2112.0,2150.0,2053.0,2066.69,720
2018-02-02,2066.0,2066.0,1981.0,1995.66,2360
2018-02-13,1950.0,2028.98,1950.0,2023.31,340
2018-02-16,2038.9,2038.9,2038.9,2038.9,20
2018-02-19,1937.0,1937.0,1936.96,1936.96,80
2018-02-20,1900.0,1979.98,1900.0,1961.65,120
2018-02-21,1979.4,1979.4,1979.4,1979.4,20
2018-02-23,1890.0,1977.98,1890.0,1973.32,80
2018-02-26,1980.0,2071.98,1980.0,2070.7,2360
2018-02-27,2015.01,2170.0,2015.01,2170.0,360
2018-02-28,2195.0,2213.0,2195.0,2210.38,1900
2018-03-01,2100.1,2100.1,2100.1,2100.1,60
2018-03-07,1995.1,1996.0,1995.1,1995.1,60
2018-03-13,2035.0,2035.05,2035.0,2035.05,200
2018-03-14,2050.0,2100.0,2050.0,2100.0,220
2018-03-15,2100.0,2150.0,2100.0,2145.0,5620
2018-03-16,2105.0,2105.0,2105.0,2105.0,20
2018-03-19,2075.0,2075.0,1999.75,1999.75,380
2018-03-21,2099.0,2099.0,1950.0,1975.0,60
2018-03-22,1901.0,2073.73,1901.0,2056.57,2800
2018-03-26,1975.26,1975.26,1955.0,1971.06,2220
2018-03-27,1950.0,1955.0,1950.0,1955.0,40
2018-03-29,1960.0,2052.75,1960.0,2051.57,3420
