Date,Open,High,Low,Close,Volume
2018-01-01,15.01,15.2,14.72,15.15,642500
2018-01-02,15.01,15.5,15.0,15.32,1266000
2018-01-03,15.32,15.55,15.15,15.28,926000
2018-01-04,15.4,15.8,15.3,15.66,2410000
2018-01-05,15.66,16.24,15.61,16.03,2769500
2018-01-08,16.1,16.85,16.1,16.69,3789500
2018-01-09,16.7,16.78,16.27,16.41,1893000
2018-01-10,16.48,17.15,16.41,17.08,3500000
2018-01-11,17.2,17.4,16.75,16.84,2079500
2018-01-12,17.72,17.72,16.95,17.14,4970500
2018-01-15,17.0,17.04,16.25,16.34,1485000
2018-01-16,16.24,16.8,16.24,16.47,965000
2018-01-17,16.5,16.67,16.25,16.52,1497500
2018-01-18,16.84,17.05,16.55,16.79,1682500
2018-01-19,16.8,17.11,16.69,17.0,1478500
2018-01-22,17.0,17.47,16.91,17.31,2951500
2018-01-23,17.48,17.48,17.06,17.23,1389000
2018-01-24,17.23,17.73,17.23,17.53,3099500
2018-01-25,17.6,18.53,17.58,18.53,4844000
2018-01-26,18.79,19.52,18.7,19.36,8708000
2018-01-29,19.4,19.49,18.7,18.8,3309500
2018-01-30,18.8,19.15,18.51,18.59,1645000
2018-01-31,18.55,19.24,18.55,18.85,2614000
2018-02-01,18.87,19.1,18.65,18.73,1573000
2018-02-02,18.75,18.97,18.5,18.58,1798000
2018-02-06,18.25,18.44,18.0,18.36,1443000
2018-02-07,18.46,18.66,18.33,18.37,741500
2018-02-08,18.4,18.5,18.01,18.12,930000
2018-02-09,18.01,18.29,17.84,17.92,1767500
2018-02-12,18.0,18.03,17.52,17.64,1162500
2018-02-13,17.65,18.64,17.65,18.64,3967500
2018-02-14,19.0,19.01,17.81,18.0,3254000
2018-02-15,18.0,18.18,17.47,17.56,1041500
2018-02-16,17.44,17.91,17.44,17.76,753500
2018-02-19,17.89,17.92,17.5,17.52,625000
2018-02-20,17.45,17.8,17.3,17.54,749500
2018-02-21,17.83,18.14,17.6,17.67,1187000
2018-02-22,17.5,17.6,17.26,17.52,1552000
2018-02-23,17.49,17.51,16.55,16.7,4817500
2018-02-26,16.9,17.05,16.35,16.51,899500
2018-02-27,16.6,16.7,16.3,16.37,678000
2018-02-28,16.59,16.64,16.36,16.4,734500
2018-03-01,16.41,16.6,16.3,16.49,943500
2018-03-02,16.42,16.75,16.41,16.57,754000
2018-03-05,16.7,17.57,16.69,17.31,3737000
2018-03-06,17.4,17.44,17.09,17.16,1155500
2018-03-07,17.16,17.16,16.8,16.82,728500
2018-03-08,16.72,16.89,16.62,16.73,523500
2018-03-09,16.61,16.97,16.25,16.37,831000
2018-03-12,16.42,16.6,16.3,16.35,534500
2018-03-13,16.35,16.55,16.32,16.47,799500
2018-03-14,16.5,16.59,16.3,16.34,554000
2018-03-15,16.4,17.34,16.4,17.34,4918500
2018-03-16,17.2,17.63,16.85,17.0,2042500
2018-03-19,17.2,17.2,16.99,17.1,382500
