Date,Open,High,Low,Close,Volume
2018-01-01,8.9,8.9,8.4,8.75,1393000
2018-01-02,8.61,9.18,8.58,9.1,5729000
2018-01-03,9.2,9.35,9.03,9.14,3815000
2018-01-04,9.07,9.38,9.05,9.24,4229500
2018-01-05,9.18,9.59,9.19,9.52,6582500
2018-01-08,9.52,9.69,9.5,9.55,2836000
2018-01-09,9.51,9.7,9.29,9.36,1919500
2018-01-10,9.31,9.78,9.3,9.65,7003500
2018-01-11,9.58,9.74,9.5,9.63,3780000
2018-01-12,9.51,9.69,9.0,9.07,2677000
2018-01-15,9.05,9.05,8.82,8.84,932500
2018-01-16,8.77,9.17,8.77,8.94,1767000
2018-01-17,8.91,9.23,8.9,9.18,1188500
2018-01-18,9.17,9.4,9.11,9.15,2526000
2018-01-19,9.01,9.39,9.01,9.31,2373500
2018-01-22,9.35,10.12,9.15,10.07,15992500
2018-01-23,10.14,10.23,9.9,10.05,8831000
2018-01-24,10.06,10.7,10.06,10.4,14167000
2018-01-25,10.49,10.55,10.2,10.39,4483000
2018-01-26,10.45,10.45,10.01,10.23,7938500
2018-01-29,10.1,10.2,10.01,10.05,1589500
2018-01-30,10.1,10.17,9.95,10.01,2259500
2018-01-31,10.0,10.1,9.88,9.91,2313500
2018-02-01,10.05,10.2,10.0,10.15,6091500
2018-02-02,10.06,10.85,10.06,10.4,17466500
2018-02-06,10.29,10.4,10.01,10.23,3709500
2018-02-07,10.35,10.5,10.3,10.36,5189500
2018-02-08,10.51,10.75,10.29,10.34,11603500
2018-02-09,10.25,10.49,10.15,10.27,3590500
2018-02-12,10.39,10.4,10.14,10.15,1942000
2018-02-13,10.29,10.3,10.01,10.07,2777000
2018-02-14,10.04,10.14,9.77,9.82,3190000
2018-02-15,9.77,9.94,9.41,9.51,2690500
2018-02-16,9.55,9.65,9.4,9.51,2197500
2018-02-19,9.41,9.68,9.35,9.42,1486000
2018-02-20,9.45,9.45,9.16,9.24,3259000
2018-02-21,9.37,9.45,9.2,9.22,2440000
2018-02-22,8.9,9.4,8.81,9.32,6412500
2018-02-23,9.3,9.49,9.01,9.09,4107000
2018-02-26,9.2,9.39,9.0,9.02,1888000
2018-02-27,9.19,9.19,8.84,8.97,1556000
2018-02-28,9.0,9.15,9.0,9.07,1102000
2018-03-01,9.07,9.72,9.07,9.47,7179000
2018-03-02,9.48,9.66,9.35,9.41,4146000
2018-03-05,9.5,9.5,9.25,9.34,1319500
2018-03-06,9.41,9.64,9.35,9.41,3862500
2018-03-07,9.45,9.5,9.14,9.19,1876500
2018-03-08,9.25,9.25,9.01,9.09,2012500
2018-03-09,9.01,9.11,8.92,8.97,796500
2018-03-12,9.0,9.1,8.92,9.05,1092000
2018-03-13,9.05,9.35,8.97,9.21,1486500
2018-03-14,9.33,9.33,9.13,9.17,873500
2018-03-15,9.27,9.27,9.11,9.21,1290500
2018-03-16,9.16,9.35,9.15,9.26,1330500
2018-03-19,9.31,9.39,9.12,9.32,1183000
2018-03-20,9.3,9.59,9.3,9.53,3333000
2018-03-21,9.5,9.62,9.35,9.48,1562500
2018-03-22,9.52,9.65,9.3,9.48,3170000
2018-03-26,9.49,9.72,9.35,9.66,3226000
2018-03-27,9.73,9.85,9.57,9.61,3363000
2018-03-28,9.61,9.65,9.5,9.57,1434000
2018-03-29,9.6,9.8,9.5,9.56,3788000
2018-03-30,9.6,9.65,9.3,9.38,2756000
2018-04-02,9.52,9.8,9.5,9.7,7344500
2018-04-03,9.69,9.83,9.56,9.65,5692000
2018-04-04,9.74,10.01,9.65,9.71,8847500
2018-04-05,9.8,9.98,9.75,9.83,3373500
2018-04-06,10.0,10.05,9.76,9.78,2758500
2018-04-09,9.94,10.4,9.8,10.27,12045500
2018-04-10,10.25,10.35,10.07,10.11,5434000
2018-04-11,10.1,10.2,10.0,10.02,2031500
2018-04-12,10.01,10.07,9.85,9.88,1747000
2018-04-13,9.81,9.89,9.7,9.72,1225000
2018-04-16,9.83,9.9,9.61,9.64,981500
2018-04-17,9.65,9.83,9.6,9.77,1440500
2018-04-18,9.81,9.94,9.67,9.7,1917000
2018-04-19,9.7,9.78,9.41,9.51,1538000
2018-04-20,9.37,9.66,9.37,9.52,631000
2018-04-23,9.51,9.66,9.48,9.56,617000
2018-04-24,9.56,9.73,9.56,9.65,2235500
2018-04-25,9.66,9.66,9.5,9.56,894500
2018-04-26,9.6,9.7,9.51,9.59,1386500
2018-04-27,9.59,9.93,9.48,9.75,5688500
2018-04-30,9.7,9.74,9.5,9.66,1437000
2018-05-02,9.6,9.65,9.5,9.54,1366000
2018-05-03,9.55,9.6,9.32,9.39,1450500
2018-05-04,9.36,9.45,9.22,9.31,1634000
2018-05-07,9.25,9.4,9.25,9.35,572500
2018-05-08,9.35,9.4,9.21,9.28,541500
2018-05-09,9.15,9.28,8.84,9.09,2667000
2018-05-10,9.35,9.38,9.05,9.13,1536000
2018-05-11,9.15,9.42,9.09,9.15,2083000
2018-05-14,9.12,9.12,8.65,8.74,1579000
2018-05-15,8.75,9.15,8.5,9.08,3098500
2018-05-16,9.2,9.2,8.89,8.98,504500
2018-05-17,8.95,9.0,8.81,8.93,748000
2018-05-18,8.9,9.1,8.9,9.01,767500
2018-05-21,9.1,9.18,8.97,9.06,867500
2018-05-22,9.1,9.25,9.0,9.21,5830500
