Date,Open,High,Low,Close,Volume
2018-01-01,205.0,207.98,204.5,207.1,457800
2018-01-02,205.02,215.0,205.0,212.83,1799100
2018-01-03,213.5,216.5,211.51,215.8,1222200
2018-01-04,218.03,219.5,215.1,216.1,455200
2018-01-05,215.01,216.19,213.05,214.88,421500
2018-01-08,215.95,215.95,212.06,213.69,595300
2018-01-09,215.19,215.19,210.25,211.42,472600
2018-01-10,213.9,216.27,212.5,213.98,5260800
2018-01-11,215.0,217.49,212.03,212.66,1300400
2018-01-12,213.75,214.0,210.15,210.75,575100
2018-01-15,210.51,211.65,207.0,207.52,378800
2018-01-16,208.5,212.3,208.5,210.33,734900
2018-01-17,211.3,212.98,209.5,212.47,462400
2018-01-18,213.25,216.0,211.11,213.06,688800
2018-01-19,213.1,214.25,212.31,213.01,793700
2018-01-22,213.59,214.0,212.0,213.05,598300
2018-01-23,212.83,213.98,210.0,211.96,568500
2018-01-24,213.0,214.0,202.15,205.11,3182800
2018-01-25,207.2,209.8,205.5,206.17,740800
2018-01-26,206.0,208.45,205.5,207.69,643200
2018-01-29,208.9,208.95,205.95,206.41,67200
2018-01-30,206.5,208.4,206.0,207.0,402900
2018-01-31,206.0,207.05,206.0,206.5,206400
2018-02-01,206.97,207.79,204.11,206.75,135700
2018-02-02,207.79,210.0,207.35,208.79,1304400
2018-02-06,207.49,207.49,200.66,205.83,343700
2018-02-07,205.98,206.51,203.5,204.31,441700
2018-02-08,203.01,203.01,198.05,198.82,889400
2018-02-09,196.01,198.5,195.7,197.6,316600
2018-02-12,196.0,199.0,196.0,197.27,376200
2018-02-13,198.0,200.57,197.01,198.71,575100
2018-02-14,196.51,199.49,196.08,198.56,607100
2018-02-15,199.99,199.99,196.0,196.29,1159700
2018-02-16,198.5,203.0,196.5,201.78,815300
2018-02-19,202.0,204.0,199.0,199.89,266700
2018-02-20,199.97,201.9,195.71,200.16,463600
2018-02-21,200.0,201.0,198.0,198.52,425500
2018-02-22,197.0,205.5,195.7,204.08,590700
2018-02-23,205.25,205.97,200.1,201.12,270800
2018-02-26,203.0,203.0,196.1,196.65,1133300
2018-02-27,197.05,202.89,197.0,199.05,385300
2018-02-28,199.99,204.5,199.99,203.91,285400
2018-03-01,204.9,204.9,201.0,202.64,121100
2018-03-02,202.5,205.25,200.03,204.02,453200
2018-03-05,204.1,204.5,202.0,202.85,33800
2018-03-06,203.5,204.2,202.0,202.25,129100
2018-03-07,201.5,203.02,199.05,201.07,117100
2018-03-08,200.01,201.97,196.85,198.3,1118800
2018-03-09,198.97,202.8,198.02,201.27,241500
2018-03-12,202.5,202.5,200.62,201.74,122200
2018-03-13,202.89,203.49,200.13,201.44,595600
2018-03-14,200.5,203.5,200.5,202.99,251900
2018-03-15,202.06,204.0,202.0,203.9,175200
2018-03-16,203.5,205.0,202.5,203.72,450500
2018-03-19,203.16,204.85,201.0,201.56,936700
2018-03-20,202.59,210.69,202.0,208.85,2030400
2018-03-21,211.8,213.0,209.55,211.49,1256800
2018-03-22,213.95,214.2,212.18,213.01,632000
2018-03-26,213.25,218.49,212.15,214.18,623600
2018-03-27,214.85,214.85,211.02,212.31,178100
2018-03-28,213.49,213.49,210.76,211.84,47700
2018-03-29,211.95,214.0,211.16,213.45,697100
2018-03-30,213.45,213.98,212.01,212.84,267800
