Date,Open,High,Low,Close,Volume
2018-01-01,295.0,296.9,289.5,295.83,291000
2018-01-02,294.0,301.0,290.0,297.22,657000
2018-01-03,297.0,303.0,296.0,298.93,1021000
2018-01-04,301.0,302.5,297.54,298.48,326700
2018-01-05,296.01,302.48,296.01,300.28,387800
2018-01-08,300.0,310.0,299.33,307.26,1444100
2018-01-09,308.99,315.95,305.6,314.48,1001400
2018-01-10,317.99,321.8,315.5,320.26,982500
2018-01-11,319.0,320.0,313.9,315.05,1007900
2018-01-12,316.0,316.0,301.12,302.82,673100
2018-01-15,301.01,301.1,292.0,293.06,429000
2018-01-16,292.51,303.84,291.9,301.08,771500
2018-01-17,300.0,304.99,299.0,304.14,377000
2018-01-18,307.01,312.0,301.0,306.18,845600
2018-01-19,307.9,308.75,304.5,307.09,577300
2018-01-22,308.0,319.9,308.03,317.92,1586900
2018-01-23,319.99,320.0,313.0,317.33,646100
2018-01-24,319.0,322.53,315.01,317.41,1221400
2018-01-25,317.16,321.0,315.0,316.43,538900
2018-01-26,315.0,316.0,312.1,314.99,389400
2018-01-29,315.0,319.44,314.1,316.35,447600
2018-01-30,317.0,318.0,314.0,315.21,276400
2018-01-31,316.9,318.0,315.5,315.81,258800
2018-02-01,316.27,321.0,316.27,318.36,793100
2018-02-02,319.0,323.28,318.9,320.47,663300
2018-02-06,315.0,316.5,314.0,315.42,379300
2018-02-07,317.99,318.0,314.0,314.4,274500
2018-02-08,314.95,315.0,310.01,310.61,260000
2018-02-09,309.5,310.7,306.56,309.74,290300
2018-02-12,309.85,310.0,305.5,307.41,280600
2018-02-13,308.95,309.03,307.55,308.07,88400
2018-02-14,306.77,307.0,301.3,301.72,433900
2018-02-15,302.0,305.0,295.01,296.47,631700
2018-02-16,294.61,303.5,294.61,302.0,293600
2018-02-19,306.6,309.0,306.1,307.29,573100
2018-02-20,307.0,307.0,302.0,305.37,141200
2018-02-21,308.02,310.0,297.55,298.73,912100
2018-02-22,293.0,298.0,290.1,296.53,792100
2018-02-23,298.0,299.9,290.0,293.5,560500
2018-02-26,294.9,296.73,285.01,286.28,556700
2018-02-27,286.25,291.0,285.0,289.87,290500
2018-02-28,292.0,301.0,290.3,297.78,709600
2018-03-01,298.9,303.99,297.53,299.3,677700
2018-03-02,298.5,300.5,297.11,298.24,270800
2018-03-05,299.39,303.0,298.5,301.22,335000
2018-03-06,301.55,304.5,299.2,300.46,306100
2018-03-07,300.0,301.0,297.75,298.95,228400
2018-03-08,300.0,301.5,294.75,298.54,433000
2018-03-09,299.0,299.89,293.0,293.78,247900
2018-03-12,293.78,296.9,293.07,295.82,139500
2018-03-13,296.0,301.5,296.0,299.19,420900
2018-03-14,299.02,300.0,294.53,295.07,529900
2018-03-15,295.8,296.97,295.0,295.64,139600
2018-03-16,296.0,296.0,291.0,292.99,449300
2018-03-19,293.5,302.99,293.5,302.03,654500
2018-03-20,303.0,310.9,303.0,306.75,2075300
2018-03-21,307.0,312.75,306.0,310.34,958000
2018-03-22,312.0,313.8,309.2,310.67,351300
2018-03-26,309.5,313.86,307.55,312.37,226700
2018-03-27,311.52,318.0,311.52,316.02,1030500
2018-03-28,315.0,317.89,313.0,315.93,578500
2018-03-29,316.89,324.0,313.5,322.7,2002900
2018-03-30,322.5,323.4,318.75,321.49,740000
2018-04-02,325.75,331.0,324.5,329.99,1507800
2018-04-03,329.5,333.5,325.75,332.35,1838400
2018-04-04,332.61,333.49,328.5,330.57,777200
2018-04-05,331.0,338.9,331.0,337.56,1093900
2018-04-06,341.02,345.0,333.12,335.17,1688100
2018-04-09,335.5,336.01,329.51,330.63,334400
2018-04-10,332.94,333.1,328.05,329.12,357700
2018-04-11,331.0,339.9,330.0,337.6,1173900
2018-04-12,339.25,341.0,333.0,336.96,916300
2018-04-13,336.95,336.96,330.15,332.27,202800
2018-04-16,328.53,331.99,324.5,325.38,280100
2018-04-17,326.95,327.99,323.13,327.27,257600
2018-04-18,327.3,329.8,323.5,324.26,240500
2018-04-19,326.0,328.99,323.0,324.78,222200
2018-04-20,325.5,326.05,320.1,321.58,164600
2018-04-23,324.0,328.87,324.0,327.8,536400
2018-04-24,328.9,340.41,328.75,339.46,1781100
2018-04-25,341.4,341.65,336.0,337.31,339300
2018-04-26,337.0,339.35,336.62,337.11,222600
2018-04-27,337.75,343.0,337.25,341.14,730200
2018-04-30,345.0,345.0,337.51,339.34,501000
2018-05-02,339.0,339.9,337.0,338.09,155100
2018-05-03,339.5,339.5,332.5,333.19,179900
2018-05-04,333.0,338.5,331.66,334.42,354700
2018-05-07,335.0,340.45,334.0,336.15,838200
2018-05-08,336.01,337.5,334.0,335.22,418800
2018-05-09,335.97,337.25,325.26,334.18,430800
2018-05-10,334.01,337.5,331.25,336.39,411300
2018-05-11,337.0,337.0,331.0,332.47,185600
2018-05-14,327.51,330.5,320.5,322.31,352200
2018-05-15,324.2,324.2,313.0,320.12,405500
2018-05-16,324.0,324.0,317.21,317.99,126000
2018-05-17,318.99,318.99,309.0,311.36,217400
2018-05-18,312.6,312.6,301.0,303.59,725500
2018-05-21,304.7,310.96,303.8,304.94,204100
2018-05-22,305.5,320.0,305.5,315.95,383900
2018-05-23,317.6,319.9,314.5,315.72,339200
2018-05-24,315.45,315.5,308.0,309.63,290100
2018-05-25,311.9,311.93,301.0,302.28,354400
2018-05-28,300.0,312.0,294.5,305.21,674000
2018-05-29,306.48,319.0,306.48,315.42,370200
2018-05-30,317.0,319.26,313.5,315.83,363700
2018-05-31,317.0,324.5,314.02,319.6,333000
2018-06-01,317.0,319.0,316.2,317.9,124300
2018-06-04,317.0,325.39,317.0,324.6,358000
2018-06-05,325.88,330.0,323.0,326.48,347600
2018-06-06,326.01,333.9,326.0,332.49,313400
2018-06-07,325.0,325.0,319.0,320.03,161100
2018-06-11,323.4,329.0,320.0,326.85,751600
2018-06-12,327.0,331.75,321.5,322.74,299700
2018-06-13,323.0,334.5,323.0,331.9,737100
2018-06-14,332.0,333.0,328.08,330.3,552100
2018-06-19,331.1,332.2,327.1,330.12,213000
2018-06-20,330.0,330.05,324.0,326.62,183400
2018-06-21,323.0,324.89,319.0,319.91,307900
2018-06-22,322.85,322.9,309.16,311.03,293300
2018-06-25,314.0,314.0,304.2,306.82,348100
2018-06-26,311.9,314.75,307.1,312.27,430900
2018-06-27,314.35,319.9,313.5,318.25,300900
2018-06-28,318.0,323.0,316.1,317.94,267700
2018-06-29,320.0,321.5,317.47,318.31,409000
2018-07-02,320.19,324.0,317.0,318.78,206800
2018-07-03,314.7,317.5,314.0,315.22,113600
2018-07-04,315.0,315.0,299.46,299.84,659000
2018-07-05,300.0,304.5,294.4,296.63,372500
2018-07-06,294.09,310.0,293.21,304.71,396700
2018-07-09,308.06,309.22,291.26,295.1,504100
2018-07-10,293.5,302.0,287.0,300.37,818800
