Date,Open,High,Low,Close,Volume
2018-01-01,23.52,23.52,23.08,23.52,1464000
2018-01-02,24.29,24.4,22.41,23.54,1781500
2018-01-03,24.2,24.2,22.37,22.76,1068500
2018-01-04,22.88,23.88,22.5,23.49,1089500
2018-01-05,23.5,23.9,23.0,23.0,705000
2018-01-08,23.5,23.5,22.78,22.83,668000
2018-01-09,22.76,22.76,22.35,22.67,139000
2018-01-10,22.32,23.6,22.32,23.33,664500
2018-01-11,23.01,23.35,22.84,23.04,62000
2018-01-12,22.77,23.0,22.0,22.32,111500
2018-01-15,21.83,22.2,21.75,22.01,167500
2018-01-16,22.77,23.11,22.5,22.77,951500
2018-01-17,22.57,22.88,22.2,22.56,221000
2018-01-18,23.0,23.15,22.5,22.75,299500
2018-01-19,23.0,23.6,22.9,23.19,487000
2018-01-22,23.2,23.41,23.11,23.29,260000
2018-01-23,23.1,23.13,22.75,22.93,172000
2018-01-24,23.15,23.65,22.9,22.99,787500
2018-01-25,22.76,23.15,22.75,22.99,142500
2018-01-26,23.0,23.0,22.5,22.78,100000
2018-01-29,22.76,22.9,22.5,22.55,100000
2018-01-30,22.6,23.25,22.3,23.0,672500
2018-01-31,23.0,23.01,22.7,22.81,329500
2018-02-01,22.76,23.0,22.76,22.82,373000
2018-02-02,22.81,23.8,22.8,23.24,2266500
2018-02-06,22.66,24.11,22.65,23.95,1741000
2018-02-07,23.95,24.25,23.01,23.16,821500
2018-02-08,23.11,23.5,22.51,22.94,220500
2018-02-09,22.69,23.18,22.67,23.01,128500
2018-02-12,22.75,23.2,22.75,23.0,391500
2018-02-13,23.3,23.46,22.86,22.9,613000
2018-02-14,23.0,23.6,22.76,23.37,1310500
2018-02-15,23.4,24.53,23.39,24.53,3038000
2018-02-16,25.48,25.48,23.94,24.8,5712000
2018-02-19,24.85,25.0,24.35,24.52,339000
2018-02-20,24.5,25.24,24.5,24.65,1543500
2018-02-21,24.55,25.1,24.35,24.47,411000
2018-02-22,24.0,25.69,24.0,25.67,2266000
2018-02-23,25.5,25.99,24.7,24.83,1522000
2018-02-26,24.75,26.03,24.75,25.85,929500
2018-02-27,25.74,26.15,25.33,25.61,235500
2018-02-28,25.5,26.8,25.5,26.43,2093000
2018-03-01,26.25,27.75,26.2,27.75,4653000
2018-03-02,28.94,29.0,27.71,27.96,2342500
2018-03-05,28.05,28.1,27.0,27.1,440500
2018-03-06,26.52,26.95,26.45,26.65,362000
2018-03-07,26.5,26.7,26.1,26.21,165000
2018-03-08,26.45,26.48,25.37,26.0,110000
2018-03-09,26.0,26.0,24.7,25.4,213000
