Date,Open,High,Low,Close,Volume
2018-01-01,13.02,13.5,12.77,13.34,1047000
2018-01-02,13.1,13.5,13.0,13.21,4448000
2018-01-03,13.12,13.45,13.05,13.12,2533500
2018-01-04,13.11,13.91,13.1,13.74,11353500
2018-01-05,13.75,13.76,13.31,13.5,4170500
2018-01-08,13.78,13.8,13.43,13.49,948500
2018-01-09,13.42,13.42,13.1,13.2,611500
2018-01-10,13.25,13.7,13.24,13.58,2205000
2018-01-11,13.69,13.95,13.55,13.8,7814000
2018-01-12,13.64,13.7,13.31,13.35,449500
2018-01-15,13.29,13.6,13.0,13.05,729000
2018-01-16,13.24,13.44,12.81,13.07,552500
2018-01-17,13.11,13.25,13.05,13.15,198500
2018-01-18,13.3,13.44,13.14,13.21,299000
2018-01-19,13.23,13.29,13.1,13.12,409500
2018-01-22,13.33,13.4,13.16,13.34,472000
2018-01-23,13.38,13.38,13.19,13.32,346500
2018-01-24,13.32,13.59,13.31,13.38,571000
2018-01-25,13.45,13.59,13.32,13.42,206000
2018-01-26,13.42,13.55,13.36,13.43,202000
2018-01-29,13.43,13.64,13.35,13.45,414500
2018-01-30,13.6,13.85,13.4,13.64,966000
2018-01-31,13.8,14.1,13.78,13.87,2253500
2018-02-01,13.95,14.04,13.61,13.83,384500
2018-02-02,13.71,13.85,13.6,13.65,590000
2018-02-06,13.5,13.57,13.32,13.4,865500
2018-02-07,13.55,13.67,13.43,13.57,473500
2018-02-08,13.51,13.59,13.39,13.42,556500
2018-02-09,13.36,13.46,13.29,13.41,342000
2018-02-12,13.42,13.45,13.31,13.35,506500
2018-02-13,13.31,13.5,13.22,13.29,988500
2018-02-14,13.3,13.45,12.51,12.61,5189000
2018-02-15,12.54,12.95,12.34,12.54,15386000
2018-02-16,12.59,12.87,12.59,12.76,607000
2018-02-19,12.7,12.7,12.49,12.51,380000
2018-02-20,12.59,12.59,12.23,12.28,2001500
2018-02-21,12.4,12.6,12.4,12.51,1735500
2018-02-22,12.39,12.78,12.34,12.73,593500
2018-02-23,12.7,12.8,12.35,12.41,408500
2018-02-26,12.46,12.67,12.4,12.51,250000
2018-02-27,12.5,12.64,12.25,12.32,814500
2018-02-28,12.35,12.44,12.2,12.29,368500
2018-03-01,12.32,12.45,12.14,12.17,756500
2018-03-02,12.29,12.44,12.15,12.2,409500
2018-03-05,12.23,12.4,12.2,12.25,884000
2018-03-06,12.35,12.35,12.1,12.15,829500
2018-03-07,12.21,12.35,12.15,12.2,2649000
2018-03-08,12.16,12.77,12.16,12.3,5139500
2018-03-09,12.35,12.37,12.15,12.2,1640500
2018-03-12,12.16,12.35,12.16,12.29,407000
2018-03-13,12.35,12.35,12.19,12.23,349500
2018-03-14,12.34,12.42,12.22,12.36,773000
2018-03-15,12.46,12.5,12.4,12.4,1732000
2018-03-16,12.37,12.44,12.2,12.34,1857500
2018-03-19,12.32,12.45,12.28,12.31,68000
2018-03-20,12.36,12.6,12.36,12.48,370500
2018-03-21,12.41,12.5,12.35,12.39,163000
2018-03-22,12.5,12.5,12.32,12.37,122500
2018-03-26,12.35,12.65,12.3,12.4,326500
2018-03-27,12.32,12.45,12.3,12.41,412000
2018-03-28,12.4,12.5,12.35,12.35,524000
2018-03-29,12.35,12.48,12.33,12.39,208500
2018-03-30,12.36,12.5,12.28,12.35,788500
2018-04-02,12.36,12.45,12.3,12.36,268000
2018-04-03,12.5,12.5,12.3,12.34,201000
2018-04-04,12.5,12.8,12.3,12.62,2579500
2018-04-05,12.56,12.79,12.56,12.72,411500
2018-04-06,12.81,12.85,12.6,12.72,694500
2018-04-09,12.75,12.75,12.6,12.63,187000
2018-04-10,12.61,12.99,12.57,12.88,829000
2018-04-11,12.85,13.24,12.8,13.12,7459000
2018-04-12,13.26,13.38,12.7,12.77,5661000
2018-04-13,12.65,12.75,12.46,12.58,935500
2018-04-16,12.48,12.48,12.35,12.36,592000
2018-04-17,12.33,12.5,12.33,12.4,102500
2018-04-18,12.45,12.45,12.25,12.28,408000
2018-04-19,12.3,12.31,12.1,12.2,659000
2018-04-20,12.2,12.29,12.01,12.11,990500
2018-04-23,12.1,12.3,12.1,12.28,326000
2018-04-24,12.16,12.5,12.15,12.36,220500
2018-04-25,12.27,12.39,12.23,12.29,101500
2018-04-26,12.43,12.43,12.22,12.25,175500
2018-04-27,12.25,12.3,12.15,12.19,706500
2018-04-30,12.3,12.3,12.15,12.2,243000
2018-05-02,12.38,12.38,12.15,12.19,207000
2018-05-03,12.13,12.24,12.03,12.06,430500
2018-05-04,12.09,12.19,12.06,12.16,265000
2018-05-07,12.16,12.21,12.04,12.12,268500
2018-05-08,12.04,12.1,12.0,12.01,814500
2018-05-09,12.01,12.08,11.83,11.94,637000
2018-05-10,11.92,12.1,11.91,12.04,112000
2018-05-11,12.01,12.1,11.9,11.91,537500
2018-05-14,11.81,11.95,11.7,11.79,601500
2018-05-15,11.95,11.95,11.6,11.82,548500
2018-05-16,11.95,11.95,11.8,11.81,72000
2018-05-17,11.75,11.75,11.62,11.69,94500
2018-05-18,11.8,11.8,11.52,11.54,246000
2018-05-21,11.65,11.73,11.59,11.65,483000
2018-05-22,11.63,11.85,11.63,11.73,634500
2018-05-23,11.8,11.98,11.8,11.91,171500
2018-05-24,11.95,11.95,11.75,11.75,76500
2018-05-25,11.8,11.88,11.59,11.61,346000
2018-05-28,11.55,11.69,11.51,11.66,105000
2018-05-29,11.58,11.7,11.58,11.63,90000
2018-05-30,11.63,11.7,11.5,11.53,206000
2018-05-31,11.55,11.99,11.5,11.9,820000
2018-06-01,11.8,11.85,11.8,11.85,23000
2018-06-04,11.98,11.98,11.67,11.77,58000
2018-06-05,11.75,11.91,11.75,11.82,117000
2018-06-06,11.91,12.04,11.81,11.88,247500
2018-06-07,11.85,11.97,11.8,11.8,65500
2018-06-11,11.72,12.0,11.72,11.83,237500
2018-06-12,11.8,11.85,11.6,11.61,89500
2018-06-13,11.75,11.75,11.65,11.69,254000
2018-06-14,11.84,11.84,11.75,11.81,1018500
2018-06-19,11.81,11.83,11.69,11.7,1195500
2018-06-20,11.75,11.75,11.62,11.63,23000
2018-06-21,11.6,11.7,11.52,11.56,355000
2018-06-22,11.56,11.98,11.52,11.54,239500
2018-06-25,11.51,11.51,11.33,11.34,193500
2018-06-26,11.27,11.4,11.17,11.21,222500
2018-06-27,11.29,11.3,11.1,11.2,838500
2018-06-28,11.18,11.2,11.03,11.06,794500
2018-06-29,11.05,11.7,11.02,11.44,1112500
2018-07-02,11.5,11.53,11.23,11.34,16000
2018-07-03,11.22,11.4,11.22,11.25,99500
2018-07-04,11.15,11.16,10.7,10.84,466000
2018-07-05,10.99,11.0,10.8,10.92,91500
2018-07-06,10.92,11.05,10.75,11.01,166500
2018-07-09,10.8,10.94,10.76,10.79,420000
2018-07-10,10.7,10.97,10.58,10.94,213500
2018-07-11,10.85,11.17,10.83,10.91,724500
2018-07-12,10.99,11.0,10.83,10.87,104500
2018-07-13,10.9,11.1,10.9,11.07,4586500
2018-07-16,11.25,11.25,10.9,10.96,122000
2018-07-17,10.96,11.19,10.9,11.12,50500
2018-07-18,11.05,11.9,11.05,11.61,5478000
2018-07-19,11.69,11.9,11.6,11.76,2189500
2018-07-20,11.8,11.87,11.56,11.63,917000
2018-07-23,11.6,11.7,11.51,11.54,1019500
2018-07-24,11.69,11.79,11.6,11.73,822500
2018-07-26,11.9,11.9,11.55,11.7,1561500
2018-07-27,11.8,12.2,11.66,11.95,4279500
2018-07-30,12.02,12.2,11.9,11.97,2506500
2018-07-31,11.96,12.15,11.81,11.83,1269000
2018-08-01,11.9,12.0,11.85,11.91,718000
2018-08-02,12.01,12.04,11.85,11.88,692500
2018-08-03,11.88,12.04,11.88,11.94,768000
2018-08-06,12.0,12.15,11.95,11.96,1303500
2018-08-07,12.0,12.1,11.89,11.95,3302500
2018-08-08,11.94,12.04,11.78,11.84,1475000
2018-08-09,11.14,11.15,10.94,11.08,1425500
2018-08-10,11.08,11.09,10.89,10.91,501500
2018-08-13,10.91,11.04,10.85,10.91,101000
2018-08-15,11.03,11.03,10.8,10.85,222000
2018-08-16,10.89,10.89,10.59,10.7,407000
2018-08-17,10.75,10.98,10.7,10.91,373500
2018-08-20,10.94,10.97,10.83,10.86,129000
2018-08-24,10.86,10.9,10.65,10.72,353000
2018-08-27,10.75,10.8,10.7,10.7,113500
2018-08-28,10.7,10.74,10.62,10.64,147500
2018-08-29,10.61,10.84,10.55,10.59,314000
2018-08-30,10.74,10.74,10.5,10.6,1227000
2018-08-31,10.69,10.69,10.51,10.53,256000
2018-09-03,10.53,10.53,10.39,10.47,275000
2018-09-04,10.65,10.69,10.5,10.52,291000
2018-09-05,10.75,10.75,10.47,10.51,194500
2018-09-06,10.57,10.57,10.2,10.24,393000
2018-09-07,10.39,10.39,9.97,10.03,1046500
2018-09-10,10.17,10.18,9.9,10.0,667500
2018-09-11,10.03,10.5,10.03,10.23,1219000
2018-09-12,10.38,10.38,10.07,10.12,245500
2018-09-13,10.05,10.25,10.05,10.12,277000
2018-09-14,10.21,10.21,10.05,10.11,166000
2018-09-17,10.21,10.25,9.92,10.01,1345500
2018-09-18,10.1,10.2,10.02,10.11,257000
2018-09-19,10.2,10.2,10.05,10.13,110000
2018-09-24,10.11,10.15,9.98,10.0,396000
2018-09-25,10.05,10.05,9.95,9.98,353500
2018-09-26,9.97,10.04,9.97,10.0,1136500
2018-09-27,10.0,10.05,9.9,10.01,593500
2018-09-28,10.0,10.05,9.99,10.0,429500
2018-10-01,10.0,10.01,9.8,9.96,243000
2018-10-02,10.09,10.09,9.9,10.0,503500
2018-10-03,10.05,10.29,10.05,10.27,593500
2018-10-04,10.25,10.25,9.91,9.99,130000
2018-10-05,10.0,10.0,9.7,9.74,398500
2018-10-08,9.98,9.98,9.0,9.06,806500
2018-10-09,9.15,9.49,9.15,9.37,462000
2018-10-10,9.4,10.24,9.18,9.88,1080500
2018-10-11,9.85,9.87,9.5,9.6,662500
2018-10-12,9.65,10.17,9.46,9.8,1669500
2018-10-15,9.8,9.8,9.27,9.33,736000
2018-10-16,9.46,9.64,9.28,9.39,363500
2018-10-17,9.4,9.68,9.3,9.62,1184000
2018-10-18,9.6,9.77,9.5,9.63,234000
2018-10-19,9.6,9.89,9.55,9.84,355000
2018-10-22,9.85,10.3,9.81,10.1,1027000
2018-10-23,10.01,10.15,9.78,9.84,760500
2018-10-24,10.01,10.48,10.01,10.4,846500
2018-10-25,10.5,10.6,10.0,10.24,871000
2018-10-26,10.16,10.97,10.04,10.86,1307000
2018-10-29,11.1,11.75,11.1,11.31,3186500
2018-10-30,11.3,11.43,11.02,11.18,1213500
2018-10-31,11.15,11.21,10.85,11.03,425500
2018-11-01,11.0,11.1,10.6,10.98,1255000
2018-11-02,10.85,11.18,10.75,10.97,165500
2018-11-05,10.98,10.98,10.8,10.85,197000
2018-11-06,10.85,10.89,10.73,10.76,85500
2018-11-07,11.0,11.34,10.87,11.26,2300000
2018-11-08,11.26,11.42,11.02,11.38,2162500
2018-11-09,11.3,11.49,11.15,11.38,609000
2018-11-12,11.35,11.4,11.2,11.38,1865500
2018-11-13,11.3,11.5,11.2,11.45,1629000
2018-11-14,11.45,11.47,11.1,11.18,962000
2018-11-15,11.2,11.3,11.07,11.12,696500
2018-11-16,11.15,11.18,11.01,11.03,170500
2018-11-19,11.02,11.19,11.01,11.1,316500
